中国共产党章程|||STATUTS DU PARTI COMMUNISTE CHINOIS
坚持总体国家安全观，坚决维护国家主权、安全、发展利益。|||Il faut poursuivre le concept global de sécurité nationale et sauvegarder fermement la souveraineté, la sécurité nationale et les intérêts en matière de développement du pays.
中国共产党领导人民建设社会主义生态文明。|||Le Parti communiste chinois dirige le peuple dans l’édification d’une civilisation écologique socialiste.
树立尊重自然、顺应自然、保护自然的生态文明理念，增强绿水青山就是金山银山的意识，坚持节约资源和保护环境的基本国策，坚持节约优先、保护优先、自然恢复为主的方针，坚持生产发展、生活富裕、生态良好的文明发展道路。|||Il faut développer le concept d’une civilisation écologique préconisant le respect de la nature, l’adaptation à ses lois et sa protection. Nous devons garder dans l’esprit l’idée que la nature vaut son pesant d’or, et en maintenant la politique nationale fondamentale relative aux économies de ressources et à la protection de l’environnement, et le principe recommandant d’accorder, dans l’application de cette politique, la priorité à la régénération des écosystèmes, poursuivre le chemin d’un développement sain axé sur l’essor de la production, le bien-être de la population et la préservation des écosystèmes.
着力建设资源节约型、环境友好型社会，实行最严格的生态环境保护制度，形成节约资源和保护环境的空间格局、产业结构、生产方式、生活方式，为人民创造良好生产生活环境，实现中华民族永续发展。|||Il faut s’efforcer de construire une société économe de ses ressources et respectueuse de son environnement, appliquer les mesures les plus rigoureuses en faveur de la protection des écosystèmes, et former une configuration de l’espace, une structure industrielle, un mode de production et de vie favorables aux économies de ressources et à la protection de l’environnement, cela afin de créer de meilleures conditions de production et de vie à l’ensemble de notre population, et de réaliser un développement perpétuel de la nation chinoise.
中国共产党坚持对人民解放军和其他人民武装力量的绝对领导，贯彻习近平强军思想，加强人民解放军的建设，坚持政治建军、改革强军、科技兴军、依法治军，建设一支听党指挥、能打胜仗、作风优良的人民军队，切实保证人民解放军有效履行新时代军队使命任务，充分发挥人民解放军在巩固国防、保卫祖国和参加社会主义现代化建设中的作用。|||Le Parti communiste chinois maintient sa direction absolue sur l’Armée populaire de Libération et les autres forces armées populaires. Il s’attache au renforcement de l’Armée populaire de Libération en suivant le principe recommandant de poursuivre son édification politique, de la rendre plus puissante à travers la réforme, de la développer par la science et la technologie et de la gérer en vertu de la loi, de manière à en faire une armée populaire fidèle au Parti, apte au combat et dotée d’un style de travail exemplaire et à faire en sorte qu’elle puisse accomplir avec efficacité les missions et tâches qui lui incombent dans la nouvelle ère. Il s’applique à lui faire jouer pleinement son rôle dans la consolidation de la défense nationale, la défense de la patrie et la participation à la modernisation socialiste.
中国共产党维护和发展平等团结互助和谐的社会主义民族关系，积极培养、选拔少数民族干部，帮助少数民族和民族地区发展经济、文化和社会事业，铸牢中华民族共同体意识，实现各民族共同团结奋斗、共同繁荣发展。|||Le Parti communiste chinois maintient et développe les rapports interethniques socialistes basés sur l’égalité, la solidarité, l’entraide et l’harmonie, s’attache à la formation et à la promotion des cadres issus des ethnies minoritaires, aide celles-ci et les régions concernées à développer l’économie, la culture et les autres œuvres sociales et ce, afin de renforcer le sentiment d’appartenance à la nation chinoise et de réaliser la prospérité et le développement communs de toutes nos ethnies unies dans une même lutte.
全面贯彻党的宗教工作基本方针，团结信教群众为经济社会发展作贡献。|||En assurant une application intégrale de ses principes fondamentaux sur les religions, il veille à unir la population croyante et à l’aider à apporter sa contribution au développement économique et social du pays.
中国共产党同全国各民族工人、农民、知识分子团结在一起，同各民主党派、无党派人士、各民族的爱国力量团结在一起，进一步发展和壮大由全体社会主义劳动者、社会主义事业的建设者、拥护社会主义的爱国者、拥护祖国统一和致力于中华民族伟大复兴的爱国者组成的最广泛的爱国统一战线。|||Le Parti communiste chinois, étroitement uni aux ouvriers, paysans et intellectuels de toutes les communautés ethniques du pays, aux partis et groupements démocratiques, aux personnalités sans-parti et aux forces patriotiques des différentes ethnies, apporte sa contribution au développement et au renforcement du front uni patriotique le plus vaste, formé par l’ensemble des travailleurs socialistes, les bâtisseurs de l’œuvre socialiste, les patriotes qui soutiennent le socialisme comme ceux qui se dévouent à la réunification de la patrie et qui œuvrent pour le grand renouveau de la nation chinoise.
不断加强全国人民包括香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞的团结。|||Il veille à renforcer continuellement l’union du peuple tout entier, y compris nos compatriotes vivant dans les régions administratives spéciales de Hong Kong et de Macao, à Taiwan et à l’étranger.
按照“一个国家、两种制度”的方针，促进香港、澳门长期繁荣稳定，完成祖国统一大业。|||Tout cela a pour but d’assurer une stabilité et une prospérité durables à Hong Kong et à Macao et de réaliser la grande entreprise de réunification de la patrie selon le principe dit « un pays, deux systèmes ».
中国共产党坚持独立自主的和平外交政策，坚持和平发展道路，坚持互利共赢的开放战略，统筹国内国际两个大局，积极发展对外关系，努力为我国的改革开放和现代化建设争取有利的国际环境。|||Fidèle à une politique extérieure indépendante et pacifique, à une voie de développement elle aussi pacifique, de même qu’à une stratégie d’ouverture à bénéfices mutuels, le Parti communiste chinois veille à conserver une vue d’ensemble sur le contexte chinois et la situation internationale et à multiplier les relations avec l’étranger afin de créer un environnement international favorable à la réforme, à l’ouverture et à la modernisation du pays.
在国际事务中，坚持正确义利观，维护我国的独立和主权，反对霸权主义和强权政治，维护世界和平，促进人类进步，推动构建人类命运共同体，推动建设持久和平、共同繁荣的和谐世界。|||Dans les affaires internationales, il adopte une conception correcte de la justice et des intérêts, préserve l’indépendance et la souveraineté nationales, s’oppose à l’hégémonisme et à la politique du plus fort, et lutte pour sauvegarder la paix mondiale, assurer le progrès de l’humanité, promouvoir la construction d’une communauté de destin pour l’humanité ainsi que pour assurer l’édification d’un monde harmonieux où règnent une paix durable et une prospérité commune.
在互相尊重主权和领土完整、互不侵犯、互不干涉内政、平等互利、和平共处五项原则的基础上，发展我国同世界各国的关系。|||Il s’attache à développer les relations de la Chine avec les autres pays du monde sur la base des cinq principes suivants : respect mutuel de la souveraineté et de l’intégrité territoriale, non-agression mutuelle, non-ingérence mutuelle dans les affaires intérieures, égalité et bénéfices mutuels, coexistence pacifique.
不断发展我国同周边国家的睦邻友好关系，加强同发展中国家的团结与合作。|||Il s’attache à favoriser en permanence les relations de bon voisinage entre la Chine et les pays limitrophes, comme à maintenir ses liens de solidarité et de coopération avec les pays en voie de développement.
遵循共商共建共享原则，推进“一带一路”建设。|||Il travaille à promouvoir la construction du projet « la Ceinture et la Route » en observant le principe de « consultations réciproques, engagement commun et partage des fruits ».
按照独立自主、完全平等、互相尊重、互不干涉内部事务的原则，发展我党同各国共产党和其他政党的关系。|||Il s’attache également à développer ses relations avec les partis communistes et autres partis politiques étrangers conformément aux principes d’indépendance, d’égalité, de respect mutuel et de non-ingérence mutuelle dans les affaires intérieures.
中国共产党要领导全国各族人民实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦，必须紧密围绕党的基本路线，坚持党要管党、全面从严治党，加强党的长期执政能力建设、先进性和纯洁性建设，以改革创新精神全面推进党的建设新的伟大工程，以党的政治建设为统领，全面推进党的政治建设、思想建设、组织建设、作风建设、纪律建设，把制度建设贯穿其中，深入推进反腐败斗争，全面提高党的建设科学化水平。|||Pour permettre à notre peuple multiethnique de réaliser les objectifs des « deux centenaires » et le rêve chinois du grand renouveau de la nation, le Parti communiste chinois s’attache, en suivant strictement sa ligne fondamentale, à pratiquer une autogestion rigoureuse et à exercer un autocontrôle sévère, à améliorer sa capacité d’exercer le pouvoir, à préserver sa pureté et son caractère avancé, à promouvoir globalement la nouvelle et vaste entreprise qu’est sa construction dans un esprit de réforme et d’innovation, à faire progresser sur toute la ligne l’édification du Parti dans les domaines de la politique, de l’idéologie, de l’organisation, de la discipline et du style de travail tout en faisant jouer un rôle directeur à son édification politique, à incorporer l’édification institutionnelle dans ce processus, à mener en profondeur la lutte contre la corruption, et à élever le niveau scientifique de l’édification du Parti.
坚持立党为公、执政为民，发扬党的优良传统和作风，不断提高党的领导水平和执政水平，提高拒腐防变和抵御风险的能力，不断增强自我净化、自我完善、自我革新、自我提高能力，不断增强党的阶级基础和扩大党的群众基础，不断提高党的创造力、凝聚力、战斗力，建设学习型、服务型、创新型的马克思主义执政党，使我们党始终走在时代前列，成为领导全国人民沿着中国特色社会主义道路不断前进的坚强核心。|||Il reste fidèle à son objectif fondamental d’œuvrer dans l’intérêt public et d’exercer le pouvoir au bénéfice du peuple, de manière à faire rayonner ses hautes traditions et son remarquable style de travail. Il veille à améliorer sa capacité tant dans la consolidation de son rôle dirigeant que dans l’exercice du pouvoir, à se rendre imperméable à la corruption et à la dégénérescence, à se montrer plus fort face aux situations périlleuses, et à renforcer sans cesse les capacités à se purifier, à se perfectionner, à se renouveler et à s’améliorer. En outre, il veille à renforcer sans cesse sa base de classes, à élargir son assise parmi la population, à accroître sa créativité, sa force de cohésion et sa combativité, et à se transformer en un parti marxiste au pouvoir attaché à l’étude, au service public et à l’innovation. Tout cela, il l’assume de façon à figurer toujours à la pointe de son temps et de manière à devenir le ferme noyau dirigeant capable de conduire tout le peuple dans sa progression sur la voie du socialisme à la chinoise.
党的建设必须坚决实现以下五项基本要求：|||En se renforçant, il doit absolument satisfaire aux cinq exigences fondamentales suivantes :
第一，坚持党的基本路线。|||Primo, maintenir sa ligne fondamentale.
全党要用邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想和党的基本路线统一思想，统一行动，并且毫不动摇地长期坚持下去。|||Tout le Parti doit se doter de l’arme efficace que constituent la théorie de Deng Xiaoping, la pensée importante de la « Triple Représentation », le concept de développement scientifique, la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère et la ligne fondamentale pour parvenir à l’unité de vues et d’actions, et toujours agir dans ce sens sans hésiter.
必须把改革开放同四项基本原则统一起来，全面落实党的基本路线，反对一切“左”的和右的错误倾向，要警惕右，但主要是防止“左”。|||Il doit appliquer intégralement la ligne fondamentale du Parti en assurant l’unité de la réforme, de l’ouverture et des quatre principes fondamentaux et combattre toutes les tendances erronées, qu’elles soient « de gauche » ou de droite — s’il doit être vigilant à l’égard de celles de droite, il doit surtout se prémunir contre celles « de gauche ».
加强各级领导班子建设，培养选拔党和人民需要的好干部，培养和造就千百万社会主义事业接班人，从组织上保证党的基本理论、基本路线、基本方略的贯彻落实。|||Il doit renforcer les équipes dirigeantes à tous les niveaux, former et sélectionner les bons cadres dont le Parti et le peuple ont besoin, et il doit former des millions de continuateurs de la cause du socialisme, de manière à assurer, sur le plan organisationnel, l’application intégrale de la théorie, de la ligne et de la stratégie fondamentales du Parti.
第二，坚持解放思想，实事求是，与时俱进，求真务实。|||Secundo, émanciper la pensée, rechercher la vérité à travers l’expérience, avancer avec son époque et faire preuve d’un esprit réaliste.
党的思想路线是一切从实际出发，理论联系实际，实事求是，在实践中检验真理和发展真理。|||La ligne idéologique du Parti consiste à partir en toute chose de la réalité, à allier la théorie et la pratique, à faire preuve d’objectivité, et à vérifier et approfondir la vérité dans l’expérience.
全党必须坚持这条思想路线，积极探索，大胆试验，开拓创新，创造性地开展工作，不断研究新情况，总结新经验，解决新问题，在实践中丰富和发展马克思主义，推进马克思主义中国化。|||Tout le Parti doit, à la lumière de cette ligne idéologique, se lancer dans des voies nouvelles, procéder avec audace à des expériences pilotes, travailler dans un esprit d’entreprise et de créativité, étudier soigneusement les situations nouvellement créées, dresser le bilan de sa propre expérience et apporter des solutions satisfaisantes aux problèmes qui surgissent, tout cela en vue d’enrichir et développer le marxisme dans l’action pratique et de réaliser sa sinisation.
第三，坚持全心全意为人民服务。|||Tertio, servir fidèlement le peuple.
党除了工人阶级和最广大人民群众的利益，没有自己特殊的利益。|||Le Parti n’a pas d’autre intérêt que celui de la classe ouvrière et des masses populaires dans leur sens le plus large.
党在任何时候都把群众利益放在第一位，同群众同甘共苦，保持最密切的联系，坚持权为民所用、情为民所系、利为民所谋，不允许任何党员脱离群众，凌驾于群众之上。|||À tout moment, il accorde une priorité pleine et entière aux intérêts des masses, partage leurs joies et leurs peines et entretient avec elles des liens viscéraux. Cela conduit à exercer le pouvoir au nom du peuple, à prendre en compte toutes ses préoccupations et à travailler dans son seul intérêt. Le Parti ne permet à aucun de ses membres de se couper des masses ni de se placer au-dessus d’elles.
我们党的最大政治优势是密切联系群众，党执政后的最大危险是脱离群众。|||La supériorité politique de notre Parti réside dans le maintien de liens étroits avec les masses, tandis que le plus grand danger qui le guette depuis son arrivée au pouvoir est de s’en éloigner.
党风问题、党同人民群众联系问题是关系党生死存亡的问题。|||Son style de travail et ses liens avec la population sont pour lui une question de survie.
党在自己的工作中实行群众路线，一切为了群众，一切依靠群众，从群众中来，到群众中去，把党的正确主张变为群众的自觉行动。|||Pour accomplir sa tâche, il suit la ligne de masse. Celle-ci lui dicte de tout faire pour les masses, d’obtenir leur appui total, et de partir des masses pour retourner aux masses, de manière à les amener à mettre d’elles-mêmes en pratique les justes conceptions du Parti.
第四，坚持民主集中制。|||Quarto, maintenir le centralisme démocratique.
民主集中制是民主基础上的集中和集中指导下的民主相结合。|||Celui-ci illustre le principe selon lequel le centralisme est basé sur la démocratie et la démocratie guidée par le centralisme.
它既是党的根本组织原则，也是群众路线在党的生活中的运用。|||Il constitue à la fois le principe fondamental du Parti sur le plan organisationnel et la mise en œuvre de la ligne de masse dans l’activité du Parti.
必须充分发扬党内民主，尊重党员主体地位，保障党员民主权利，发挥各级党组织和广大党员的积极性创造性。|||Le Parti doit élargir la démocratie dans ses rangs, respecter le statut primordial de ses membres, garantir leurs droits démocratiques et faire valoir l’initiative créatrice tant de tous ses membres que de ses organisations à tous les échelons.
必须实行正确的集中，牢固树立政治意识、大局意识、核心意识、看齐意识，坚定维护以习近平同志为核心的党中央权威和集中统一领导，保证全党的团结统一和行动一致，保证党的决定得到迅速有效的贯彻执行。|||Il doit pratiquer avec discernement le centralisme, renforcer la conscience politique, la conscience de l’intérêt général, la conscience du noyau dirigeant et la conscience de l’alignement, et défendre fermement l’autorité et la direction centralisée et unifiée du Comité central ayant le camarade Xi Jinping comme noyau dirigeant, pour assurer la cohésion, l’unité et l’uniformité d’action de son ensemble, tout comme l’exécution rapide et efficace de ses décisions.
加强和规范党内政治生活，增强党内政治生活的政治性、时代性、原则性、战斗性，发展积极健康的党内政治文化，营造风清气正的良好政治生态。|||Il doit renforcer et réglementer la vie politique au sein du Parti, renforcer son caractère politique, sa concordance avec l’époque, sa conformité aux principes et sa combativité, afin de développer une culture politique active et saine, et de créer un bon climat politique où règne l’intégrité.
党在自己的政治生活中正确地开展批评和自我批评，在原则问题上进行思想斗争，坚持真理，修正错误。|||Dans sa vie politique, afin de défendre la vérité et corriger les erreurs, le Parti encourage la pratique correcte de la critique et de l’autocritique et la lutte idéologique sur les questions de principe.
努力造成又有集中又有民主，又有纪律又有自由，又有统一意志又有个人心情舒畅生动活泼的政治局面。|||Il travaille à créer un climat politique dynamique combinant centralisme et démocratie, discipline et liberté, volonté unique et satisfaction individuelle.
第五，坚持从严管党治党。|||Quinto, il faut soumettre le Parti à une gestion et un contrôle plus rigoureux.
全面从严治党永远在路上。|||Faire régner une discipline stricte dans les rangs du Parti s’impose de façon permanente.
新形势下，党面临的执政考验、改革开放考验、市场经济考验、外部环境考验是长期的、复杂的、严峻的，精神懈怠危险、能力不足危险、脱离群众危险、消极腐败危险更加尖锐地摆在全党面前。|||Dans la nouvelle situation, les épreuves auxquelles fait face notre Parti, en particulier dans les domaines de l’exercice du pouvoir, de la réforme et l’ouverture, de l’économie de marché, et sur le plan extérieur, sont complexes, sérieuses et de longue durée, et tout le Parti est exposé à de graves dangers, à savoir le relâchement moral, l’incompétence, la coupure d’avec les masses, l’inaction et la corruption.
要把严的标准、严的措施贯穿于管党治党全过程和各方面。|||Il faut que tout le processus et toutes les actions de gestion et de contrôle du Parti soient soumis aux critères exigeants et mesures sévères pris à cet effet.
坚持依规治党、标本兼治，坚持把纪律挺在前面，加强组织性纪律性，在党的纪律面前人人平等。|||Le Parti doit s’astreindre à des règles de gestion, s’attaquer aussi bien aux manifestations qu’aux racines du mal, accorder la première place à la discipline, stimuler le sens de l’organisation et le sens disciplinaire, et faire régner la même discipline pour tous les membres.
强化管党治党主体责任和监督责任，加强对党的领导机关和党员领导干部特别是主要领导干部的监督，不断完善党内监督体系。|||La responsabilité principale et la responsabilité de contrôle doivent être renforcées en matière de gestion du Parti, un contrôle plus rigoureux doit être exercé sur les organes dirigeants et les cadres dirigeants du Parti, notamment sur les principaux cadres dirigeants, et le système de contrôle interne du Parti doit sans cesse se perfectionner.
深入推进党风廉政建设和反腐败斗争，以零容忍态度惩治腐败，构建不敢腐、不能腐、不想腐的有效机制。|||Il faut mener en profondeur les actions visant à améliorer le style de travail, à promouvoir la probité et à lutter contre la corruption, sanctionner les actes corrompus avec tolérance zéro, de façon à établir un mécanisme efficace dissuadant toute tentative, empêchant toute possibilité et étouffant toute envie même de corruption.
中国共产党的领导是中国特色社会主义最本质的特征，是中国特色社会主义制度的最大优势。|||La direction du PCC est la marque essentielle du socialisme à la chinoise et également le plus grand atout du régime socialiste à la chinoise.
党政军民学，东西南北中，党是领导一切的。|||Tout doit être placé sous la direction du Parti, que ce soit les organisations du Parti, le gouvernement, l’armée, la société civile, les secteurs culturel et éducatif, et où que l’on se trouve.
党要适应改革开放和社会主义现代化建设的要求，坚持科学执政、民主执政、依法执政，加强和改善党的领导。|||Pour répondre aux exigences de la réforme, de l’ouverture et de la modernisation socialiste et afin de renforcer et améliorer son rôle dirigeant, le Parti doit exercer le pouvoir conformément à la loi, dans un esprit scientifique et démocratique.
党必须按照总揽全局、协调各方的原则，在同级各种组织中发挥领导核心作用。|||Il doit, en dirigeant et en coordonnant toutes les activités sur un plan d’ensemble, jouer le rôle de noyau dirigeant dans les différentes organisations aux échelons correspondants.
党必须集中精力领导经济建设，组织、协调各方面的力量，同心协力，围绕经济建设开展工作，促进经济社会全面发展。|||En outre, le Parti doit concentrer toute son énergie en vue de conduire le développement économique, il doit organiser et coordonner toutes les forces disponibles pour qu’elles puissent contribuer ensemble à son accomplissement, et favoriser ainsi un progrès général de l’économie et de la société.
党必须实行民主的科学的决策，制定和执行正确的路线、方针、政策，做好党的组织工作和宣传教育工作，发挥全体党员的先锋模范作用。|||Il est appelé à prendre des décisions de manière démocratique et scientifique, à élaborer et suivre une ligne, une orientation et des principes politiques justes, à veiller à remplir correctement sa mission en matière d’organisation, de sensibilisation et d’éducation, et à faire jouer à tous ses membres un rôle exemplaire.
党必须在宪法和法律的范围内活动。|||Le Parti se doit de mener ses activités dans le cadre de la Constitution et des lois.
党必须保证国家的立法、司法、行政、监察机关，经济、文化组织和人民团体积极主动地、独立负责地、协调一致地工作。|||Il doit assurer que les organismes législatifs, judiciaires, exécutifs et de supervision de l’État, ainsi que les organisations économiques, culturelles et populaires, travaillent de façon active, indépendante, responsable et harmonieuse.
党必须加强对工会、共产主义青年团、妇女联合会等群团组织的领导，使它们保持和增强政治性、先进性、群众性，充分发挥作用。|||Il doit renforcer sa direction sur les syndicats, la Ligue de la jeunesse communiste, la Fédération des femmes et les autres organisations et groupements de masse, de manière à maintenir et renforcer leur caractère politique, avancé et populaire, et les encourager à jouer pleinement leur rôle.
党必须适应形势的发展和情况的变化，完善领导体制，改进领导方式，增强执政能力。|||Pour être à même de faire face à n’importe quelle situation, il doit parfaire son système de direction, améliorer ses méthodes en vue d’acquérir plus de compétences dans l’exercice du pouvoir.
共产党员必须同党外群众亲密合作，共同为建设中国特色社会主义而奋斗。|||Les membres du Parti devront coopérer étroitement avec les masses en dehors du Parti pour lutter ensemble en vue de l’édification du socialisme à la chinoise.
第一章　党员|||CHAPITRE I LES MEMBRES
第一条 年满十八岁的中国工人、农民、军人、知识分子和其他社会阶层的先进分子，承认党的纲领和章程，愿意参加党的一个组织并在其中积极工作、执行党的决议和按期交纳党费的，可以申请加入中国共产党。|||Article 1 Peut demander à entrer au Parti communiste chinois tout élément avancé issu des milieux ouvriers, paysans, militaires, intellectuels et d’autres couches sociales de Chine, ayant dix-huit ans révolus, qui accepte le programme et les statuts du Parti, qui est disposé à adhérer à l’une de ses organisations et s’engage à militer activement dans ses rangs en appliquant les résolutions du Parti et en lui versant régulièrement sa cotisation.
第二条　中国共产党党员是中国工人阶级的有共产主义觉悟的先锋战士。|||Article 2 Les membres du Parti communiste chinois sont des combattants d’avant-garde de la classe ouvrière chinoise, animés d’une conscience communiste.
中国共产党党员必须全心全意为人民服务，不惜牺牲个人的一切，为实现共产主义奋斗终身。|||Ils doivent servir le peuple avec fidélité, ne reculer devant aucun sacrifice personnel et œuvrer leur vie durant à la réalisation du communisme.
中国共产党党员永远是劳动人民的普通一员。|||Ils seront toujours de simples membres du peuple travailleur.
除了法律和政策规定范围内的个人利益和工作职权以外，所有共产党员都不得谋求任何私利和特权。|||Aucun membre du Parti ne doit abuser de ses pouvoirs ni rechercher des avantages personnels autres que ceux que leur accordent les lois et les mesures politiques en vigueur.
第三条　党员必须履行下列义务：|||Article 3 Les membres du Parti doivent remplir les obligations suivantes :
（一）认真学习马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想，学习党的路线、方针、政策和决议，学习党的基本知识，学习科学、文化、法律和业务知识，努力提高为人民服务的本领。|||Étudier consciencieusement le marxisme-léninisme, la pensée de Mao Zedong, la théorie de Deng Xiaoping, la pensée importante de la « Triple Représentation », le concept de développement scientifique, la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, de même que la ligne, les principes, les mesures politiques et les résolutions du Parti, ainsi que les notions de base concernant le Parti. Pour mieux servir le peuple, ils doivent acquérir les connaissances scientifiques, culturelles, juridiques et professionnelles nécessaires à l’exercice de leur métier.
（二）贯彻执行党的基本路线和各项方针、政策，带头参加改革开放和社会主义现代化建设，带动群众为经济发展和社会进步艰苦奋斗，在生产、工作、学习和社会生活中起先锋模范作用。|||Appliquer la ligne fondamentale, les principes et les mesures politiques du Parti, donner l’exemple dans la réforme, l’ouverture sur l’extérieur et la modernisation socialiste, lutter à la tête des masses pour le développement économique et le progrès social, jouer leur rôle d’avant-garde et de modèle dans la production, l’activité professionnelle, l’étude et la vie sociale.
（三）坚持党和人民的利益高于一切，个人利益服从党和人民的利益，吃苦在前，享受在后，克己奉公，多做贡献。|||Placer toujours au-dessus de tout l’intérêt du Parti et du peuple, subordonner leur intérêt personnel à l’intérêt de ces derniers, être les premiers à endurer les privations et les derniers à jouir du bien-être, travailler avec abnégation et contribuer de leur mieux à tout ce qui touche à l’intérêt public.
（四）自觉遵守党的纪律，首先是党的政治纪律和政治规矩，模范遵守国家的法律法规，严格保守党和国家的秘密，执行党的决定，服从组织分配，积极完成党的任务。|||Observer consciencieusement la discipline du Parti, notamment sa discipline et ses règles de conduite politiques, et observer de manière exemplaire les lois et les règlements de l’État, garder strictement les secrets concernant le Parti et l’État, appliquer les décisions du Parti, se tenir à la disposition de son organisation et accomplir activement les tâches qu’il leur assigne.
（五）维护党的团结和统一，对党忠诚老实，言行一致，坚决反对一切派别组织和小集团活动，反对阳奉阴违的两面派行为和一切阴谋诡计。|||Préserver la cohésion et l’unité du Parti, faire preuve de sincérité et de loyauté à son égard, veiller à ce que concordent leurs actes et leurs paroles, s’opposer résolument à toute manifestation de l’esprit de chapelle, à la pratique du double jeu, comme à tout complot.
（六）切实开展批评和自我批评，勇于揭露和纠正违反党的原则的言行和工作中的缺点、错误，坚决同消极腐败现象作斗争。|||Pratiquer la critique et l’autocritique, avoir le courage de dénoncer et corriger les actes et paroles contraires aux principes du Parti ainsi que les défauts et les erreurs dans le travail, et lutter résolument contre l’inaction et la corruption.
（七）密切联系群众，向群众宣传党的主张，遇事同群众商量，及时向党反映群众的意见和要求，维护群众的正当利益。|||Maintenir des liens étroits avec les masses, leur transmettre les objectifs du Parti, les consulter quand un problème se pose, informer sans retard le Parti de leurs opinions et revendications, et protéger leurs intérêts légitimes.
（八）发扬社会主义新风尚，带头实践社会主义核心价值观和社会主义荣辱观，提倡共产主义道德，弘扬中华民族传统美德，为了保护国家和人民的利益，在一切困难和危险的时刻挺身而出，英勇斗争，不怕牺牲。|||Répandre partout les nouvelles mœurs socialistes, pratiquer les premiers les valeurs essentielles socialistes, donner l’exemple dans la mise en valeur de la conception socialiste de l’honneur et du déshonneur, promouvoir la morale communiste et faire rayonner l’excellente vertu traditionnelle de la nation chinoise. Pour défendre les intérêts de l’État et du peuple, se porter en avant dans les situations difficiles ou dangereuses et lutter sans craindre de se sacrifier.
第四条　党员享有下列权利：|||Article 4 Les membres du Parti jouissent des droits suivants :
（一）参加党的有关会议，阅读党的有关文件，接受党的教育和培训。|||Participer aux réunions et lire les documents du Parti qui les concernent, recevoir une éducation et une formation dans le Parti.
（二）在党的会议上和党报党刊上，参加关于党的政策问题的讨论。|||Prendre part, au cours des réunions et dans la presse du Parti, aux discussions sur la politique de ce dernier.
（三）对党的工作提出建议和倡议。|||Formuler des suggestions et propositions sur le travail du Parti.
（四）在党的会议上有根据地批评党的任何组织和任何党员，向党负责地揭发、检举党的任何组织和任何党员违法乱纪的事实，要求处分违法乱纪的党员，要求罢免或撤换不称职的干部。|||Critiquer, faits à l’appui, dans les réunions du Parti, toute organisation ou tout membre du Parti qui le mérite, dénoncer au Parti, en toute responsabilité, les infractions à la loi et à la discipline commises par toute organisation ou tout membre du Parti, demander que des sanctions soient appliquées à l’encontre des membres du Parti ayant commis des infractions à la loi et à la discipline, solliciter la destitution ou le remplacement de cadres incompétents.
（五）行使表决权、选举权，有被选举权。|||Avoir voix délibérative dans les assemblées du Parti, y élire et y être élus.
（六）在党组织讨论决定对党员的党纪处分或作出鉴定时，本人有权参加和进行申辩，其他党员可以为他作证和辩护。|||Participer aux débats et se défendre lorsque l’organisation du Parti se réunit pour décider, à leur encontre, d’une sanction disciplinaire ou porter un jugement sur leur activité ou leur conduite, d’autres membres pouvant témoigner en leur faveur ou prendre leur défense.
（七）对党的决议和政策如有不同意见，在坚决执行的前提下，可以声明保留，并且可以把自己的意见向党的上级组织直至中央提出。|||Formuler des réserves et faire connaître leurs opinions aux organisations du Parti des échelons supérieurs, voire au Comité central, en cas de désaccord à propos d’une décision ou de la politique du Parti, à condition toutefois de les appliquer sans défaillance.
（八）向党的上级组织直至中央提出请求、申诉和控告，并要求有关组织给以负责的答复。|||Adresser des requêtes, des pourvois et des plaintes aux organisations du Parti des échelons supérieurs, et ce, jusqu’au Comité central ; et demander aux organisations compétentes du Parti de donner une réponse engageant leur responsabilité.
党的任何一级组织直至中央都无权剥夺党员的上述权利。|||Aucune organisation du Parti, pas même le Comité central du Parti, ne possède la faculté de priver un membre du Parti des droits cités plus haut.
第五条 发展党员，必须把政治标准放在首位，经过党的支部，坚持个别吸收的原则。|||Article 5 Le recrutement des nouveaux adhérents doit se faire essentiellement au niveau de la cellule du Parti, en plaçant le critère politique à la tête de tous les critères d’admission et en suivant le principe de l’admission individuelle.
申请入党的人，要填写入党志愿书，要有两名正式党员作介绍人，要经过支部大会通过和上级党组织批准，并且经过预备期的考察，才能成为正式党员。|||Tout postulant doit remplir une demande d’admission et être présenté par deux membres du Parti. Il ne devient définitivement membre du Parti que si sa demande d’admission a été approuvée par l’assemblée générale de la cellule du Parti et ratifiée par l’organisation du Parti de l’échelon supérieur et qu’il a passé la période probatoire.
介绍人要认真了解申请人的思想、品质、经历和工作表现，向他解释党的纲领和党的章程，说明党员的条件、义务和权利，并向党组织作出负责的报告。|||Les membres qui présentent le postulant doivent examiner méticuleusement son idéologie, sa moralité et son passé, ainsi que son comportement dans le travail, lui expliquer le programme et les statuts du Parti, l’éclairer sur les conditions d’admission, les devoirs et les droits d’un membre du Parti, et présenter ensuite un rapport circonstancié à l’organisation du Parti.
