政府工作报告|||﻿RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
国防和军队建设水平大幅提升。国家安全全面加强，社会保持和谐稳定。|||Nous avons relevé sensiblement le niveau de l’édification de la défense nationale et de l’armée, renforcé sur tous les fronts la sécurité nationale et maintenu l’harmonie et la stabilité sociales.
经过五年持续奋斗，“十三五”规划主要目标任务胜利完成，中华民族伟大复兴向前迈出了新的一大步。|||Grâce à ces cinq années de travail ardu, les objectifs principaux fixés dans le XIIIe Plan quinquennal ont été atteints, et le grand renouveau de la nation chinoise a fait un grand pas en avant.
“十四五”时期是开启全面建设社会主义现代化国家新征程的第一个五年。|||La période que couvre le XIVe Plan quinquennal représente les cinq premières années dans la nouvelle marche qui conduira à l’édification intégrale d’un pays socialiste moderne.
我国发展仍然处于重要战略机遇期，但机遇和挑战都有新的发展变化。|||La Chine se trouve toujours dans une période importante et riche en opportunités stratégiques pour son développement, mais les opportunités et les défis se présentent sous un jour nouveau.
要准确把握新发展阶段，深入贯彻新发展理念，加快构建新发展格局，推动高质量发展，为全面建设社会主义现代化国家开好局起好步。|||Il faut bien comprendre la nouvelle phase de développement, appliquer en profondeur notre nouvelle vision de développement, accélérer la mise en place d’un nouveau modèle de développement et promouvoir le développement centré sur la qualité, afin d’assurer le bon départ de l’édification intégrale d’un pays socialiste moderne.
根据《中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议》，国务院编制了《国民经济和社会发展第十四个五年规划和2035年远景目标纲要（草案）》。|||Selon les Propositions du Comité central du Parti communiste chinois sur l’élaboration du XIVe Plan quinquennal de développement économique et social et des objectifs pour 2035, le Conseil des affaires d’État a rédigé le Projet de programme du XIVe Plan quinquennal de développement économique et social et des objectifs pour 2035.
《纲要草案》坚持以习近平新时代中国特色社会主义思想为指导，实化量化“十四五”时期经济社会发展主要目标和重大任务，全文提交大会审查，这里概述几个方面。|||C’est en nous guidant fermement sur la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère que nous avons concrétisé et chiffré les objectifs principaux et les tâches importantes fixés pour la période du XIVe Plan quinquennal. Le Projet entier sera soumis à l’examen de la présente session de l’Assemblée. En voici le résumé en quelques points :
——着力提升发展质量效益，保持经济持续健康发展。|||— Améliorer la qualité et la rentabilité du développement, et assurer le développement sain et régulier de l’économie.
发展是解决我国一切问题的基础和关键。|||Le développement est la base et la clé pour résoudre tous nos problèmes.
必须坚持新发展理念，把新发展理念完整、准确、全面贯穿发展全过程和各领域，引导各方面把工作重点放在提高发展质量和效益上，促进增长潜力充分发挥。|||Il faut adhérer fermement à la nouvelle vision de développement, la faire régir intégralement, précisément et globalement tout le processus de développement et l’appliquer à tous les secteurs d’activités, inciter tous les secteurs à mettre l’accent sur l’amélioration de la qualité et de la rentabilité du développement, et promouvoir la mise en valeur maximale du potentiel de croissance.
经济运行保持在合理区间，各年度视情提出经济增长预期目标，全员劳动生产率增长高于国内生产总值增长，城镇调查失业率控制在5.5%以内，物价水平保持总体平稳，实现更高质量、更有效率、更加公平、更可持续、更为安全的发展。|||Nous maintiendrons l’activité économique dans des marges raisonnables ; nous nous fixerons un objectif de croissance économique selon la situation de chaque année ; la croissance de la productivité du travail devra être supérieure à celle du PIB ; le taux de chômage au sens du recensement devra être maintenu en dessous de 5,5 % ; le niveau des prix devra rester stable dans l’ensemble ; enfin, nous nous efforcerons de réaliser un développement plus efficace, plus équitable, plus durable, plus sûr et de meilleure qualité.
——坚持创新驱动发展，加快发展现代产业体系。|||— Promouvoir le développement fondé sur l’innovation et accélérer le développement d’un système industriel moderne.
坚持创新在我国现代化建设全局中的核心地位，把科技自立自强作为国家发展的战略支撑。|||Il faut insister sur la position centrale de l’innovation dans notre entreprise de modernisation, et faire de l’indépendance et du progrès scientifiques et technologiques un pilier stratégique du développement de notre pays.
完善国家创新体系，加快构建以国家实验室为引领的战略科技力量，打好关键核心技术攻坚战，制定实施基础研究十年行动方案，提升企业技术创新能力，激发人才创新活力，完善科技创新体制机制，全社会研发经费投入年均增长7%以上、力争投入强度高于“十三五”时期实际。|||Il faut améliorer le système national de l’innovation ; accélérer la constitution de forces scientifiques et technologiques d’intérêt stratégique tirées par la locomotive de laboratoires nationaux ; mener à bien la bataille acharnée pour réaliser des percées dans les technologies clés et les technologies de base ; élaborer et mettre en œuvre le plan d’action décennal sur la recherche fondamentale ; renforcer la capacité d’innovation technologique des entreprises ; galvaniser l’esprit d’innovation des talents ; améliorer les systèmes et mécanismes de l’innovation scientifique et technologique ; réaliser une augmentation annuelle moyenne de plus de 7 % de l’investissement en R-D, et chercher à réaliser un rapport plus élevé entre ce dernier et le PIB que celui obtenu en termes réels durant le XIIIe Plan quinquennal.
广泛开展科学普及活动。|||Nous devons lancer sur une grande échelle des activités favorisant la vulgarisation des connaissances scientifiques.
坚持把发展经济着力点放在实体经济上，推进产业基础高级化、产业链现代化，保持制造业比重基本稳定，改造提升传统产业，发展壮大战略性新兴产业，促进服务业繁荣发展。|||Nous devons développer avant tout l’économie réelle, promouvoir la mise à niveau des bases industrielles et la modernisation des chaînes industrielles, faire en sorte que le poids de l’industrie manufacturière dans notre économie reste stable, transformer les industries traditionnelles pour faciliter leur montée en gamme, développer les industries émergentes d’importance stratégique et favoriser l’essor du secteur des services.
统筹推进传统基础设施和新型基础设施建设。|||Il faut faire avancer de manière coordonnée la construction des infrastructures traditionnelles et nouvelles.
加快数字化发展，打造数字经济新优势，协同推进数字产业化和产业数字化转型，加快数字社会建设步伐，提高数字政府建设水平，营造良好数字生态，建设数字中国。|||Nous devons stimuler le développement numérique, créer de nouveaux atouts de l’économie numérique, promouvoir simultanément l’industrialisation numérique et la numérisation industrielle, accélérer la construction d’une société numérique, augmenter le niveau d’édification d’un gouvernement numérique, aménager un bon environnement et construire une Chine numérique.
——形成强大国内市场，构建新发展格局。|||— Renforcer le marché intérieur et former un nouveau modèle de développement.
把实施扩大内需战略同深化供给侧结构性改革有机结合起来，以创新驱动、高质量供给引领和创造新需求。|||Nous devons combiner étroitement l’application de la stratégie visant à élargir la demande intérieure et l’approfondissement de la réforme structurelle du côté de l’offre, stimuler la demande par l’innovation et par une offre de haute qualité.
破除制约要素合理流动的堵点，贯通生产、分配、流通、消费各环节，形成国民经济良性循环。|||Nous devons éliminer les obstacles entravant la circulation rationnelle des facteurs de production, assurer une meilleure articulation entre la production, la répartition, la distribution et la consommation, et lancer ainsi le cycle vertueux de l’économie nationale.
立足国内大循环，协同推进强大国内市场和贸易强国建设，依托国内经济循环体系形成对全球要素资源的强大引力场，促进国内国际双循环。|||En nous basant sur le circuit national, nous devons promouvoir de façon synergique le renforcement du marché intérieur et l’édification de notre puissance commerciale, et former une force d’attraction puissante pour les ressources et les facteurs de production internationaux en nous appuyant sur le circuit économique national, afin de promouvoir l’interaction dynamique entre les circuits national et international.
建立扩大内需的有效制度，全面促进消费，拓展投资空间，加快培育完整内需体系。|||Nous devons établir des systèmes efficaces permettant d’élargir la demande intérieure, encourager sur tous les plans la consommation, accroître le potentiel d’investissement et accélérer la mise en place d’un système complet de la demande intérieure.
——全面推进乡村振兴，完善新型城镇化战略。|||— Promouvoir sur tous les plans le redressement rural et améliorer la stratégie de la nouvelle urbanisation.
坚持农业农村优先发展，严守18亿亩耕地红线，实施高标准农田建设工程、黑土地保护工程，确保种源安全，实施乡村建设行动，健全城乡融合发展体制机制。|||Il faut continuer à développer en priorité l’agriculture et les régions rurales, préserver au moins 1,8 milliard de mu [120 millions d’hectares] de terres cultivées dans tout le pays, faire avancer le programme d’aménagement des terres cultivables répondant à des critères élevés et le programme de protection des terres noires, assurer la protection des ressources génétiques, mener des actions visant à développer le milieu rural, et perfectionner les mécanismes en faveur du développement intégré des villes et des campagnes.
建立健全巩固拓展脱贫攻坚成果长效机制，提升脱贫地区整体发展水平。|||Nous devons établir un mécanisme permanent favorisant la consolidation et l’extension des résultats obtenus dans la lutte contre la pauvreté, et élever le niveau global de développement des régions sorties de la pauvreté.
深入推进以人为核心的新型城镇化战略，加快农业转移人口市民化，常住人口城镇化率提高到65%，发展壮大城市群和都市圈，推进以县城为重要载体的城镇化建设，实施城市更新行动，完善住房市场体系和住房保障体系，提升城镇化发展质量。|||Nous devons promouvoir la stratégie de la nouvelle urbanisation centrée sur l’être humain, accélérer l’intégration des travailleurs migrants dans les zones urbaines, élever le taux d’urbanisation de la population à 65 %, favoriser le développement des conurbations et des mégapoles, poursuivre l’urbanisation en nous servant des chefs-lieux de district comme vecteurs principaux, procéder au renouvellement urbain, améliorer le marché immobilier et le système de logement social, et élever la qualité de l’urbanisation.
——优化区域经济布局，促进区域协调发展。|||— Optimiser la répartition régionale de l’économie et favoriser le développement coordonné des différentes régions.
深入实施区域重大战略、区域协调发展战略、主体功能区战略，构建高质量发展的区域经济布局和国土空间支撑体系。|||Nous devons continuer à mettre en œuvre nos grandes stratégies de développement régional, notre stratégie de développement interrégional coordonné et notre stratégie de développement des régions à fonctions spécifiques, et promouvoir ainsi une répartition régionale de l’économie et un système de soutien de l’espace territorial qui permette un développement centré sur la qualité.
扎实推动京津冀协同发展、长江经济带发展、粤港澳大湾区建设、长三角一体化发展、黄河流域生态保护和高质量发展，高标准、高质量建设雄安新区。|||Il faut faire avancer le développement coordonné de la zone Beijing-Tianjin-Hebei, le développement de la ceinture économique du Changjiang, la construction de la région de la Grande Baie Guangdong-Hong Kong-Macao, l’essor intégré du delta du Changjiang, ainsi que la protection écologique et le développement centré sur la qualité du bassin du Huanghe. Il faut développer la nouvelle zone de Xiong’an selon les normes les plus rigoureuses et les plus hautes exigences de qualité.
推动西部大开发形成新格局，推动东北振兴取得新突破，促进中部地区加快崛起，鼓励东部地区加快推进现代化。|||Il faut faire émerger une nouvelle configuration concernant la mise en valeur de l’Ouest, réaliser de nouvelles percées dans le redressement du Nord-Est, promouvoir le décollage accéléré du Centre et encourager l’Est à se moderniser plus rapidement.
推进成渝地区双城经济圈建设。|||Il faut faire avancer la construction de la zone économique Chengdu-Chongqing.
支持革命老区、民族地区加快发展，加强边疆地区建设。|||Il faut soutenir le développement accéléré des anciennes bases révolutionnaires et des régions peuplées de minorités ethniques, et renforcer l’édification des régions frontalières.
积极拓展海洋经济发展空间。|||Par ailleurs, il faut élargir l’espace de développement de l’économie maritime.
——全面深化改革开放，持续增强发展动力和活力。|||— Approfondir sur tous les plans la réforme et l’ouverture, et accroître continuellement la force motrice et la vitalité du développement.
构建高水平社会主义市场经济体制，激发各类市场主体活力，加快国有经济布局优化和结构调整，优化民营经济发展环境。|||Il faut instituer un système d’économie de marché socialiste de haut niveau, stimuler le dynamisme des différents acteurs du marché, accélérer l’optimisation de la répartition de l’économie publique ainsi que le réajustement de sa structure, et assurer un meilleur environnement pour le développement de l’économie privée.
建设高标准市场体系，全面完善产权制度，推进要素市场化配置改革，强化竞争政策基础地位，完善竞争政策框架。|||Il faut mettre en place un système de marché de haut niveau, perfectionner le système de propriété dans tous les domaines, promouvoir la réforme en faveur de la répartition des facteurs de production selon les règles du marché, consolider la place fondamentale de la politique concurrentielle et perfectionner sa structure.
建立现代财税金融体制，提升政府经济治理能力。|||Il faut mettre en place un système moderne en matière budgétaire, fiscale et financière, et renforcer la capacité de gouvernance économique du gouvernement.
深化“放管服”改革，构建一流营商环境。|||Il faut approfondir la réforme visant à promouvoir la décentralisation et la simplification des procédures administratives, à concilier le contrôle et le laissez-faire et à améliorer les services publics, afin d’aménager un environnement des affaires de premier ordre.
建设更高水平开放型经济新体制，推动共建“一带一路”高质量发展，构建面向全球的高标准自由贸易区网络。|||Il faut mettre en place un nouveau système d’économie ouverte d’un niveau plus élevé, œuvrer ensemble à la mise en œuvre de l’initiative « Ceinture et Route » en mettant l’accent sur la qualité, et créer un réseau de zones de libre-échange de haut niveau tournées vers le monde entier.
——推动绿色发展，促进人与自然和谐共生。|||— Promouvoir le développement vert et contribuer à la coexistence harmonieuse entre l’homme et la nature.
坚持绿水青山就是金山银山理念，加强山水林田湖草系统治理，加快推进重要生态屏障建设，构建以国家公园为主体的自然保护地体系，森林覆盖率达到24.1%。|||En gardant à l’esprit l’idée que la nature est la source de toutes nos richesses, nous devons renforcer l’aménagement systématique des montagnes, des rivières, des forêts, des champs, des lacs et des steppes, accélérer la construction de « boucliers écologiques » importants, instaurer un réseau de réserves naturelles fondé sur les parcs nationaux et porter le taux de couverture forestière du pays à 24,1 %.
持续改善环境质量，基本消除重污染天气和城市黑臭水体。|||Nous devons améliorer constamment la qualité de l’environnement, et chercher à éliminer pour l’essentiel la forte pollution de l’air et les eaux urbaines très polluées.
落实2030年应对气候变化国家自主贡献目标。|||Nous devons réaliser l’objectif de contribution déterminée au niveau national pour 2030 face au changement climatique.
加快发展方式绿色转型，协同推进经济高质量发展和生态环境高水平保护，单位国内生产总值能耗和二氧化碳排放分别降低13.5%、18%。|||Nous devons orienter plus rapidement le développement vers un modèle écologique, promouvoir de manière coordonnée le développement économique de qualité et la protection environnementale de haut niveau, et réduire respectivement de 13,5 % et de 18 % la consommation d’énergie par unité de PIB et les émissions de CO2 par unité de PIB.
——持续增进民生福祉，扎实推动共同富裕。|||— Continuer à améliorer le bien-être du peuple et promouvoir fermement la prospérité commune.
坚持尽力而为、量力而行，加强普惠性、基础性、兜底性民生建设，制定促进共同富裕行动纲要，让发展成果更多更公平惠及全体人民。|||En faisant de notre mieux et dans la mesure de nos capacités, nous devons renforcer l’exécution des projets fondamentaux, bénéfiques à tous et protégeant les plus pauvres dans les secteurs liés à la vie de la population, et établir un programme d’action pour promouvoir la prospérité commune, afin que les fruits du développement profitent davantage et plus équitablement à la population entière.
实施就业优先战略，扩大就业容量。|||Nous devons appliquer la stratégie de priorité à l’emploi et développer la capacité du marché de l’emploi.
着力提高低收入群体收入，扩大中等收入群体，居民人均可支配收入增长与国内生产总值增长基本同步。|||Nous devons augmenter les revenus des groupes à faible revenu, élargir les groupes à revenu intermédiaire, et faire en sorte que le revenu disponible par habitant augmente au même rythme que le PIB.
建设高质量教育体系，建设高素质专业化教师队伍，深化教育改革，实施教育提质扩容工程，劳动年龄人口平均受教育年限提高到11.3年。|||Nous devons construire un système éducatif de haute qualité, former un contingent d’enseignants dévoués et hautement compétents, approfondir la réforme de l’éducation, appliquer le projet visant à améliorer la qualité de l’éducation et faciliter l’accès à celle-ci, et porter à 11,3 ans la durée moyenne des études de notre population en âge de travailler.
全面推进健康中国建设，构建强大公共卫生体系，完善城乡医疗服务网络，广泛开展全民健身运动，人均预期寿命再提高1岁。|||Nous devons promouvoir sur tous les plans l’édification d’une Chine saine, édifier un système de santé publique puissant, améliorer le réseau de services médicaux en milieu urbain et rural, généraliser les sports de masse et augmenter l’espérance de vie moyenne d’une année supplémentaire.
实施积极应对人口老龄化国家战略，以“一老一小”为重点完善人口服务体系，优化生育政策，推动实现适度生育水平，发展普惠托育和基本养老服务体系，逐步延迟法定退休年龄。|||Nous devons mettre en œuvre une stratégie nationale visant à répondre activement au vieillissement de la population, améliorer les services démographiques en accordant une attention particulière aux personnes âgées et aux enfants, optimiser la politique de natalité, faire des efforts pour obtenir un taux de natalité adéquat, développer le système de services de garde d’enfants accessibles à tous et de services de base aux personnes âgées, et reporter progressivement l’âge légal de la retraite.
健全多层次社会保障体系，基本养老保险参保率提高到95%，优化社会救助和慈善制度。|||Nous devons perfectionner le système de protection sociale à plusieurs niveaux, porter à 95 % le taux d’inscription à l’assurance vieillesse de base, et optimiser l’assistance sociale et les systèmes des œuvres caritatives.
发展社会主义先进文化，提高社会文明程度，弘扬诚信文化，建设诚信社会，提升公共文化服务水平，健全现代文化产业体系。|||Nous devons développer la culture d’avant-garde socialiste, élever le niveau de civilisation sociale, faire rayonner les valeurs d’honnêteté et de crédibilité dans toute la société, augmenter le niveau des services culturels publics et perfectionner l’industrie culturelle moderne.
——统筹发展和安全，建设更高水平的平安中国。|||— Coordonner le développement et la sécurité, et promouvoir la remise à niveau d’une Chine sûre.
坚持总体国家安全观，加强国家安全体系和能力建设。|||Nous devons appliquer fermement le concept global de sécurité nationale, renforcer le système de sécurité nationale et améliorer la capacité à sauvegarder la sûreté de l’État.
强化国家经济安全保障，实施粮食、能源资源、金融安全战略，粮食综合生产能力保持在1.3万亿斤以上，提高能源综合生产能力。|||Nous devons renforcer la protection de notre sécurité économique, appliquer les stratégies de garantie de la sécurité alimentaire, énergétique et financière, faire en sorte que notre capacité globale de production céréalière reste supérieure à 650 millions de tonnes, et augmenter la capacité générale de notre production énergétique.
全面提高公共安全保障能力，维护社会稳定和安全。|||Nous devons aussi améliorer globalement notre capacité à garantir la sécurité publique, et préserver la stabilité et la sécurité dans la société.
展望未来，我们有信心有能力战胜前进道路上的艰难险阻，完成“十四五”规划目标任务，奋力谱写中国特色社会主义事业新篇章！|||En tournant notre regard vers l’avenir, nous avons la confiance et la capacité de faire face aux difficultés dans notre marche en avant, d’accomplir les tâches du XIVe Plan quinquennal et de travailler d’arrache-pied pour écrire de nouvelles pages brillantes pour la cause du socialisme à la chinoise !
三、2021年重点工作|||TÂCHES PRIORITAIRES POUR 2021
今年是我国现代化建设进程中具有特殊重要性的一年。|||L’année 2021 marquera une année cruciale dans le processus de la modernisation chinoise.
做好政府工作，要在以习近平同志为核心的党中央坚强领导下，以习近平新时代中国特色社会主义思想为指导，全面贯彻党的十九大和十九届二中、三中、四中、五中全会精神，坚持稳中求进工作总基调，立足新发展阶段，贯彻新发展理念，构建新发展格局，|||Pour mener à bien l’action gouvernementale, nous devons, sous la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping et à la lumière de sa pensée sur le socialisme à la chinoise de la nouvelle ère, valoriser intégralement l’esprit du XIXe Congrès du Parti et des 2e, 3e, 4e et 5e plénums du Comité central issu de ce congrès, suivre le principe général dit « aller de l’avant à pas assurés », nous baser sur la nouvelle phase du développement, appliquer la nouvelle vision de développement et créer un nouveau modèle de développement.
以推动高质量发展为主题，以深化供给侧结构性改革为主线，以改革创新为根本动力，以满足人民日益增长的美好生活需要为根本目的，坚持系统观念，巩固拓展疫情防控和经济社会发展成果，更好统筹发展和安全，扎实做好“六稳”工作、全面落实“六保”任务，科学精准实施宏观政策，努力保持经济运行在合理区间，坚持扩大内需战略，强化科技战略支撑，扩大高水平对外开放，保持社会和谐稳定，确保“十四五”开好局起好步，以优异成绩庆祝中国共产党成立100周年。|||Nous devons prendre pour thème principal la promotion d’un développement centré sur la qualité, considérer comme fil conducteur l’approfondissement de la réforme structurelle du côté de l’offre, nous appuyer sur la réforme et l’innovation en tant que forces motrices essentielles, et nous fixer comme objectif fondamental de satisfaire l’aspiration croissante de la population à une vie meilleure. Nous devons, en adoptant une approche systémique, consolider et multiplier les résultats obtenus dans la lutte contre le COVID-19 et le développement économique et social ; mieux coordonner le développement et la sécurité ; réaliser un travail solide en faveur des « six stabilisations » et des « six garanties » ; appliquer des politiques macroéconomiques de façon rationnelle et ciblée ; veiller à ce que l’économie fonctionne dans des marges raisonnables ; appliquer fermement la stratégie visant à élargir la demande intérieure ; renforcer le rôle d’appui stratégique des sciences et technologies ; assurer une ouverture plus large et de niveau plus élevé ; maintenir l’harmonie et la stabilité sociales ; tout cela, afin d’assurer le bon départ du XIVe Plan quinquennal et de saluer par de bons résultats le centenaire de la fondation du Parti communiste chinois.
今年我国发展仍面临不少风险挑战，但经济长期向好的基本面没有改变。|||Cette année, le développement de la Chine se trouvera toujours confronté à de nombreux risques et défis, mais les fondamentaux de son développement économique continuent de justifier notre optimisme sur son évolution à long terme.
我们要坚定信心，攻坚克难，巩固恢复性增长基础，努力保持经济社会持续健康发展。|||Nous devrons, en renforçant notre confiance, surmonter tous les obstacles et consolider les fondements de la reprise de notre croissance économique, afin d’assurer le développement sain et durable de notre économie et de notre société.
今年发展主要预期目标是：国内生产总值增长6%以上；城镇新增就业1100万人以上，城镇调查失业率5.5%左右；居民消费价格涨幅3%左右；进出口量稳质升，国际收支基本平衡；居民收入稳步增长；生态环境质量进一步改善，单位国内生产总值能耗降低3%左右，主要污染物排放量继续下降；粮食产量保持在1.3万亿斤以上。|||Les objectifs essentiels prévus pour 2021 sont les suivants : augmentation de plus de 6 % du PIB ; création de plus de 11 millions d’emplois dans les agglomérations urbaines, taux de chômage au sens du recensement de la population maintenu à environ 5,5 % pour les citadins ; hausse d’environ 3 % des prix à la consommation des ménages ; import-export stabilisé avec une meilleure qualité, balance des paiements internationaux maintenue en équilibre dans son ensemble ; augmentation stable des revenus des habitants ; amélioration de la qualité de l’environnement, baisse d’environ 3 % de la consommation d’énergie par unité de PIB, diminution continuelle des émissions des principales matières polluantes ; production céréalière maintenue à plus de 650 millions de tonnes.
经济增速是综合性指标，今年预期目标设定为6%以上，考虑了经济运行恢复情况，有利于引导各方面集中精力推进改革创新、推动高质量发展。|||Le taux de croissance économique est un indice de caractère général. Si nous l’avons fixé à plus de 6 %, c’est parce que nous avons tenu compte de la reprise économique chinoise et que nous voulons aider tous les secteurs à se concentrer sur la poursuite de la réforme et de l’innovation et à promouvoir le développement centré sur la qualité.
经济增速、就业、物价等预期目标，体现了保持经济运行在合理区间的要求，与今后目标平稳衔接，有利于实现可持续健康发展。|||Répondant aux exigences du fonctionnement économique dans des marges raisonnables et s’articulant convenablement avec nos objectifs futurs, les objectifs prévus en matière de croissance économique, d’emploi et de prix devraient favoriser un développement sain et durable.
做好今年工作，要更好统筹疫情防控和经济社会发展。|||Pour mener à bien les activités gouvernementales en 2021, nous devrons mieux coordonner la lutte contre l’épidémie de COVID-19 et le développement économique et social.
坚持常态化防控和局部应急处置有机结合，继续毫不放松做好外防输入、内防反弹工作，|||Nous combinerons la prévention et le contrôle épidémiques permanents avec les interventions rapides dans les situations d’urgence locales. Nous continuerons sans relâche notre travail pour prévenir à la fois l’importation de cas et le rebond de l’épidémie à l’intérieur du pays.
抓好重点区域和关键环节防控，补上短板漏洞，|||Nous mettrons l’accent sur les régions importantes et les maillons clés, et comblerons les failles du dispositif anticovid.
严防出现聚集性疫情和散发病例传播扩散，|||Nous éviterons l’apparition de foyers d’infection et lutterons contre la propagation du virus due à des cas isolés.
有序推进疫苗研制和加快免费接种，|||La mise au point de vaccins sera promue de façon ordonnée, et la vaccination gratuite, accélérée.
提高科学精准防控能力和水平。|||Nous améliorerons notre capacité de prévention et de contrôle, en veillant à rendre nos mesures plus ciblées et plus scientifiques.
（一）保持宏观政策连续性稳定性可持续性，促进经济运行在合理区间。|||Préserver la continuité, la stabilité et la durabilité de nos politiques macroéconomiques, et veiller à ce que l’économie fonctionne dans des marges raisonnables.
在区间调控基础上加强定向调控、相机调控、精准调控。|||Sur la base des ajustements effectués dans ces marges, nous intensifierons la régulation ciblée, circonstancielle et précise.
宏观政策要继续为市场主体纾困，保持必要支持力度，不急转弯，根据形势变化适时调整完善，进一步巩固经济基本盘。|||Nous veillerons à ce que nos politiques macroéconomiques apportent aux acteurs du marché en difficulté le soutien nécessaire, ne changent pas brusquement et s’adaptent à temps à l’évolution de la situation, de manière à consolider les bases de notre économie.
积极的财政政策要提质增效、更可持续。|||Nous devrons améliorer la qualité et la rentabilité dans l’emploi des fonds budgétaires, afin de rendre plus durable notre politique de relance budgétaire.
考虑到疫情得到有效控制和经济逐步恢复，今年赤字率拟按3.2%左右安排、比去年有所下调，不再发行抗疫特别国债。|||Vu que nous avons réussi à contenir l’épidémie et que notre économie a amorcé sa reprise, nous prévoyons cette année un taux de déficit d’environ 3,2 %, un chiffre inférieur à celui de l’année dernière. Nous n’émettrons plus d’emprunts publics spéciaux pour lutter contre l’épidémie.
因财政收入恢复性增长，财政支出总规模比去年增加，重点仍是加大对保就业保民生保市场主体的支持力度。|||Puisque les recettes budgétaires connaîtront une certaine croissance, l’envergure des dépenses sera élargie par rapport à l’année précédente, et la priorité sera toujours accordée au soutien accru à l’emploi, au bien-être de la population et au dynamisme des acteurs du marché.
中央本级支出继续安排负增长，进一步大幅压减非急需非刚性支出，对地方一般性转移支付增长7.8%、增幅明显高于去年，其中均衡性转移支付、县级基本财力保障机制奖补资金等增幅均超过10%。|||Les dépenses à l’échelon central poursuivront leur croissance négative, les dépenses non urgentes ou non indispensables seront encore réduites dans de fortes proportions, les transferts de paiements courants octroyés aux instances locales seront accrus de 7,8 %, soit un taux d’accroissement nettement plus élevé qu’en 2020. Nous constatons donc un taux de croissance de plus de 10 % tant pour les transferts de paiements destinés à l’uniformisation des services publics fondamentaux entre les régions que pour les primes ou subventions sous la rubrique du mécanisme de garantie des moyens financiers de base à l’échelon des districts.
建立常态化财政资金直达机制并扩大范围，将2.8万亿元中央财政资金纳入直达机制、规模明显大于去年，为市县基层惠企利民提供更加及时有力的财力支持。|||Nous créerons un mécanisme permanent assurant le versement direct de fonds aux instances de base, et l’appliquerons sur une plus large échelle en y intégrant 2 800 milliards de yuans de fonds budgétaires centraux, soit une somme beaucoup plus importante que l’année précédente, de manière à offrir en temps opportun un plus grand soutien financier aux administrations de base au niveau des municipalités et des districts pour que celles-ci apportent des avantages aux entreprises et à la population.
各级政府都要节用为民、坚持过紧日子，确保基本民生支出只增不减，助力市场主体青山常在、生机盎然。|||Les gouvernements à tous les niveaux devront pratiquer un régime d’économie et d’austérité en veillant à préserver les intérêts de la population ; les dépenses consacrées au bien-être social devront continuer d’augmenter, et tout sera fait pour insuffler aux acteurs du marché un dynamisme durable et une vitalité débordante.
优化和落实减税政策。|||Nous améliorerons et appliquerons les politiques de dégrèvement fiscal.
市场主体恢复元气、增强活力，需要再帮一把。|||Les acteurs du marché ont encore besoin de notre aide pour se rétablir et retrouver leur dynamisme.
继续执行制度性减税政策，延长小规模纳税人增值税优惠等部分阶段性政策执行期限，实施新的结构性减税举措，对冲部分政策调整带来的影响。|||Nous continuerons donc à appliquer la politique de réduction institutionnelle des impôts, prolongerons une partie des politiques préférentielles temporaires, dont celle sur la TVA en faveur des petits contribuables, et mettrons en œuvre de nouvelles mesures de réduction structurelle des impôts pour neutraliser les effets du réajustement de certaines politiques.
将小规模纳税人增值税起征点从月销售额10万元提高到15万元。|||Le seuil de perception de la TVA sur le chiffre des ventes mensuel des petits contribuables est passé de 100 000 à 150 000 yuans.
对小微企业和个体工商户年应纳税所得额不到100万元的部分，在现行优惠政策基础上，再减半征收所得税。|||Quant aux PEMIC et autoentrepreneurs bénéficiaires des politiques préférentielles actuelles, elles bénéficieront d’une réduction de moitié de l’impôt sur le premier million de yuans du revenu annuel imposable.
各地要把减税政策及时落实到位，确保市场主体应享尽享。|||Les autorités locales devront appliquer en temps opportun les politiques de réduction d’impôts, de sorte que tous les acteurs du marché répondant aux conditions requises puissent en profiter.
稳健的货币政策要灵活精准、合理适度。|||La politique monétaire prudente devra faire preuve de souplesse, de pertinence et de mesure.
把服务实体经济放到更加突出的位置，处理好恢复经济与防范风险的关系。|||En accordant une plus grande importance aux services à l’économie réelle, nous devrons bien gérer le rapport entre la reprise économique et la prévention des risques.
货币供应量和社会融资规模增速与名义经济增速基本匹配，保持流动性合理充裕，保持宏观杠杆率基本稳定。|||Nous veillerons à ce que la croissance de la masse monétaire et du solde de l’AFER continue à correspondre pratiquement à la croissance économique nominale, que les liquidités soient maintenues à un niveau raisonnablement abondant, et que le ratio de la dette au PIB reste stable.
保持人民币汇率在合理均衡水平上的基本稳定。|||Nous travaillerons aussi à maintenir globalement le taux de change du yuan à un niveau équilibré et raisonnable.
