李克强总理出席记者会并回答中外记者提问|||Conférence de presse du Premier Ministre Li Keqiang Transcription intégrale
这些年我们推动“双创”，形成“众创”局面，推动了应用创新，也给整体创新带来了更大空间。|||Par la promotion de l’innovation et de l’entrepreneuriat,nous avons favorisé l’innovation par tous et développé l’innovation des sciences appliquées. C’est en faisant de tel que nous donnerons un plus grand espace à l’innovation.
我们说科技要自立自强，科学家要发奋努力，这和国际合作、同行交流是并行不悖的。|||Pour assurer le développement indépendant des sciences et des technologies, il faut d’abord compter sur les efforts de nos scientifiques. Il faut aussi développer une coopération internationale et un échange avec des pairs.
科学探索和发明发现是需要合作的，需要共同努力。|||C’est grâce à la coopération que nous pourrons faire progresser l’exploration,l’invention et la découverte scientifiques.
封闭不会有前途，断链对谁都没有好处。|||La fermeture mène à l’impasse, et la rupture des chaînes d’approvisionnement et des chaînes industrielles ne profitera à personne.
中国愿意在保护知识产权的基础上，同各国加强科技领域的合作，共同促进人类文明进步。|||La Chine continuera à renforcer la coopération technico-scientifique avec tous les pays du monde sur la base de la protection des droits de propriété intellectuelle, pour contribuer ensemble au progrès de la civilisation humaine.
美国有线电视新闻网记者：美中两国关系在过去几年跌入建交以来的低谷，中方高层官员多次表示这是由于特朗普政府实施极端错误的反华政策造成的，他们也希望，美国拜登政府可以拨乱反正。|||CNN : Ces dernières années, les relations sino-américaines sont tombées à un bas niveau depuis l’établissement des relations diplomatiques entre les deux pays. Des officiels chinois de haut niveau ont affirmé à plusieurs reprises que cela est dû à la politique anti-chinoise extrêmement erronée de l’administration Donald Trump et espèrent que l’administration Joe Biden pourra réparer la situation.
但是许多来自华盛顿的声音表示中方的判断和立场忽视了重要的两点：|||Mais à Washington, beaucoup pensent que la partie chinoise a ignoré deux points importants dans son appréciation et sa prise de position.
一个就是双边关系恶化是双方的原因，而不是中方常说的责任完全在美方；|||Le premier est que la détérioration des relations bilatérales est due à toutes les deux parties. Ce n’est pas la partie américaine qui en est la seule responsable, comme le dit souvent la Chine.
还有一点就是在对华态度以及重大政策上，无论是疫情溯源还是香港、新疆等问题，美国的民主和共和两党其实有着高度的共识。|||Le second est que sur l’attitude et la politique majeure envers la Chine, qu’il s’agisse de l’origine du virus ou des questions liées à Hong Kong et au Xinjiang, les partis démocrate et républicain ont un large consensus.
请问您对这种来自美国的观点有何回应？|||Quels sont vos commentaires là-dessus ?
尤其是在美中两国将于下周在阿拉斯加举行拜登上台之后的首次高级别会谈之际，中方会不会调整或者改变相关政策立场，推动双边关系的重启和修复？|||La semaine prochaine, se tiendra à Alaska le premier entretien de haut niveau entre les deux parties depuis la prise de fonctions de Joe Biden. Dans cette perspective, est-ce que la Chine réajustera ou changera sa politique et sa position en vue d’une reprise et d’une amélioration des relations sino-américaines ?
李克强：过去几年中美关系的确遭遇了严重的困难，给两国和世界都带来了不利的影响。|||Premier Ministre Li Keqiang : Ces dernières années, les relations sino-américaines ont connu de grandes difficultés, ce qui a eu des impacts négatifs sur les deux pays et le monde entier.
中美作为世界上最大的发展中国家和最大的发达国家，合则两利、斗则俱伤。|||La Chine est le plus grand pays en développement et les États-Unis, le plus grand pays développé. La coopération bénéficie à l’un et à l’autre tandis que la confrontation nuit à leurs intérêts.
中美建交40多年了，风风雨雨，能越过坎坷向前走，还是因为符合世界发展趋势，符合两国的根本利益。|||Pendant plus de 40 ans, les relations sino-américaines ont toujours su aller de l’avant malgré les vicissitudes, car cela correspond au cours du monde et aux intérêts fondamentaux des deux pays.
我们希望双方按照习近平主席最近和拜登总统通话的精神，尊重彼此的核心利益和重大关切，互不干涉内政和内部事务，秉持不冲突不对抗、相互尊重、合作共赢的原则，推动两国关系向着健康稳定的方向发展。|||Nous espérons que les parties pourront poursuivre l’esprit de l’entretien téléphonique du Président Xi Jinping avec le Président Joe Biden, à savoir respecter les intérêts vitaux et les préoccupations majeures de part et d’autre, s’abstenir de s’ingérer dans les affaires intérieures de l’autre et observer le principe de non-conflit, de non-confrontation, de respect mutuel et de coopération gagnant-gagnant, pour promouvoir un développement sain et stable des relations sino-américaines.
这既符合两国人民的利益，也是国际社会的期待。|||Car cela est dans l’intérêt de nos deux peuples et répond à l’attente de la communauté internationale.
中美两国历史文化、发展阶段、社会制度不同，彼此相处难免会有矛盾、有分歧，有的时候甚至比较尖锐，关键是如何对待。|||La Chine et les États-Unis sont différents en termes d’histoire, de culture, de stade de développement et de système social. Il est inévitable que les deux pays aient des désaccords, voire de grandes divergences. Mais l’important est de les bien gérer.
中美两国人民是有智慧、有能力的，双方还是要相互尊重、平等相待地进行对话沟通。|||Les peuples chinois et américain en ont la sagesse et la capacité. Il est nécessaire pour les deux parties de mener des dialogues et échanges sur la base du respect mutuel et de l’égalité.
我们希望中美有多领域、多层次的对话，即便一时达不成共识，也可以交换意见、增信释疑，这有利于管控和化解分歧。|||Nous espérons que les deux pays pourront se parler dans de vastes domaines et à divers niveaux. S’ils n’arrivent pas à parvenir à un consensus dans l’immédiat, ils peuvent toujours échanger leurs vues pour accroître la confiance mutuelle et dissiper les doutes. Cela sera utile pour gérer et réduire les désaccords.
中美两国有着广泛的共同利益，有许多可以合作的领域。|||La Chine et les États-Unis partagent une grande convergence d’intérêts et peuvent coopérer dans de vastes domaines.
在去年多重冲击的背景下，中美两国的贸易规模仍然达到4.1万亿元，增长8.8%。|||L’année dernière, malgré les multiples impacts, leur commerce bilatéral a atteint 4 100 milliards de yuans RMB, soit une augmentation de 8,8%.
我们还是应当把更多精力放在共同点上，去扩大共同利益。|||Ils doivent consacrer plus d’énergie à leurs points communs pour accroître leurs intérêts communs.
中美两国作为联合国安理会常任理事国，对于维护世界和平稳定、促进世界繁荣发展，都有重要责任。|||Les deux pays sont membres permanents du Conseil de Sécurité et assument une responsabilité importante pour la paix, la stabilité, le développement et la prospérité dans le monde.
应该推动中美关系越过坎坷往前看，向着总体稳定的方向走。|||Nous devons surmonter les obstacles et aller de l’avant pour promouvoir un développement stable des relations sino-américaines dans leur ensemble.
新华社记者：您一直强调要重视激发市场主体活力，发挥市场主体在经济发展中的重要作用。|||Agence Xinhua : Vous avez toujours souligné l’importance de dynamiser les acteurs du marché et de faire jouer leur rôle majeur dans le développement économique.
现在有一些市场主体反映，在生产经营、公平竞争、市场环境等方面还有一些困难和障碍。|||Nous avons appris auprès de certains d’entre eux qu’ils rencontrent encore des difficultés et obstacles dans la production, l’exploitation et la concurrence équitable sur le marché.
请问今年政府将出台哪些改革措施来助企纾困，让他们焕发新的生机？|||Quelles sont les mesures de réforme que le gouvernement prendra cette année pour aider et revitaliser les acteurs du marché ?
李克强：去年我们推进改革，很突出的一点就是制定和实施宏观政策时，围绕市场主体的需求来考虑，助力市场主体脱困、激发活力，撑起中国经济的基本盘。|||Premier Ministre Li Keqiang : Dans notre réforme en 2020, l’élaboration et l’application des politiques macroécnomiques étaient centrées sur les acteurs du marché pour les aider à sortir des difficultés et les revitaliser. C’est grâce à eux que nous avons pu assurer les fondamentaux économiques du pays.
中国改革开放40多年来，我们发展社会主义市场经济，不断培育和发展市场主体。|||Durant les plus de 40 ans de la politique de réforme et d’ouverture sur l’extérieur, la Chine a développé une économie de marché socialiste et n’a cessé de faire émerger et de développer les acteurs du marché.
市场主体培育起来，就可以充分发挥市场在资源配置中的决定性作用和更好发挥政府作用。|||Le développement des acteurs du marché contribuera à faire jouer pleinement le rôle décisif du marché dans l’allocation des ressources et à mieux faire jouer le rôle du gouvernement.
“十三五”期间的五年，我们的市场主体增加了6000多万户。|||Pendant la période du 13e Plan quinquennal, nous avons vu l’émergence de plus de 60 millions de nouveaux acteurs du marché.
去年在疫情冲击下，后期快速恢复增长，现在市场主体总数已经达到一亿三千多万户，而且去年个体工商户又新增1000多万户，从8000多万户增加到9000多万户，带动两亿多人就业。|||Avec l’amélioration de la situation sanitaire et la reprise économique rapide en 2020, nous comptons aujourd’hui plus de 130 millions d’acteurs du marché au total. Le nombre des autoentrepreneurs est passé l’année dernière de plus de 80 millions à plus de 90 millions. Ces derniers assurent désormais l’emploi de plus de 200 millions de personnes.
市场主体的活力激发、活跃度提高，这是政府推进改革的努力方向。|||Les acteurs du marché sont aujourd’hui plus dynamiques et plus actifs. C’est le sens dans lequel le gouvernement doit poursuivre la réforme.
今年我们政策的制定和实施，还是要继续围着市场主体转，这就需要继续推进“放管服”改革，让市场主体不仅生存，而且活跃。|||Dans l’élaboration et l’application des politiques de cette année, nous devons toujours nous centrer sur les acteurs du marché. Cela exige de nous de poursuivre la réforme des fonctions du gouvernement pour non seulement assurer leur survie, mais aussi et surtout les revitaliser.
去年我们说留得青山，就赢得未来，今年说留得市场主体的青山常在，就能够生机盎然，使中国经济的活力和韧性充分体现。|||L’année dernière, je disais que les acteurs du marché représentaient l’avenir de la Chine. Cette année, je dirais que leur dynamisme représentera la vitalité et la résilience de l’économie chinoise.
所以转变政府职能很重要的是要把市场主体应有的权限给他们，让他们去发挥。|||Dans la reconversion des attributions du gouvernement, la priorité est donc de donner aux acteurs du marché les compétences qui leur appartiennent, pour qu’ils puissent jouer pleinement leur rôle.
对于审批环节，我们要继续减环节、减材料、减费用、减时限。|||Concernant les procédures d’approbation, nous continuerons de réduire les formalités, le nombre des documents requis et les frais, et de raccourcir le délai de l’approbation.
一方面为市场主体减负，另一方面为他们松绑，放开手脚去竞争。|||Nous devons d’un côté réduire les fardeaux sur ces acteurs du marché, et de l’autre, éliminer les restrictions pour donner libre cours à la compétition.
当然，要竞争就应当是公平的竞争，就必须有监管。|||Toute compétition doit être équitable.
管出公平、管出公正，这样才能让市场主体显示真正的创造力。|||Nous devons donc renforcer la supervision pour assurer l’équité et la justice, ce qui permettra de faire valoir pleinement la créativité des acteurs du marché.
所以我们放管并重，创新监管方式，加强事中事后监管，这都是改革。|||Nous veillerons à la fois à la supervision et à l’élimination des restrictions, et à la création de nouveaux modes de supervision, comme une supervision renforcée pendant et après.
我们支持“互联网+”、物联网这些新业态，但是对于坑蒙拐骗、造假失信，或者利用新业态的旗号去搞诈骗、非法集资的，就要坚决打击，因为把市场搅乱了，没有公平，竞争就不可能持续，就不可能展现更强的活力。|||Nous soutenons le développement d’« Internet+ », d’Internet des objets et d’autres nouvelles formes d’activités, mais nous frappons fermement la fraude, les contrefaçons, l’escroquerie et la collecte illicite de fonds sous prétexte de nouvelles formes d’activités. Ces actes pourront troubler le marché et compromettre l’équité. Sans l’équité, il n’y aura pas de concurrence durable, et encore moins de dynamisme sur le marché.
政府还要进一步优化政务服务，为企业重质量、守诚信、精工细作去提高产品和服务竞争力来营造环境。|||Par ailleurs, le gouvernement doit optimiser ses services pour créer un environnement favorable à ce que les entreprises s’attachent davantage à la qualité, à la crédibilité et à la compétitivité de leurs produits et services.
对于政务服务中那些涉及企业、人民群众经常要办的事项，要努力做到网上办、掌上办、一次办，让市场主体有更强的活力，社会有创造力。|||Concernant les services aux entreprises et les services à la population sur les affaires quotidiennes, le gouvernement doit promouvoir des services en ligne, sur appareils numériques et de guichet unique, pour ainsi dynamiser davantage les acteurs du marché et stimuler la créativité dans toute la société.
台湾无线卫星电视台记者：今年年初，台湾方面表示希望跟大陆能够在后疫情时代恢复交流。|||TVBS de Taiwan : Au début de cette année, Taiwan a exprimé son souhait de reprendre les échanges avec la partie continentale dans la période post-Covid.
与此同时，两岸关系目前并没有看到和缓的迹象，请问大陆方面对此怎么看，未来又如何因应？|||Mais aujourd’hui, on ne voit pas de signe d’apaisement dans les relations inter-détroit. Comment le voyez-vous et que fera la partie continentale dans l’avenir ?
李克强：我们对台的大政方针是一贯的，也是非常明确的，就是坚持一个中国原则和“九二共识”。|||Premier Ministre Li Keqiang : Notre politique et notre principe à l’égard de Taiwan sont constants et clairs, c’est le respect du principe d’une seule Chine et du « Consensus de 1992 ».
在此前提下，我们欢迎台湾任何政党、团体同我们交往，也欢迎台湾各党派团体人士就两岸关系和民族未来与我们开展对话。|||Sur cette base, nous serons heureux de voir tous les partis politiques, associations et personnalités de Taiwan développer des échanges avec nous, et dialoguer avec nous sur les relations inter-détroit et l’avenir de la nation chinoise.
我们坚持推进两岸关系和平发展和祖国统一，反对任何形式的“台独”分裂活动，也反对外部势力的干涉。|||Nous continuerons d’œuvrer à un développement pacifique des relations inter-détroit et à la réunification de la patrie. Nous nous opposons aux actes sécessionnistes visant l’« indépendance de Taiwan » sous quelque forme que ce soit et à toute ingérence extérieure.
我们一直秉持“两岸一家亲”的理念。|||Nous estimons depuis toujours que les deux rives du détroit appartiennent à la même famille.
这几年出台了很多惠及台企台胞的政策，不少台湾企业和同胞从中受益。|||Depuis des années, nous avons adopté des politiques préférentielles en faveur des entreprises et de nos compatriotes de Taiwan qui en ont pour la plupart bénéficié.
我们会继续让台湾同胞分享大陆的发展机遇，继续推动两岸融合发展。|||Nous poursuivrons l’effort pour que nos compatriotes de Taiwan continuent de partager les opportunités de développement de la partie continentale, et pour promouvoir un développement intégré des relations inter-détroit.
人民日报社记者：受疫情等因素影响，民生领域一些难题凸显，如就医、子女教育、养老托幼等成为我国经济社会发展的短板，也影响了人民群众的获得感和幸福感。|||Quotidien du Peuple : Avec l’apparition de la COVID-19, des problèmes concernant le bien-être de la population se posent avec acuité, comme l’accès aux soins médicaux et à l’éducation et la prise en charge des personnes âgées et des enfants. Ces problèmes sont des failles dans le développement économique et social de notre pays et affectent le sentiment de satisfaction et de bonheur du peuple.
请问政府打算从哪些方面着手来解决这些难题？|||Quelles sont les mesures que prendra le gouvernement pour relever ces défis ?
李克强：今年政府总支出比去年略有增加，盘子不小，所以要更多地向量大面广的民生领域倾斜，特别是义务教育和基本医疗。|||Premier Ministre Li Keqiang : Cette année,nous avons prévu une légère augmentation des dépenses totales du gouvernement et nous nous penchons davantage sur les nombreuses questions des domaines vastes du bien-être social, notamment l’enseignement obligatoire et l’assurance-maladie de base.
如果下半年经济持续向好，那么会下更大的力度把财政支出包括债务支出投向这些领域。|||Si l’économie chinoise poursuit sa dynamique dans la deuxième moitié de l’année, les fonds des finances publiques et les fonds levés par l’émission des obligations gouvernementales iront davantage dans ce sens.
这对拉动当年GDP增长可能不明显，但是对于长远发展、惠民生有支撑作用。|||C’est vrai que ces fonds ne joueraient pas un rôle visible sur la croissance économique de cette année, mais ils pourront apporter un appui au développement de long terme de la Chine et au développement du bien-être social.
我们要坚持以人民为中心的发展思想，这是习近平新时代中国特色社会主义思想的重要内容，人民的政府就应当以民之所望为施政所向。|||Nous garderons à l’esprit le principe du développement centré sur le peuple, composante majeure de la Pensée de Xi Jinping sur le socialisme aux couleurs chinoises de la nouvelle ère. Un gouvernement du peuple doit répondre aux attentes du peuple.
教育和健康关系到每个家庭、国家与民族的未来。|||L’éducation et la santé sont étroitement liées à l’avenir de chaque foyer, de notre pays et de notre nation.
我在两会参加代表团审议时，一位中学校长说，现在县乡中学还缺乏优质的教师资源，教师的待遇不高，学历也很难提高。|||Récemment, dans des discussions avec des délégations, j’ai appris d’un proviseur du lycée que dans les lycées ruraux, on manquait de bons enseignants. Ces enseignants touchent un salaire modeste et ont des difficultés pour renforcer leur qualification.
我们今年要下决心，加大对县乡教师培训的投入，让他们能够在职便利地提高学历，职称评定要采取倾斜政策。|||Cette année, nous travaillerons avec détermination à mieux former les enseignants à la campagne sur leurs postes, et nous leur donnerons des politiques préférentielles en ce qui concerne l’évaluation du titre professionnel.
对于在城市的农民工子弟，只要拿到居住证，一定要让他们有受教育的机会。|||Par ailleurs, nous travaillerons à assurer que les enfants des travailleurs migrants en ville avec une carte de résidence ont accès à l’éducation.
决不能因为家境、区域不同，让孩子输在起跑线上。|||Nous ne pouvons faire perdre à ces enfants la chance d’être éduqués simplement en raison de leur situation de famille et de leur région d’origine.
机会公平中，教育公平是最大的公平。|||Dans l’égalité des chances, l’égalité en matière d’éducation est la plus importante.
健康是幸福的基础，也是生产力。|||La santé est la base du bonheur. Elle représente aussi une force productive.
现在县乡基层的医疗机构和力量还比较薄弱，很多人有病往大城市大医院跑。|||Les établissements de soins médicaux aux échelons de base sont relativement faibles. C’est pourquoi les gens, quand ils sont malades, ont l’habitude de se ruer vers les hôpitaux des grandes villes.
今年我们要多措并举加大对县乡医院、卫生院的投入，对于扩大门诊医保报销范围和常见病药品报销范围、降低药品和高值医用耗材价格等，都要采取一些让群众切实感受得到的措施。|||Cette année, le gouvernement se penchera davantage sur les établissements médicaux aux échelons de base, y compris les dispensaires ruraux, et prendra toutes sortes de mesures concernant le remboursement des frais de médicaments pour maladies courantes et de consultation, et le prix des médicaments et des consommables médicaux de grande valeur. Nous souhaitons, par ces mesures concrètes, apporter des bénéfices tangibles au peuple.
也就是说，要让群众看病多一点便利，治病少一点负担。|||Nous lui donnerons plus de facilités et allégerons ses fardeaux en ce qui concerne les soins médicaux.
这也有利于巩固脱贫攻坚成果，防止因病返贫致贫。|||Ainsi pourrons-nous consolider les acquis de la lutte contre la pauvreté et prévenir le retour dans la pauvreté à cause des maladies.
在养老托幼方面，政府还要通过引导社会力量来兴办社区服务业，尽可能在税收等方面给予优惠支持，给家庭在养老托幼方面不仅减轻一点负担，也多一点温暖。|||En ce qui concerne la prise en charge des personnes âgées et des enfants, nous ferons venir des acteurs privés pour développer les services de proximité par des politiques préférentielles notamment dans le domaine fiscal. Ainsi pourrons-nous apporter plus d’assistance aux foyers et réduire leurs fardeaux.
总之，民生方面的事很多，我们要在发展中持续改善民生。|||Dans les domaines du bien-être social, il y a encore beaucoup de choses à faire. Nous devons continuer à améliorer les conditions de vie de la population par le développement.
我们现在实施的是广覆盖、保基本的社会保障制度。保基本，要在经济发展中持续提高水平，但也要突出重点。|||Actuellement, le système de la protection sociale couvre des domaines aussi vastes que possible, et se concentre sur les services de base.
对于事关人人、事关国家和民族未来的义务教育和基本医疗，各级政府一定要扛在肩上。|||Dans l’avenir, nous perfectionnerons le système de la protection sociale et privilégierons les domaines clés comme l’enseignement obligatoire et l’assurance-maladie de base qui concernent tout le monde et l’avenir de notre pays et de notre nation. Tous les gouvernements doivent porter effectivement ces responsabilités.
新加坡联合早报记者：中国提出加快构建以国内大循环为主体、国内国际双循环相互促进的新发展格局。|||Lianhe Zaobao : La Chine a avancé l’idée d’accélérer la création d’une nouvelle dynamique de développement où la circulation domestique est le pilier principal et que les circulations domestique et internationale se renforcent mutuellement.
请问这是不是中国在美国等西方国家“围堵”下被迫采取的某种战略收缩？|||Est-ce que c’est un retrait stratégique que la Chine se voit obligée d’adopter face à l’encerclement des États-Unis et des autres pays occidentaux ?
另外，在中国发展国内大循环、构建超大规模的国内市场的时候会带来怎样的变化？|||Quels seront les changements qu’apportera le développement de la circulation domestique et de l’immense marché domestique ?
留给外资的空间未来会不会越来越小？|||Est-ce qu’il y aura moins d’espace de développement pour les investissements étrangers ?
李克强：中国提出要立足新发展阶段、贯彻新发展理念、构建新发展格局，以国内大循环为主体，国内国际双循环相互促进，这既是要做大国内市场，也是要扩大开放。中国经济已经深度融入世界经济，可以说你中有我、我中有你，关起门来是没有出路的。|||Premier Ministre Li Keqiang : La Chine est entrée dans le nouveau stade de développement. Elle porte une nouvelle vision de développement et œuvre à une nouvelle dynamique de développement où la circulation domestique est le pilier principal et que la circulation domestique et la circulation internationale se renforcent mutuellement. Cela a pour but de renforcer le marché domestique et d’élargir l’ouverture sur l’extérieur, car l’économie chinoise est profondément intégrée dans l’économie internationale et la Chine et le monde extérieur sont étroitement interdépendants. Fermer ses portes n’aboutit à rien.
中国会不断地、主动地扩大开放，这是中国自身利益的需要，也有利于世界。|||La Chine prend l’initiative de poursuivre inlassablement son ouverture, car l’ouverture est dans l’intérêt de la Chine et du monde entier.
中国把内需市场做大，带动自身发展，也会给外资、外国产品和服务带来巨大的机会。|||Nous œuvrons à accroître la demande intérieure pour tirer le développement national, et cela représente de grandes opportunités pour les investissements, les produits et les services étrangers.
我在参加代表团审议的时候，一位企业家说，抓住内循环就是要开拓国内市场，抓住双循环就是要开拓国际市场，两个市场还可以打通。|||Lors de mes discussions avec une délégation provinciale, un entrepreneur a dit que favoriser la circulation domestique contribuerait au développement du marché national et favoriser le renforcement mutuel entre les deux circulations contribuerait à l’exploration du marché international, et que les deux marchés pourraient être associés.
他说得很朴实，但言简意赅。|||Ces quelques mots simples expriment une idée pertinente.
开放还需要各国共同努力，相向而行。|||L’ouverture nécessite des efforts collectifs de tous les pays.
经过8年的努力，去年东盟10国、中、日、韩、澳、新15国谈成了RCEP协定，这是世界上最大的自贸区，是不同社会制度、文化习俗，不同发展阶段国家共同建设的。|||L’année dernière, grâce aux efforts de huit ans, les dix pays de l’ASEAN, la Chine, le Japon, la République de Corée, l’Australie et la Nouvelle Zélande ont pu parvenir à la signature du RCEP. C’est la plus grande zone de libre-échange dans le monde entre pays aux systèmes sociaux, aux cultures et aux stades de développement différents.
这说明，只要相互尊重、平等相待，可以谈出共识，找到共同利益，扩大各国人民的福祉，而且有助于地区产业链、供应链的稳定，会给世界经济增添动力。|||Cela démontre que le respect mutuel et l’égalité permettent de parvenir à des consensus, d’identifier des intérêts communs,de promouvoir le bien-être de la population, de favoriser la stabilité des chaînes industrielles et d’approvisionnement régionales et d’insuffler une nouvelle dynamique à la croissance économique mondiale.
中国是世界产业链、供应链的重要组成部分，我们不仅要发挥自身的作用，而且要履行自身的责任，维护以世贸组织规则为基础的多边贸易体制。|||La Chine est une composante importante dans les chaînes industrielles et d’approvisionnement mondiales. Nous jouerons notre rôle et assumerons nos responsabilités pour préserver le système commercial multilatéral basé sur les règles de l’OMC.
只要是对互利共赢有利的，无论是多边、双边的机制，我们都持积极开放的态度。|||Nous sommes favorables et ouverts à tout mécanisme bilatéral ou multilatéral qui favorise le bénéfice mutuel.
我们会进一步主动地对外开放，继续缩减外商来华投资负面清单，继续推动包括服务业在内的对外开放。|||La Chine conservera l’initiative de s’ouvrir sur l’extérieur. Nous continuerons de raccourcir la liste négative pour les investisseurs étrangers et d’élargir l’ouverture du secteur des services et d’autres secteurs.
我注意到，很多外企关心中国的营商环境，我们还要继续打造市场化、法治化、国际化的营商环境。|||Beaucoup d’entreprises étrangères suivent de près le développement de l’environnement d’affaires en Chine. Nous poursuivrons nos efforts pour créer un environnement d’affaires conforme aux règles du marché, à la législation et aux normes internationales.
总而言之，通过多种努力，在扩大内需中不断扩大开放，继续让中国成为外商投资的重要目的地、世界的大市场。|||Nous redoublerons d’efforts pour stimuler la demande intérieure et élargir l’ouverture pour que la Chine reste une destination privilégiée des investisseurs étrangers et un immense marché dans le monde.
记者会采用网络视频形式进行，主会场设在人民大会堂三楼金色大厅，分会场设在梅地亚两会新闻中心。|||La conférence de presse s’est tenue en visioconférence reliant la Grande Salle dorée au 2e étage du Grand Palais du Peuple avec le Centre de presse pour les sessions de l’APN et de la CCPPC au Media Center Hotel.
记者会历时约110分钟。|||La conférence de presse a duré environ 110 minutes.
