2021年中国外交：|||LA DIPLOMATIE CHINOISE EN 2021 :
我们发展中欧关系的诚意始终不渝，维护自身主权、安全、发展利益的立场坚定不移。|||Notre volonté de développer les relations sino-européennes reste entière et notre position de préserver la souveraineté, la sécurité et les intérêts de développement de notre pays ne changera jamais.
希望欧方也能继续坚持战略自主，排除干扰因素，与中方一道，共同推动中欧合作行稳致远。|||Nous espérons que la partie européenne poursuivra son autonomie stratégique, écartera les perturbations et travaillera avec la Chine pour promouvoir un développement solide et pérenne de la coopération sino-européenne.
第五，面对和平发展成为人心所向，我们推动周边国家共建美好家园，共护地区安宁。|||Cinquièmement, face à l’aspiration de tous à la paix et au développement, nous avons travaillé avec les pays voisins à construire ensemble notre foyer commun et à préserver ensemble la stabilité dans la région.
亚洲是全球最具活力的地区，维护区域和平、促进共同发展是地区各国普遍呼声。|||L’Asie est la région la plus dynamique dans le monde. Préserver la paix régionale et promouvoir le développement commun sont l’appel de tous les pays de la région.
但树欲静而风不止，个别域外大国通过所谓“印太战略”挑拨地区对抗，制造阵营对立，正在成为地区和平稳定的最大破坏因素。|||Mais comme dit un adage chinois : « L’arbre préfère le calme, mais le vent ne cesse de souffler. » Quelques grands pays hors de la région, avec la prétendue « stratégie Indopacifique », incitent à l’affrontement dans la région et provoquent la confrontation des blocs, devenant le plus grand facteur destructeur de la paix et de la stabilité dans la région.
中国始终秉持亲诚惠容理念，与周边国家深化合作，推动双多边关系不断走深走实。|||La Chine, toujours fidèle au principe d’amitié, de sincérité, de bénéfice mutuel et d’inclusivité, a travaillé avec les pays voisins à approfondir la coopération pour que les relations bilatérales et multilatérales continuent de s’approfondir et de donner sans cesse des résultats concrets.
我们聚焦区域合作，夯实友好根基。|||Nous nous sommes concentrés sur la coopération régionale pour consolider la base de l’amitié.
习近平主席同东盟国家领导人共同庆祝建立对话关系30周年，宣布将中国东盟关系提升为全面战略伙伴关系，实现新的跨越。|||Le Président Xi Jinping et les dirigeants des pays de l’ASEAN ont commémoré ensemble le 30e anniversaire des relations de dialogue entre la Chine et l’ASEAN et porté les relations Chine-ASEAN au niveau du partenariat global stratégique. Un nouveau pas a été ainsi franchi.
我们率先批准《区域全面经济伙伴关系协定》（RCEP），引导“一带一路”建设同东盟印太展望的重点合作领域对接，搭建澜湄立体合作新的架构。|||Nous avons été parmi les premiers à ratifier le RCEP, favorisé l’articulation de l’Initiative « la Ceinture et la Route » avec les domaines de coopération prioritaires définis dans les « Perspectives de l’ASEAN sur l’Indopacifique » et mis en place une nouvelle architecture de coopération Lancang-Mékong tous azimuts.
李克强总理出席东亚合作领导人系列会议，拓展数字经济、蓝色经济、绿色经济合作新的空间。|||Le Premier Ministre Li Keqiang a participé aux réunions des dirigeants sur la coopération en Asie de l’Est pour élargir la coopération sur l’économie numérique, l’économie bleue et l’économie verte.
上海合作组织在成立20周年之际接收伊朗为正式成员，“中国+中亚五国”首次举行外长线下会晤，地区团结不断迈出坚实步伐。|||À l’occasion du 20e anniversaire de la création de l’Organisation de Coopération de Shanghai, l’Iran a été admis comme l’un de ses membres officiels. La réunion entre les Ministres des Affaires étrangères de la Chine et des cinq pays d’Asie centrale s’est tenue pour la première fois en présentiel. Des pas solides ont été franchis en faveur de la solidarité régionale.
习近平主席应约同日本新首相通话，就构建契合新时代要求的中日关系达成共识，为双边关系克服干扰健康发展指明方向。|||Le Président Xi Jinping a eu un entretien téléphonique avec le nouveau Premier Ministre japonais à la demande de ce dernier. Ils ont dégagé un consensus sur la construction d’une relation sino-japonaise adaptée aux exigences de la nouvelle ère et donné l’orientation à suivre pour un développement sain des relations bilatérales à l’abri des perturbations.
中国与印度保持外交、军事途径对话，有效管控边境地区局部摩擦，共同致力于两国关系的改善和发展。|||La Chine et l’Inde ont maintenu le dialogue diplomatique et militaire, géré effectivement les frictions localisées dans les régions frontalières et œuvré ensemble à l’amélioration et au développement de leurs relations.
中国与朝鲜、韩国、蒙古等邻国的友好合作也保持良好势头，成为地区稳定的积极因素。|||La coopération amicale entre la Chine et la RPDC, la République de Corée, la Mongolie et d’autres pays voisins a poursuivi la bonne dynamique, devenant un facteur positif pour la stabilité dans la région.
我们发挥建设性作用，积极斡旋热点问题。|||Nous avons joué un rôle constructif et offert activement notre médiation dans les dossiers brûlants.
美国及其盟友仓促撤离阿富汗，地区局势发生重大变化。|||Avec le retrait précipité des États-Unis et de leurs alliés de l’Afghanistan, la situation régionale a connu un changement majeur.
作为友好近邻和负责任大国，中方主动施加正面、积极影响，推动建立阿富汗问题邻国外长会新机制，发挥邻国优势和独特作用。|||Voisin ami de l’Afghanistan et grand pays responsable, la Chine a pris l’initiative d’exercer une influence positive et favorisé la création du mécanisme de la réunion des ministres des Affaires étrangères des pays voisins de l’Afghanistan, en vue de faire valoir leurs atouts et leur rôle particulier en tant que pays voisins.
向阿富汗提供紧急人道援助，开启“松子空中走廊”，协助阿富汗改善民生。|||Nous avons apporté une aide humanitaire d’urgence à l’Afghanistan et lancé un couloir aérien pour les pignons de pin afghans pour contribuer à l’amélioration du bien-être de la population locale.
引导阿富汗新政权奉行包容、反恐、睦邻政策，坚决打击“东伊运”等一切恐怖组织，支持阿富汗防乱维稳、制恐止暴，走向良性发展。|||Nous avons encouragé les nouvelles autorités afghanes à adopter une politique d’inclusion, de lutte anti-terroriste et de bon voisinage et à lutter résolument contre le Mouvement islamique du Turkestan oriental et tout autre groupe terroriste, et soutenu l’Afghanistan dans ses efforts pour prévenir les troubles, préserver la stabilité, combattre le terrorisme et mettre fin aux violences, en vue de s’engager dans un développement vertueux.
缅甸是中国的胞波友邻。|||Le Myanmar et la Chine sont voisins liés par l’amitié « pauk-phaw ».
面对缅甸国内政局变化，中国始终支持缅甸与东盟合作，逐步落实东盟提出的“五点共识”，坚决反对外部不当介入。|||Face aux changements dans la situation politique au Myanmar, la Chine a toujours soutenu la coopération entre le Myanmar et l’ASEAN en vue de mettre progressivement en œuvre le consensus en cinq points proposé par l’ASEAN et de s’opposer fermement aux interventions inappropriées de l’extérieur.
同时，我们开展斡旋促谈，推动局势趋稳降温，鼓励缅甸各方通过和平方式妥善解决分歧，重启民主转型进程。|||Parallèlement, nous avons offert notre médiation et travaillé à promouvoir les négociations pour favoriser la stabilisation et l’apaisement de la situation et encourager les différentes parties au Myanmar à régler adéquatement leurs divergences par des moyens pacifiques et à relancer le processus de transition démocratique.
第六，面对发展中国家实现振兴的迫切愿望，我们大力开拓南南合作的广阔空间。|||Sixièmement, devant le souhait ardent des pays en développement de réaliser le redressement, nous avons travaillé énergiquement pour élargir la coopération Sud-Sud.
广大发展中国家是中国的天然伙伴和可靠同盟军。|||Les autres pays en développement sont partenaires naturels et alliés fiables de la Chine.
过去一年，我们秉持正确义利观和真实亲诚理念，统筹抗击疫情和复苏发展，兼顾雪中送炭和授人以渔，全心全意促进发展中国家可持续发展，理直气壮支持发展中国家维护正当权益。|||Nous sommes restés fidèles aux principes de recherche du plus grand bien et des intérêts partagés et de sincérité, résultats effectifs, amitié et bonne foi. Nous avons travaillé à promouvoir de manière coordonnée la riposte sanitaire d’un côté, et la reprise et le développement de l’autre, veillé à la fois à répondre à leurs besoins urgents et à renforcer leurs capacités, fait tout le possible pour promouvoir le développement durable des autres pays en développement, et soutenu sans équivoque leurs efforts pour préserver leurs droits et intérêts légitimes.
中非合作掀起新高潮。|||La coopération sino-africaine a connu de nouveaux temps forts.
我们与非洲各国一道，克服疫情影响，成功举办中非合作论坛第八届部长级会议。|||Nous avons travaillé avec les pays africains, en surmontant les impacts de la COVID-19, pour organiser avec succès la 8e Conférence ministérielle du Forum sur la coopération sino-africaine.
习近平主席视频出席论坛并提出“中非友好合作精神”，阐述构建新时代中非命运共同体“四点主张”，宣布对非合作“九项工程”，在中非关系史上树起新的里程碑，充分显示中方支持非洲发展振兴的真诚愿望。|||Le président Xi Jinping y a participé en visioconférence, avancé l’esprit d’amitié et de coopération Chine-Afrique et quatre propositions pour construire une communauté d’avenir partagé Chine-Afrique dans la nouvelle ère, et annoncé neuf programmes pour la coopération avec l’Afrique, posant un nouveau jalon dans les annales des relations sino-africaines et montrant pleinement la volonté sincère de la Chine de soutenir le développement et le redressement de l’Afrique.
一年来，中非贸易、投资逆势上扬，全球发展倡议同非盟《2063年议程》和非洲各国发展战略开展对接，设立“中非民间投资促进平台”、非洲农产品输华“绿色通道”，助力非洲加快疫后复苏。|||En 2021, les échanges commerciaux et les investissements entre la Chine et l’Afrique ont connu une croissance malgré les difficultés. Des efforts ont été déployés pour mettre en synergie l’Initiative pour le Développement mondial avec l’Agenda 2063 de l’UA et les stratégies de développement des pays africains, mettre en place une plateforme Chine-Afrique pour la promotion des investissements privés, et ouvrir des « corridors verts » pour les exportations vers la Chine de produits agricoles africains, en vue de contribuer à une reprise plus rapide de l’Afrique dans l’après-COVID-19.
我们还与非方共同发起“支持非洲发展伙伴倡议”，共同制定“中非数字创新伙伴计划”，拓展了中非合作的内涵。|||En plus, la Chine et l’Afrique ont lancé ensemble l’Initiative sur le partenariat pour le développement de l’Afrique et élaboré conjointement un plan de partenariat Chine-Afrique sur l’innovation numérique, enrichissant la coopération sino-africaine de nouvelles dimensions.
中拉关系继续稳中有进。|||Les relations entre la Chine et les pays d’Amérique latine et des Caraïbes ont progressé dans la stabilité.
习近平主席同拉美多国元首或政府首脑电话沟通，向中拉论坛第三届部长会议发表视频致辞，为中拉关系发展明确方向。|||Le Président Xi Jinping a eu des entretiens téléphoniques avec les Chefs d’État ou de gouvernement de nombreux pays d’Amérique latine et des Caraïbes, et adressé une allocution en vidéo à la 3e Réunion des ministres du Forum Chine-CELAC, indiquant l’orientation à suivre pour le développement des relations entre la Chine et les pays d’Amérique latine et des Caraïbes.
本届中拉论坛制定出未来三年合作路线图，高质量共建“一带一路”在拉美更加走实，能源电力、交通运输、通信等合作续有进展，中拉贸易连续四年突破3000亿美元大关。|||La réunion a élaboré une feuille de route pour la coopération dans les trois ans à venir. La coopération de qualité dans le cadre de l’Initiative « la Ceinture et la Route » a donné davantage de résultats concrets dans la région. La coopération a progressé dans les domaines de l’énergie, de l’électricité, du transport et des télécommunications, et le volume des échanges commerciaux entre la Chine et les pays d’Amérique latine et des Caraïbes a dépassé 300 milliards de dollars américains pour la quatrième année consécutive.
双方正加快构建平等、互利、创新、开放、惠民的新时代中拉关系。|||Les deux parties sont en train d’accélérer la construction d’une relation entre la Chine et les pays d’Amérique latine et des Caraïbes dans la nouvelle ère marquée par l’égalité, le bénéfice mutuel, l’innovation, l’ouverture et les bénéfices pour les peuples.
中阿战略伙伴关系迈上更高水平。|||Le partenariat stratégique sino-arabe a atteint un niveau plus élevé.
中国同阿拉伯国家保持领导人密切沟通，实现外长交往全覆盖，提出“实现中东安全稳定五点倡议”、政治解决叙利亚问题四点主张、落实巴以“两国方案”三点思路，为中东贡献维稳促和的正能量。|||Les dirigeants de la Chine et des pays arabes ont maintenu des contacts étroits. Nous avons eu des interactions avec tous les pays arabes au niveau des ministres des Affaires étrangères. Nous avons lancé une initiative en cinq points pour réaliser la sécurité et la stabilité au Moyen-Orient, une proposition en quatre points sur le règlement politique de la question syrienne et une vision en trois points pour la mise en œuvre de la « solution à deux États », apportant des énergies positives à la préservation de la stabilité et à la promotion de la paix au Moyen-Orient.
今年，我们还举行首次中国—太平洋岛国外长会，达成共建应急物资储备库、减贫与发展合作中心、应对气候变化合作中心等重要成果，应急物资储备库已在本月初正式启用。|||Cette année, nous avons tenu la première Réunion des ministres des Affaires étrangères de la Chine et des pays insulaires du Pacifique, qui a abouti à des résultats importants tels que la création conjointe d’une réserve de matériel d’urgence, d’un Centre de coopération pour la réduction de la pauvreté et le développement et d’un Centre de coopération pour l’action climatique. La réserve de matériel d’urgence a été mise en service début décembre.
事实证明，中国永远是发展中国家阵营的坚定一员，永远和广大发展中国家同呼吸、共命运，心手相连，团结奋进。|||Les faits prouvent que la Chine demeure un membre fidèle du camp des pays en développement, et qu’elle partagera un avenir commun et avancera main dans la main avec les autres pays en développement.
第七，面对全人类共同挑战，我们高举人类命运共同体旗帜，积极推动全球治理体系变革。|||Septièmement, face aux défis communs pour l’humanité, nous avons porté haut l’étendard de la communauté d’avenir partagé pour l’humanité et œuvré activement à la réforme de la gouvernance mondiale.
世纪疫情和百年变局交迭冲击，人们对全球治理体系变革的呼声越发强烈。|||Face aux impacts de la pandémie inédite et des changements sans précédent depuis un siècle, de plus en plus de voix s’élèvent pour la réforme du système de la gouvernance mondiale.
面对时代之问，习近平主席给出了鲜明的中国方案。|||Face aux questions de notre époque, le Président Xi Jinping a avancé des solutions de la Chine.
在《生物多样性公约》第15次缔约方大会、第二届联合国全球可持续交通大会、第76届联合国大会、二十国集团罗马峰会等一系列重大国际场合，习近平主席分别提出构建人类卫生健康共同体、人与自然生命共同体、全球发展共同体等重大倡议，不断拓展人类命运共同体的丰富内涵，为全球治理体系变革注入动力。|||Dans les enceintes internationales importantes telles que la quinzième réunion de la Conférence des Parties à la Convention sur la diversité biologique (COP15), la deuxième Conférence mondiale des Nations Unies sur le Transport durable, la 76e session de l’Assemblée générale des Nations Unies et le Sommet des dirigeants du G20 à Rome, le Président Xi Jinping a avancé les initiatives majeures de la construction d’une communauté de santé pour tous, d’un avenir partagé pour l’homme et la nature, et d’une communauté d’avenir partagé pour le développement mondial, enrichissant sans cesse la vision de la communauté d’avenir partagé pour l’humanité de nouveaux contenus et donnant une impulsion à la réforme du système de la gouvernance mondiale.
我们推动完善全球卫生治理体系，支持加强联合国和世界卫生组织作用，提升监测预警和应急反应、重大疫情救治、应急物资储备和保障、打击虚假信息、向发展中国家提供支持等“五大能力”建设，在全球卫生合作中发挥了重要作用。|||Nous avons travaillé à perfectionner le système de gouvernance mondiale de la santé. Nous avons soutenu un rôle accru de l’ONU et de l’OMS, renforcé nos capacités dans cinq domaines clés, à savoir surveillance, alerte et réaction rapide, traitement en cas de pandémies, gestion du stock du matériel d’urgence et du soutien logistique, lutte contre la désinformation et soutien aux pays en développement, jouant ainsi un rôle important dans la coopération sanitaire internationale.
我们为全球气候治理展现责任担当，相继出台落实“双碳”目标政策体系，宣布不再新建境外煤电项目，推动达成“格拉斯哥气候协议”，发表中美强化气候行动联合宣言，出资成立昆明生物多样性基金，坚定做生态文明的践行者、全球治理的行动派。|||Nous avons assumé nos responsabilités dans la gouvernance climatique mondiale. Nous avons adopté un ensemble de politiques pour la réalisation des objectifs du pic des émissions et de la neutralité carbone et annoncé que la Chine ne construirait plus de nouveaux projets de centrales à charbon à l’étranger. Nous avons contribué à la conclusion du Pacte de Glasgow pour le climat, publié une déclaration conjointe avec les États-Unis sur le renforcement de l’action climatique, et mis en place et financé le Fonds Kunming pour la biodiversité. Nous avons ainsi continué de travailler à promouvoir la civilisation écologique et de prendre des actions concrètes dans la gouvernance mondiale.
我们还积极参与全球数字治理，继续扩大《全球数据安全倡议》影响，同阿拉伯国家联盟发表《中阿数据安全合作倡议》，提出加入《数字经济伙伴关系协定》，推动全球数字治理体系朝更加公正合理方向迈进。|||Nous avons également participé activement à la gouvernance numérique mondiale. Nous avons continué de renforcer l’influence de l’Initiative mondiale sur la sécurité des données, publié avec la Ligue des États arabes (LEA) l’Initiative de coopération Chine-LEA sur la sécurité des données, et déposé la demande d’adhésion à l’Accord de partenariat sur l’économie numérique (DEPA), de sorte à faire évoluer le système de gouvernance numérique mondiale dans un sens plus juste et plus équitable.
第八，面对外部干涉挑衅，我们坚决捍卫国家主权、安全和民族尊严。|||Huitièmement, face aux ingérences et provocations extérieures, nous avons défendu résolument la souveraineté et la sécurité du pays et la dignité nationale.
今年以来，外交战线肩负人民嘱托，履行使命担当，坚决顶回各种侵权霸凌行径，展现了中国人的自信、自立、自强，彰显了中华民族的志气、底气、骨气。|||En 2021, la diplomatie chinoise, dans l’accomplissement de la mission et des responsabilités qui lui sont confiées par le peuple, a repoussé avec fermeté les atteintes aux droits de la Chine et actes d’intimidation de tous genres, montrant par là la confiance en soi, l’esprit d’indépendance et la persévérance des Chinois de même que l’ambition, la détermination et l’intégrité de la nation chinoise.
台海局势出现新一轮紧张，症结在于台湾当局企图“倚美谋独”，美国以及个别国家有意“以台制华”，一个中国原则的内涵面临被虚化甚至掏空的危险。|||La situation dans le Détroit de Taiwan a connu de nouvelles tensions. C’est au fond en raison des tentatives des autorités de Taiwan de rechercher l’indépendance de Taiwan en s’appuyant sur le soutien américain et de l’intention des États-Unis et de quelques autres pays à contenir la Chine en utilisant Taiwan. Le sens du principe d’une seule Chine risque d’être obscurci voire vidé.
正是这些倒行逆施改变了台海现状，损害了台海和平稳定，违背了国际社会共识和国际关系基本准则。|||Ce sont ces actes rétrogrades qui ont changé le statu quo et sapé la paix et la stabilité dans le Détroit de Taiwan et qui vont à l’encontre des consensus de la communauté internationale et des normes fondamentales régissant les relations internationales.
对此，我们发出严正警示，进行有力反制，震慑了“台独”分裂势力的气焰。|||Face à une telle situation, nous avons fait des avertissements solennels et pris des contre-mesures fermes, dissuadant les forces séparatistes visant l’« indépendance de Taiwan ».
10天前，我们恢复与尼加拉瓜的外交关系，建交国总数增至181个，一个中国的共识在国际上更加巩固。|||Le rétablissement il y a dix jours de nos relations diplomatiques avec le Nicaragua a fait du Nicaragua le 181e pays ayant des relations diplomatiques avec la Chine et consolidé davantage le consensus international d’une seule Chine.
台湾是终将回家的游子，而不应是被人利用的棋子，中国必须统一，也必然统一。|||Taiwan est un enfant longtemps perdu qui finira par rentrer à la maison, et ne doit pas être un pion à manipuler par quiconque. La Chine doit être et sera certainement réunifiée.
过去一年里，我们还邀请各国人士赴新疆参访，以事实真相戳穿各种谎言与伪证。|||En 2021, nous avons invité des personnalités de différents pays à visiter le Xinjiang et réfuté par les faits et la réalité les mensonges et faux témoignages de toutes sortes.
我们坚决反对外部势力干预香港事务，巩固香港由乱到治、趋稳向好的良好态势。|||Nous avons combattu résolument les ingérences extérieures dans les affaires de Hong Kong et consolidé le retour à l’ordre et l’amélioration de la situation à Hong Kong.
我们在联合国人权理事会、联大三委等多个国际舞台坚决回击假借人权挑动事端的行径，展示中国人权发展成就，揭露个别国家人权劣迹，以正压邪，正本清源，赢得近百国支持。|||Dans le cadre du Conseil des droits de l’homme et de la Troisième Commission de l’Assemblée générale des Nations Unies et dans d’autres enceintes internationales, nous avons riposté résolument aux provocations sous le couvert des droits de l’homme, présenté les accomplissements dans le développement des droits de l’homme en Chine et mis au grand jour le mauvais bilan de certains pays en matière de droits de l’homme. En faisant prévaloir la justice et en rétablissant la vérité, nous avons reçu le soutien de près de cent pays dans le monde.
我们成功推动173国联署通过联合国奥林匹克休战决议，形成国际社会支持北京冬奥会的强大声势。|||Grâce au coparrainage de 173 pays, nous avons réussi à faire adopter la résolution relative à la Trêve olympique, ce qui a généré une forte dynamique internationale en soutien des Jeux Olympiques d’hiver de Beijing.
第九，面对严峻复杂的外部环境，我们全力服务国内发展，着力践行外交为民。|||Neuvièmement, face à l’environnement extérieur sérieux et complexe, nous avons déployé tous nos efforts pour servir le développement national et mettre l’action diplomatique au service du peuple.
服务国内发展建设，是中国外交的应有之义。|||Servir le développement et la construction du pays est une vocation de la diplomatie chinoise.
今年我们成功举办湖北和西藏两场全球推介会，支持举办服贸会、进博会等一系列国际展会，为各地方扩大对外开放搭建新桥梁，拓展新机遇。|||En 2021, nous avons organisé avec succès deux séances de présentation pour le Hubei et le Tibet et contribué à l’organisation d’expositions internationales comme la Foire internationale du commerce des services de Chine et l’Exposition internationale d’importation de la Chine, en vue de fournir de nouvelles plateformes et des opportunités aux collectivités locales dans l’élargissement de leur ouverture sur l’extérieur.
我们积极助力构建新发展格局，畅通国内国际双循环，建立必要人员往来的“快捷通道”，搭建运输紧急抗疫物资的“绿色通道”，实施远端精准防控，维护国内抗疫斗争成果。|||Nous avons contribué activement à construire la nouvelle dynamique de développement et à fluidifier les circulations domestique et internationale, en mettant en place des « voies rapides » pour la mobilité du personnel nécessaire et des « corridors verts » pour les matériels médicaux d’urgence, et appliqué un contrôle sanitaire ciblé dans les pays concernés pour préserver les acquis de la lutte contre la COVID-19 en Chine.
以人民为中心，是中国外交的价值底色。|||Placer le peuple au centre de notre action est la valeur fondamentale de la diplomatie chinoise.
我们始终将海外同胞的冷暖安危放在心头，将外交为民担在肩上。|||Nous avons toujours gardé à l’esprit la sécurité et les préoccupations de nos compatriotes à l’étranger et mis en pratique le principe de la diplomatie au service du peuple.
今年以来，我们在全球推进“春苗行动”，协助海外同胞接种新冠疫苗，已惠及180国数百万人次。|||En 2021, pour aider nos compatriotes à l’étranger à se faire vacciner contre la COVID-19, nous avons lancé le programme « pousse de printemps » à l’échelle mondiale qui a bénéficié jusqu’ici à plusieurs millions de personnes dans 180 pays.
外交部12308热线24小时为我海外人员纾难解困，已接听来电超过50万通。|||Le numéro vert 12308 du Ministère, en service 24h/24 pour accompagner les Chinois d’outre-mer en difficulté, a répondu à plus de 500 000 appels.
驻外使领馆处理各类领事保护与协助案件约6万件。|||Les missions diplomatiques et consulaires chinoises ont traité environ 60 000 cas de protection et d’assistance consulaires.
我们全力守护海外中国公民生命安全，在全球范围开展风险评估预警服务，协助赴海外企业人员提升安防能力，及时撤离高危地区侨民，妥善处理重大恐袭事件，全力营救被绑架人员。|||Nous nous sommes pleinement mobilisés pour protéger la vie et la sécurité des ressortissants chinois, en fournissant un service d’évaluation et d’alerte des risques à l’échelle mondiale, en accompagnant les entreprises et les individus à l’étranger dans le renforcement de leurs capacités à se protéger, en évacuant rapidement les ressortissants chinois dans les zones à hauts risques, en gérant adéquatement les conséquences des attentats terroristes majeurs et en déployant tous les efforts pour la libération de ceux pris en otage.
在疫情防控常态化背景下，我们加快推进“互联网+领事服务”，推进云端办照、视频公证、移动支付等便民措施。|||Dans le contexte de riposte sanitaire régulière, nous avons accéléré le déploiement des mesures telles que « Internet + Services consulaires », demande de passeports en ligne, authentification par visioconférence et paiement mobile.
“中国领事APP”全面上线运行，目前下载量已超过280万。|||L’application China Consular Affairs, lancée cette année, a été téléchargée plus de 2,8 millions de fois.
正如中国网民所说，伟大的祖国永远是每一位中国公民的坚强后盾。|||Comme le disent des internautes chinois, la grande patrie sera toujours derrière chaque Chinois.
各位朋友，|||Chers Amis,
一年来，中国外交之所以能在国际风云激荡中砥砺前行，在大国世纪博弈中从容自信，取得一系列来之不易的成果，根本在于习近平总书记的领航定向，在于习近平外交思想的科学指引。|||En 2021, la diplomatie chinoise a su aller de l’avant en bravant les turbulences internationales, rester sereine et confiante dans les interactions entre grands pays et réaliser des accomplissements malgré les difficultés. Cela n’aurait pas été possible sans l’orientation du Secrétaire général Xi Jinping et la Pensée Xi Jinping sur la diplomatie.
一年来，外交战线认真开展党史学习教育，推进习近平外交思想研究中心建设，编写出版《习近平外交思想学习纲要》，将学习贯彻习近平新时代中国特色社会主义思想引向深入，为做好新时代中国特色大国外交提供了根本遵循。|||En 2021, les membres du service diplomatique de la Chine ont participé consciencieusement à la campagne pour l’étude et l’enseignement de l’histoire du PCC, fait avancer la construction du Centre de recherche sur la Pensée Xi Jinping sur la diplomatie, et rédigé et publié Le Plan d’étude de la Pensée Xi Jinping sur la diplomatie, et étudié et appliqué en profondeur la Pensée Xi Jinping sur le socialisme aux caractéristiques chinoises de la nouvelle ère, laquelle a fixé les principes fondamentaux à suivre pour la diplomatie de grand pays aux caractéristiques chinoises de la nouvelle ère.
即将到来的2022年，是中国人民向着第二个百年奋斗目标进军的关键之年。|||L’année 2022 est devant nous. Ce sera une année cruciale pour le peuple chinois dans sa marche en avant vers la réalisation de l’objectif du deuxième centenaire.
我们将隆重召开党的二十大，这是党和国家政治生活中的头等大事。|||Le PCC organisera solennellement son XXe Congrès, qui sera l’événement le plus important de la vie politique du Parti et du pays.
外交战线将更加紧密团结在以习近平同志为核心的党中央周围，不断增强“四个意识”，坚定“四个自信”，做到“两个维护”，牢记“国之大者”，努力为党和国家的伟大事业营造更加稳定有利的外部环境。|||Rassemblés plus étroitement autour du Comité central du PCC ayant le Camarade Xi Jinping en son centre, les membres du service diplomatique de la Chine renforceront sans cesse la conscience politique, la conscience de l’intérêt général, la conscience du noyau dirigeant et la conscience de l’alignement, de même que la confiance dans la voie, la théorie, le système et la culture du socialisme aux caractéristiques chinoises, préserveront résolument la position centrale du Secrétaire général Xi Jinping au sein du Comité central et du Parti ainsi que l’autorité et la direction centralisée et unifiée du Comité central du Parti et garderont constamment à l’esprit les intérêts fondamentaux du pays pour œuvrer à créer un environnement extérieur plus stable et plus favorable à la grande cause du Parti et de l’État.
一是全力配合办好北京冬奥会。|||Premièrement, nous déploierons tous nos efforts pour contribuer au succès des Jeux Olympiques d’hiver de Beijing.
冬奥会已经进入“北京时间”，中国有信心为世界奉献一届简约、安全、精彩的奥运盛会。|||Les Jeux Olympiques sont à l’heure de Beijing. La Chine est confiante pour offrir au monde une édition de Jeux simplifiée, sûre et splendide.
我们愿同国际社会一道，弘扬“团结友爱、公平竞争、相互理解”的奥林匹克精神，恪守联大冬奥休战决议，反对奥运政治化，把冬奥会办成增进理解和友谊、“一起向未来”的交流盛会，为疫情下的世界带来更多信心与欢乐，注入更多勇气和力量。|||Nous sommes prêts à travailler avec la communauté internationale pour faire rayonner l’esprit olympique, à savoir « la compréhension mutuelle, l’esprit d’amitié, de solidarité et de fair-play », observer scrupuleusement la résolution de l’Assemblée générale des Nations Unies relative à la Trêve olympique, rejeter la politisation des Jeux Olympiques et faire des Jeux Olympiques d’hiver de Beijing un grand rendez-vous favorisant la compréhension mutuelle et l’amitié et invitant à aller « ensemble pour un avenir partagé », de sorte à apporter davantage de confiance, de joie, de courage et d’énergie au monde en combat contre le virus.
二是主动应对后疫情时期多重挑战。|||Deuxièmement, nous œuvrerons activement à relever les multiples défis dans l’après-COVID-19.
我们将坚持团结抗疫主旋律，打造防疫有力度、合作有温度的人类卫生健康共同体。|||Nous continuerons de promouvoir la lutte solidaire contre l’épidémie et bâtirons une communauté de santé pour tous marquée par l’efficacité de la riposte sanitaire et la solidarité dans la coopération.
用好疫苗这个最有力武器，弥合“免疫鸿沟”这一当务之急。|||Il est essentiel de faire bon usage des vaccins, arme la plus puissante, pour régler la question urgente de « fossé vaccinal ».
同时，积极开展药物研发合作，共筑多重抗疫防线，形成严防今后大流行的国际合力。|||Dans le même temps, il faut développer activement la coopération sur la R&D des médicaments pour bâtir des lignes de défense contre le virus et créer une synergie internationale pour prévenir rigoureusement les futures pandémies.
三是推动全球发展倡议落地生根。|||Troisièmement, nous travaillerons à la mise en œuvre de l’Initiative pour le Développement mondial.
全球发展倡议是面向世界开放的公共产品。|||Cette Initiative est un bien public ouvert au monde entier.
我们愿同联合国机构和各国密切合作，全面对接联合国2030年可持续发展议程，围绕八大重点领域推进合作落地，唱响发展优先理念，重振全球发展合作，不让任何一个国家、任何一个人掉队。|||Nous sommes prêts à travailler en étroite coopération avec les institutions onusiennes et les autres pays pour l’articuler sur tous les plans avec le Programme de développement durable à l’horizon 2030 des Nations Unies, et poursuivre la coopération autour des huit domaines prioritaires de l’Initiative pour faire valoir la vision de priorité au développement et redynamiser la coopération mondiale pour le développement, de sorte qu’aucun pays ni aucun individu ne soit laissé pour compte.
四是拓展深化全球伙伴关系。|||Quatrièmement, nous élargirons et approfondirons les partenariats dans le monde.
深化中俄肩并肩、背靠背战略合作，坚定做全球稳定的支柱、维护和平的基石、公平正义的担当。|||Nous approfondirons la coopération stratégique « épaule contre épaule » et « dos à dos » avec la Russie pour en faire pilier de la stabilité mondiale, socle de la préservation de la paix et force de l’équité et de la justice.
