政府工作报告|||Rapport d'activité du gouvernement
新签和升级8个自由贸易协定。|||Nous avons signé ou mis à niveau huit accords de libre-échange.
沪港通、深港通、债券通相继启动，人民币加入国际货币基金组织特别提款权货币篮子，人民币国际化迈出重要步伐。|||Les expériences de connexion des bourses de Shanghai et de Shenzhen avec celle de Hong Kong, ainsi que l'interconnexion des marchés obligataires, ont été lancées, et le renminbi a été admis au panier des DTS du Fonds monétaire international, ce qui montre que des progrès importants ont été réalisés dans l'internationalisation du renminbi.
中国开放的扩大，有力促进了自身发展，给世界带来重大机遇。|||En ouvrant davantage ses portes, la Chine a non seulement réussi à se développer vigoureusement elle-même, mais a aussi offert d'énormes occasions de développement au reste du monde.
（六）坚持实施区域协调发展和新型城镇化战略，着力推动平衡发展，新的增长极增长带加快成长。|||Nous avons suivi la stratégie de développement coordonné interrégional et de nouvelle urbanisation, en veillant à favoriser un développement équilibré, et les nouveaux pôles et zones de croissance se sont multipliés.
积极推进京津冀协同发展、长江经济带发展，编制实施相关规划，建设一批重点项目。|||Nous avons élaboré et mis à exécution des plans et lancé une série de projets clés pour promouvoir activement le développement coordonné de la zone Beijing-Tianjin-Hebei, ainsi que le développement de la ceinture économique du Changjiang.
出台一系列促进西部开发、东北振兴、中部崛起、东部率先发展的改革创新举措。|||Une série de mesures de réforme et d'innovation ont été formulées pour mettre en valeur l'Ouest, redresser le Nord-Est, redynamiser le Centre et faire de l'Est le fer de lance de notre développement.
加大对革命老区、民族地区、边疆地区、贫困地区扶持力度，加强援藏援疆援青工作。|||Un soutien plus efficace a été apporté au développement des anciennes bases révolutionnaires, des régions peuplées de minorités ethniques, des régions frontalières et des régions pauvres, et l'assistance au Tibet, au Xinjiang et au Qinghai a été renforcée.
海洋保护和开发有序推进。|||La protection et l'exploitation des mers se sont poursuivies de façon ordonnée.
实施重点城市群规划，促进大中小城市和小城镇协调发展。|||Nous avons mis en œuvre la planification des conurbations d'importance majeure et poursuivi le développement coordonné des bourgs et des villes de toute taille.
绝大多数城市放宽落户限制，居住证制度全面实施，城镇基本公共服务向常住人口覆盖。|||Les restrictions sur l'obtention du hukou urbain ont été assouplies dans la grande majorité des villes, et la carte de résident a été introduite dans l'ensemble du pays. Les services publics de base commencent à couvrir la population urbaine permanente.
城乡区域发展协调性显著增强。|||Le développement coordonné des villes et les campagnes, ainsi que celui des différentes régions, ont été particulièrement évidents.
（七）坚持以人民为中心的发展思想，着力保障和改善民生，人民群众获得感不断增强。|||Suivant le principe du développement centré sur le peuple, nous avons fait un gros effort pour que le bien-être du peuple soit garanti et amélioré, et que les Chinois éprouvent un sentiment de satisfaction de plus en plus fort.
在财力紧张情况下，持续加大民生投入。|||Malgré des moyens financiers tendus, nous avons continué à augmenter le soutien financier au bien-être du peuple.
全面推进精准扶贫、精准脱贫，健全中央统筹、省负总责、市县抓落实的工作机制，中央财政五年投入专项扶贫资金2800多亿元。|||Nous avons continué à accorder une assistance ciblée aux démunis et à pratiquer l'élimination ciblée de la pauvreté, tout en perfectionnant le mécanisme de travail dit "le gouvernement central se charge de la planification d'ensemble, les gouvernements provinciaux se chargent de la direction, et les gouvernements au niveau de la municipalité et du district se chargent de la mise en application". Les finances centrales ont alloué plus de 280 milliards de yuans de fonds spéciaux dans ce domaine durant les cinq dernières années.
实施积极的就业政策，重点群体就业得到较好保障。|||Grâce à l'application d'une politique dynamique de l'emploi, nous avons pu venir en aide aux catégories prioritaires de demandeurs d'emploi.
坚持教育优先发展，财政性教育经费占国内生产总值比例持续超过4%。|||L'éducation a fait l'objet d'un développement privilégié : les dépenses budgétaires destinées à ce chapitre représentent depuis plusieurs années plus de 4 % du PIB.
改善农村义务教育薄弱学校办学条件，提高乡村教师待遇，营养改善计划惠及3600多万农村学生。|||Un gros effort a été fait pour améliorer la situation des écoles rurales de l'enseignement obligatoire en déficit d'excellence, le traitement des instituteurs de campagne a augmenté, et le programme visant à améliorer l'alimentation des élèves a profité à plus de 36 millions d'élèves dans les zones rurales.
启动世界一流大学和一流学科建设。|||Un projet de construction d'universités et de disciplines de premier ordre mondial a été lancé.
重点高校专项招收农村和贫困地区学生人数由1万人增加到10万人。加大对各类学校家庭困难学生资助力度，4.3亿人次受益。|||Le nombre d'étudiants provenant de campagnes et de régions déshéritées bénéficiant du projet spécial par les établissements de l'enseignement supérieur de premier ordre est passé de 10 000 à 100 000. 430 millions d'allocations ont été versées à des jeunes issus de familles pauvres qui font leurs études dans des écoles de différentes catégories.
劳动年龄人口平均受教育年限提高到10.5年。|||La durée moyenne des études de la population active a atteint 10,5 ans.
居民基本医保人均财政补助标准由240元提高到450元，大病保险制度基本建立、已有1700多万人次受益，异地就医住院费用实现直接结算，分级诊疗和医联体建设加快推进。|||L'allocation par personne versée par les finances publiques à l'assurance maladie de base des habitants est passée de 240 à 450 yuans par tête ; l'assurance contre les maladies graves, qui a déjà couvert plus de 17 millions de consultations, a pris forme pour l'essentiel ; le remboursement direct des frais d'hospitalisation à l'endroit même de la prestation de soins a été réalisé. Le système de traitement échelonné selon la gravité des maladies a fait des progrès, et la construction de complexes médicaux a avancé à un rythme accéléré.
持续合理提高退休人员基本养老金。|||La pension de vieillesse de base des retraités a été continuellement majorée dans une mesure appropriée.
提高低保、优抚等标准，完善社会救助制度，近6000万低保人员和特困群众基本生活得到保障。|||Le minimum vital garanti et les indemnités aux militaires invalides, aux familles de militaires morts en service commandé et à d'autres catégories d'agents de l'État ainsi qu'à leurs familles, ont été augmentés, et le système d'assistance sociale a été parachevé. Les moyens d'existence d'environ 60 millions de bénéficiaires des minima sociaux et de personnes nécessiteuses ont ainsi reçu une solide garantie.
建立困难和重度残疾人“两项补贴”制度，惠及2100多万人。|||La création de la "double subvention" destinée aux handicapés graves ou nécessiteux a profité à 21 millions de personnes.
实施全面两孩政策。|||La politique des deux enfants a été appliquée à l'échelle nationale.
强化基层公共文化服务，加快发展文化事业，文化产业年均增长13%以上。|||Les services culturels publics se sont améliorés aux échelons de base ; le secteur culturel a progressé plus rapidement ; et la valeur ajoutée des industries culturelles a connu une croissance annuelle moyenne de plus de 13 %.
全民健身广泛开展，体育健儿勇创佳绩。|||La pratique de l'exercice physique a été généralisée à une plus large échelle, et les sportifs chinois ont brillé dans les compétitions.
（八）坚持人与自然和谐发展，着力治理环境污染，生态文明建设取得明显成效。|||En préconisant le développement harmonieux de l'homme et de la nature, nous avons déployé un effort efficace contre la pollution de l'environnement, et la reconstitution des écosystèmes a donné des résultats encourageants.
树立绿水青山就是金山银山理念，以前所未有的决心和力度加强生态环境保护。|||En ancrant dans les esprits que la nature est notre trésor le plus précieux, nous nous sommes employés à protéger les écosystèmes avec une volonté et une énergie inédites.
重拳整治大气污染，重点地区细颗粒物（PM2.5）平均浓度下降30%以上。|||Nous avons livré une lutte très ferme contre la pollution de l'air, et la densité des particules fines PM2,5 a baissé en moyenne de plus de 30 % dans les régions prioritaires.
加强散煤治理，推进重点行业节能减排，71%的煤电机组实现超低排放。|||Un énorme effort a été fait pour réglementer l'utilisation du charbon non industriel et pour promouvoir les économies d'énergie et la réduction des émissions polluantes dans les secteurs clés, et les transformations techniques visant à réduire au plus bas niveau possible les émissions de gaz des centrales électriques au charbon ont été achevées sur 71 % de tranches.
优化能源结构，煤炭消费比重下降8.1个百分点，清洁能源消费比重提高6.3个百分点。|||Le bouquet énergétique ayant été optimisé, la consommation du charbon a reculé de 8,1 points de pourcentage, alors que la part de la consommation de l'énergie propre a augmenté de 6,3 points.
提高燃油品质，淘汰黄标车和老旧车2000多万辆。|||Nous avons élevé la qualité des carburants, et plus de 20 millions de véhicules non conformes aux normes d'émission ou en très mauvais état ont été envoyés à la casse.
加强重点流域海域水污染防治，化肥农药使用量实现零增长。|||La prévention et le traitement de la pollution de l'eau dans les zones riveraines et côtières importantes ont été renforcés, et l'usage des engrais chimiques et des pesticides a été maîtrisé.
推进重大生态保护和修复工程，扩大退耕还林还草还湿，加强荒漠化、石漠化、水土流失综合治理。|||Tout en faisant avancer les projets importants de protection et de régénération des écosystèmes, nous avons intensifié nos efforts pour reconvertir les terres abusivement défrichées en forêts, en steppes et en zones humides, et lutté vigoureusement contre la désertification, l'extension des déserts rocheux, l'épuisement des nappes phréatiques et l'érosion.
开展中央环保督察，严肃查处违法案件，强化追责问责。|||Les autorités centrales ont multiplié les inspections environnementales, poursuivi et sanctionné avec la plus grande sévérité les personnes coupables de délits, et renforcé le système de poursuite en responsabilité.
积极推动《巴黎协定》签署生效，我国在应对全球气候变化中发挥了重要作用。|||La Chine a contribué à la conclusion de l'Accord de Paris, et joué un rôle important dans la lutte contre le changement climatique.
（九）坚持依法全面履行政府职能，着力加强和创新社会治理，社会保持和谐稳定。提请全国人大常委会制定修订法律95部，制定修订行政法规195部，修改废止一大批部门规章。|||Nous avons exercé intégralement les attributions du gouvernement en vertu de la loi, fait un grand effort pour renforcer et rénover la gouvernance sociale, et réussi à maintenir la stabilité et l'harmonie sociales. 95 projets de loi et révisions ont été soumis au Comité permanent de l'Assemblée populaire nationale, 195 règlements administratifs ont été rédigés ou amendés, et un nombre important de règlements ministériels été modifiés ou abolis.
省、市、县政府部门制定公布权责清单。|||Les gouvernements aux échelons provincial, municipal et du district ont établi et publié la liste exhaustive de leurs pouvoirs et responsabilités.
开展国务院大督查和专项督查，对积极作为、成效突出的给予表彰和政策激励，对不作为的严肃问责。|||Le Conseil des affaires d'État a organisé une tournée d'inspection de grande envergure et des tournées d'inspection spéciales, à la suite desquelles les services méritants ont été mis à l'honneur et ont fait l'objet d'un traitement préférentiel, et les lanternes rouges ont été sévèrement punies.
创新城乡基层治理。|||Nous avons veillé à rénover la gestion au niveau des échelons de base dans les villes et les campagnes.
完善信访工作制度。|||Le système des doléances populaires orales et écrites a été perfectionné.
扩大法律援助范围。|||Davantage de personnes ont pu bénéficier de l'assistance juridique.
促进安全生产领域改革发展，事故总量和重特大事故数量持续下降。|||Grâce à la réforme et au développement du domaine de la sécurité du travail, le nombre total des accidents ainsi que celui des accidents graves ou extrêmement graves ont diminué constamment.
改革完善食品药品监管，强化风险全程管控。|||Nous avons réformé et parachevé le système de supervision et de contrôle des produits alimentaires et pharmaceutiques pour renforcer la prévention et le traitement des risques d'un bout à l'autre de la chaîne.
加强地震、特大洪灾等防灾减灾救灾工作，健全分级负责、相互协同的应急机制，最大程度降低了灾害损失。|||Nous avons renforcé la lutte contre les calamités naturelles telles que les séismes et les inondations catastrophiques, afin de les prévenir, de réduire leurs conséquences et de mieux venir en aide aux sinistrés, tout en améliorant le mécanisme d'urgence caractérisé par une hiérarchisation des responsabilités et une meilleure coordination. Cela a permis de réduire considérablement les dégâts occasionnés par les catastrophes naturelles.
加强国家安全。|||La sécurité nationale a été renforcée.
健全社会治安防控体系，依法打击各类违法犯罪，有力维护了公共安全。|||Par ailleurs, nous avons amélioré le système de prévention et de contrôle en matière d'ordre social, et combattu en vertu de la loi toutes sortes de délits de droit commun, sauvegardant ainsi énergiquement la sécurité publique.
贯彻落实党中央全面从严治党部署，加强党风廉政建设和反腐败斗争。|||Nous avons appliqué les dispositions du Comité central du Parti sur l'application intégrale d'une discipline rigoureuse dans les rangs du Parti, et renforcé la lutte pour l'intégrité dans les rangs du Parti et contre la corruption.
深入开展党的群众路线教育实践活动、“三严三实”专题教育、“两学一做”学习教育，认真落实党中央八项规定精神，持之以恒纠正“四风”，严格执行国务院“约法三章”。|||La campagne d'éducation et de mise en pratique de la ligne de masse du Parti s'est poursuivie en profondeur, en même temps que l'opération éducative sur le style de travail dit "trois consignes de rigueur et trois règles d'honnêteté", et l'éducation dite "deux études et une ligne d'action" ; l'esprit des "huit recommandations" du Parti a été sérieusement appliqué pour réprimer avec persévérance les "quatre vices" [le formalisme, la bureaucratie, l'hédonisme et le goût du luxe] ; la "convention en trois points" du Conseil des affaires d'État a été rigoureusement observée.
严控新建政府性楼堂馆所和财政供养人员总量，“三公”经费大幅压减。|||La mise en chantier de nouveaux immeubles administratifs et le total des effectifs de fonctionnaires ont été strictement contrôlés ; les "trois frais publics courants" [réception, voitures de fonction et missions à l'étranger ou à Hong Kong, Macao et Taiwan] ont été réduits considérablement.
加强行政监察和审计监督。|||L'inspection administrative et l'audit ont été renforcés.
坚决查处和纠正违法违规行为，严厉惩处腐败分子，反腐败斗争压倒性态势已经形成并巩固发展。|||Enfin, nous avons sévi rigoureusement contre les délits de toute sorte et puni sévèrement de nombreux éléments corrompus, ce qui a permis de renforcer et de maintenir l'effet dissuasif et répressif de la lutte anticorruption.
各位代表：|||Camarades députés,
过去五年，民族、宗教、侨务等工作创新推进。|||Au cours des cinq années écoulées, le travail concernant les ethnies, les affaires religieuses et les Chinois d'outre-mer a continué à progresser de manière originale.
支持民族地区加快发展，民族团结进步事业取得长足进展。|||Le développement des régions peuplées de minorités ethniques s'est accéléré grâce à notre soutien, et la cause du progrès et du renforcement de l'union de toutes les ethnies a avancé à grands pas.
积极引导宗教与社会主义社会相适应。|||Nous avons travaillé activement à aider les religions à s'adapter à la société socialiste.
海外侨胞和归侨侨眷在国家现代化建设中作出了独特贡献。|||Les Chinois d'outre-mer, les ressortissants chinois revenus dans la patrie et les membres de leur famille ont apporté des contributions uniques à la modernisation du pays.
过去五年，在党中央、中央军委领导下，强军兴军开创新局面。制定新形势下军事战略方针，召开古田全军政治工作会议，深入推进政治建军、改革强军、科技兴军、依法治军，人民军队实现政治生态重塑、组织形态重塑、力量体系重塑、作风形象重塑。|||Au cours des cinq années écoulées, sous la direction du Comité central du Parti et de la Commission militaire centrale, nos efforts pour renforcer et renouveler notre outil militaire ont connu de nouvelles avancées : des principes stratégiques militaires adaptés à la conjoncture nouvelle ont été élaborés ; à la suite de la conférence de Gutian sur le travail politique au sein de l'armée, de grands efforts ont été déployés pour poursuivre en profondeur l'édification de l'armée sur le plan politique, le renforcement de l'armée par la réforme, le renouveau de l'armée par la science et la technologie, ainsi que l'administration de l'armée en vertu de la loi ; c'est ainsi que l'armée populaire a accompli une refonte de son paysage politique, de ses structures organisationnelles, de la composition de ses forces et de son style de travail.
有效遂行海上维权、反恐维稳、抢险救灾、国际维和、亚丁湾护航、人道主义救援等重大任务。|||L'armée populaire a procédé à l'exécution de tâches importantes, telles que la sauvegarde de nos droits dans l'espace maritime, la lutte contre le terrorisme et la préservation de la stabilité, la lutte contre les calamités naturelles et les secours aux populations sinistrées, les opérations internationales de maintien de la paix, l'escorte de convois dans le golfe d'Aden et les secours humanitaires.
各方配合基本完成裁减军队员额30万任务。|||Grâce aux efforts de tous, une réduction de 300 000 hommes des effectifs de l'armée a été quasiment réalisée.
军事装备现代化水平显著提升，军民融合深度发展。|||Par ailleurs, il s'est produit une modernisation sensible des équipements militaires. Et l'intégration militaro-civile a continué à se développer.
军政军民紧密团结。|||L'union de l'armée avec le gouvernement et le peuple s'est resserrée.
人民军队面貌焕然一新，在中国特色强军之路上迈出坚实步伐。|||Tout cela a permis à l'armée populaire de revêtir une physionomie toute nouvelle et de faire de solides pas en avant dans la voie de la montée en puissance à la chinoise.
过去五年，港澳台工作取得新进展。|||Au cours des cinq années écoulées, le travail concernant Hong Kong, Macao et Taiwan a enregistré de nouveaux progrès.
“一国两制”实践不断丰富和发展，宪法和基本法权威在港澳进一步彰显，内地与港澳交流合作深入推进，港珠澳大桥全线贯通，香港、澳门保持繁荣稳定。|||La mise en pratique du principe "un pays, deux systèmes" s'est enrichie et s'est développée constamment ; l'autorité de la Constitution et des lois fondamentales s'est sensiblement renforcée à Hong Kong et à Macao ; les échanges et la coopération entre la partie continentale et ces deux régions se sont poursuivis en profondeur ; le grand pont reliant Hong Kong, Zhuhai et Macao a été mis en service ; la prospérité et la stabilité de Hong Kong et de Macao ont été maintenues.
坚持一个中国原则和“九二共识”，加强两岸经济文化交流合作，实现两岸领导人历史性会晤。|||En maintenant le principe d'une seule Chine et le "Consensus de 1992", nous avons renforcé les échanges et la coopération entre les deux rives du détroit de Taiwan sur les plans économique et culturel, et réalisé la rencontre historique des dirigeants des deux côtés.
坚决反对和遏制“台独”分裂势力，有力维护了台海和平稳定。|||Nous avons combattu fermement les forces sécessionnistes pour l'"indépendance de Taiwan", sauvegardant ainsi la paix et la stabilité de la région du détroit.
过去五年，中国特色大国外交全面推进。|||Au cours des cinq années écoulées, nous avons fait progresser globalement la diplomatie de grand État à la chinoise.
成功举办首届“一带一路”国际合作高峰论坛、亚太经济合作组织领导人非正式会议、二十国集团领导人杭州峰会、金砖国家领导人厦门会晤等重大主场外交。|||Nous avons organisé une série de rendez-vous diplomatiques d'importance majeure, tels que le Forum "la Ceinture et la Route" pour la coopération internationale, la réunion informelle des dirigeants de l'APEC, le sommet du G20 à Hangzhou et le sommet des BRICS à Xiamen.
习近平主席等国家领导人出访多国，出席联合国系列峰会、气候变化大会、世界经济论坛、东亚合作领导人系列会议等重大活动，全方位外交布局深入展开。|||Le président Xi Jinping et d'autres dirigeants chinois se sont rendus dans un grand nombre de pays et ont participé à d'importantes activités multilatérales, dont les sommets de l'ONU, la Conférence sur le changement climatique, le Forum économique mondial et la série de réunions au sommet sur la coopération des pays d'Asie de l'Est. Tout cela a permis à notre diplomatie tous azimuts de s'approfondir.
倡导构建人类命运共同体，为全球治理体系变革贡献更多中国智慧。|||Nous avons pris l'initiative de construire une communauté de destin pour l'humanité, tout en contribuant davantage par la sagesse chinoise à la réforme du système de la gouvernance mondiale.
经济外交、人文交流卓有成效。|||La diplomatie économique et les échanges socioculturels ont donné des résultats fructueux.
坚定维护国家主权和海洋权益。|||Nous avons fermement défendu notre souveraineté nationale et nos droits et intérêts maritimes.
中国作为负责任大国，在解决国际和地区热点问题上发挥了重要建设性作用，为世界和平与发展作出新的重大贡献。|||Grand acteur mondial responsable, la Chine a joué un rôle constructif dans la solution des dossiers brûlants internationaux et régionaux, apportant par là une contribution majeure à la paix et au développement dans le monde.
各位代表：|||Camarades députés,
回顾过去五年，诸多矛盾交织叠加，各种风险挑战接踵而至，国内外很多情况是改革开放以来没有碰到过的，我国改革发展成就实属来之不易。|||Au cours des cinq dernières années, les diverses contradictions se sont enchevêtrées et additionnées, et les risques se sont succédé les uns aux autres. Dans le monde comme en Chine, nous avons été confrontés à des situations jamais vues depuis le lancement de la politique de réforme et d'ouverture.
这是以习近平同志为核心的党中央坚强领导的结果，是习近平新时代中国特色社会主义思想科学指引的结果，是全党全军全国各族人民团结奋斗的结果。|||Les brillants succès obtenus dans la réforme et le développement du pays, qui nous ont coûté d'énormes efforts, nous les devons à la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, aux lumières de sa pensée sur le socialisme à la chinoise de la nouvelle ère, et aux efforts conjugués du Parti, de l'armée et du peuple chinois dans sa diversité ethnique.
我代表国务院，向全国各族人民，向各民主党派、各人民团体和各界人士，表示诚挚感谢！向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，表示诚挚感谢！向关心和支持中国现代化建设的各国政府、国际组织和各国朋友，表示诚挚感谢！|||Je tiens ici à exprimer, au nom du Conseil des affaires d'État, nos sincères remerciements à toutes nos communautés ethniques, à tous les partis et groupements démocratiques, à toutes les organisations populaires, aux personnalités de tous les milieux, à nos concitoyens des régions administratives spéciales de Hong Kong et de Macao, à nos compatriotes de Taiwan, ainsi qu'aux Chinois résidant à l'étranger, sans oublier les gouvernements des divers pays, les organisations internationales et nos amis partout dans le monde qui s'intéressent à la Chine et apportent leur soutien à la modernisation de la Chine.
安不忘危，兴不忘忧。|||Même dans la paix et la prospérité, il ne faut jamais relâcher sa vigilance.
我们清醒认识到，我国仍处于并将长期处于社会主义初级阶段，仍是世界最大发展中国家，发展不平衡不充分的一些突出问题尚未解决。|||Nous sommes absolument conscients que notre pays se trouve, et se trouvera encore longtemps, au stade primaire du socialisme, qu'il reste le plus grand pays en voie de développement du monde et qu'il subsiste maint problème qui empêche le développement équilibré et complet du pays.
经济增长内生动力还不够足，创新能力还不够强，发展质量和效益不够高，一些企业特别是中小企业经营困难，民间投资增势疲弱，部分地区经济下行压力较大，金融等领域风险隐患不容忽视。|||La force endogène de la croissance économique demeure insuffisante ; notre capacité d'innovation n'est toujours pas assez forte ; la qualité et l'efficacité du développement laissent à désirer ; beaucoup d'entreprises, en particulier des PME, rencontrent des difficultés d'exploitation ; le taux de croissance des investissements privés s'est affaibli ; la pression à la baisse sur notre économie dans certaines régions reste assez forte ; et des risques latents, notamment dans le secteur financier, requièrent notre vigilance.
脱贫攻坚任务艰巨，农业农村基础仍然薄弱，城乡区域发展和收入分配差距依然较大。|||L'élimination de la pauvreté reste difficile ; les bases de notre agriculture et des régions rurales demeurent faibles ; et l'écart de développement entre villes et campagnes comme entre les différentes régions et l'écart de revenus reste grand.
重特大安全生产事故时有发生。|||Des accidents de travail graves ou extrêmement graves continuent à se produire.
在空气质量、环境卫生、食品药品安全和住房、教育、医疗、就业、养老等方面，群众还有不少不满意的地方。|||Les masses populaires ne sont pas satisfaites de l'état de la qualité de l'air et de l'environnement, de l'hygiène, de la sûreté alimentaire et pharmaceutique, du logement, de l'éducation, des soins médicaux, de l'emploi et des services aux personnes âgées.
政府职能转变还不到位。|||La redéfinition des attributions des administrations laisse à désirer.
政府工作存在不足，有些改革举措和政策落实不力，一些干部服务意识和法治意识不强、工作作风不实、担当精神不够，形式主义、官僚主义不同程度存在。|||Il existe des insuffisances dans le travail du gouvernement : certaines politiques et mesures de réforme ne sont pas appliquées avec suffisamment de force. Certains fonctionnaires tardent à acquérir une conscience nette des obligations de leur charge, et la conscience de la légalité leur fait défaut. Ils refusent de faire du bon travail et fuient leurs responsabilités. Le formalisme et la bureaucratie continuent à se manifester à des degrés différents.
群众和企业对办事难、乱收费意见较多。|||Les masses populaires et les entreprises sont très critiques à l'égard des labyrinthes administratifs et des facturations injustifiées.
一些领域不正之风和腐败问题仍然多发。|||Dans certains secteurs, la corruption et la prévarication restent fréquentes.
我们一定要以对国家和人民高度负责的精神，以不畏艰难的勇气、坚忍不拔的意志，尽心竭力做好工作，使人民政府不负人民重托！|||Dans un esprit de responsabilité envers l'État et le peuple, nous devons avoir le courage d'affronter les problèmes et les difficultés, faire preuve d'une volonté de fer et consacrer toutes nos énergies aux tâches qui nous incombent. Le gouvernement du peuple ne décevra pas les attentes du peuple !
二、2018年经济社会发展总体要求和政策取向|||II. EXIGENCES GÉNÉRALES ET ORIENTATIONS POLITIQUES DU DÉVELOPPEMENT SOCIOÉCONOMIQUE DE 2018
今年是全面贯彻党的十九大精神的开局之年，是改革开放40周年，是决胜全面建成小康社会、实施“十三五”规划承上启下的关键一年。|||L'année 2018 est l'année inaugurale qui verra se traduire dans les faits l'esprit du XIXe Congrès du Parti ; cette année marque aussi le 40e anniversaire du lancement de la politique de réforme et d'ouverture ; c'est, enfin, une charnière essentielle dans la mise en œuvre du XIIIe Plan quinquennal et dans nos efforts pour réaliser l'édification intégrale de la société de moyenne aisance.
做好政府工作，要在以习近平同志为核心的党中央坚强领导下，以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导，全面深入贯彻党的十九大和十九届二中、三中全会精神，贯彻党的基本理论、基本路线、基本方略，坚持和加强党的全面领导，坚持稳中求进工作总基调，坚持新发展理念，紧扣我国社会主要矛盾变化，按照高质量发展的要求，统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局，坚持以供给侧结构性改革为主线，统筹推进稳增长、促改革、调结构、惠民生、防风险各项工作，大力推进改革开放，创新和完善宏观调控，推动质量变革、效率变革、动力变革，特别在打好防范化解重大风险、精准脱贫、污染防治的攻坚战方面取得扎实进展，引导和稳定预期，加强和改善民生，促进经济社会持续健康发展。|||Pour mener à bien les activités du gouvernement, il nous faut, sous la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, nous guider sur le marxisme-léninisme, la pensée de Mao Zedong, la théorie de Deng Xiaoping, la pensée importante de la "Triple Représentation", le concept de développement scientifique et la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, appliquer de façon intégrale et approfondie l'esprit du XIXe Congrès et des 2e et 3e plénums du Comité central issu de ce congrès, suivre la théorie, la ligne et la stratégie fondamentales du Parti, et maintenir et renforcer sa direction sur tous les plans. Il nous faut, en poursuivant le principe général dit "aller de l'avant à pas assurés", en maintenant la nouvelle vision de développement, en suivant de près la transformation de la principale contradiction sociale et en respectant l'exigence du développement centré sur la qualité, faire progresser de façon synergique les dispositions d'ensemble dites "Plan global en cinq axes" et les dispositions stratégiques des "Quatre Intégralités". Il nous faut aussi prendre pour fil conducteur la réforme structurelle du côté de l'offre pour promouvoir de façon coordonnée les diverses activités visant au maintien d'une croissance régulière, à la bonne marche de la réforme, à la restructuration économique, à l'amélioration du niveau de vie de la population et à la prévention des risques ; poursuivre énergiquement la réforme et l'ouverture ; renouveler et améliorer le macrocontrôle ; promouvoir un changement en matière de qualité, d'efficacité et de force motrice du développement économique ; réaliser en particulier des progrès substantiels dans les grandes batailles que sont la prévention et la résorption des risques majeurs, l'élimination ciblée de la pauvreté et la lutte contre la pollution environnementale ; orienter et stabiliser les anticipations ; assurer et améliorer le bien-être de la population ; et promouvoir ainsi un développement socioéconomique sain et durable.
综合分析国内外形势，我国发展面临的机遇和挑战并存。|||Partant d'une analyse globale de la conjoncture tant intérieure qu'extérieure, nous arrivons au constat que notre chemin de développement compte autant de défis que d'opportunités.
世界经济有望继续复苏，但不稳定不确定因素很多，主要经济体政策调整及其外溢效应带来变数，保护主义加剧，地缘政治风险上升。|||Il est probable que l'économie mondiale poursuivra sa reprise, mais les facteurs d'instabilité et d'incertitude restent nombreux : songeons au réajustement des politiques des principales entités économiques et à ses conséquences sur le reste du monde, à l'aggravation du protectionnisme et à la montée des risques géopolitiques.
我国经济正处在转变发展方式、优化经济结构、转换增长动力的攻关期，还有很多坡要爬、坎要过，需要应对可以预料和难以预料的风险挑战。|||Comme notre économie se trouve actuellement dans une période clé caractérisée par la transformation du mode de développement, l'optimisation de la structure économique et la conversion des moteurs de croissance, il reste bien des difficultés à surmonter et bien des défis à relever, les uns prévisibles, les autres moins.
实践表明，中国的发展成就从来都是在攻坚克难中取得的。|||Cependant, les faits ont montré que c'est toujours en relevant des défis de ce genre que notre pays a réussi son développement.
当前我国物质技术基础更加雄厚，产业体系完备、市场规模巨大、人力资源丰富、创业创新活跃，综合优势明显，有能力有条件实现更高质量、更有效率、更加公平、更可持续的发展。|||Disposant des atouts que sont une base matérielle et technique solide, un système industriel complet, un marché immense, des ressources humaines abondantes, et un regain de dynamisme dans l'innovation et l'entrepreneuriat, nous possédons un avantage global évident, et nous sommes capables de réaliser un développement qui soit non seulement de meilleure qualité, mais aussi efficace, équitable et inscrit dans la durée.
