政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
综合分析国内外形势，今年我国发展面临的环境更复杂更严峻，可以预料和难以预料的风险挑战更多更大，要做好打硬仗的充分准备。|||La conjoncture tant nationale qu'internationale a fait basculer notre développement dans un environnement d'une grande dureté et complexité, marqué par une multiplication et une aggravation des risques et des défis qui ne peuvent pas tous être anticipés. Nous devons donc nous armer pour livrer une bataille des plus âpres.
困难不容低估，信心不可动摇，干劲不能松懈。|||Si l'on ne saurait minimiser les difficultés, il ne faut pas pour autant laisser affaiblir notre confiance, et encore moins notre ardeur au travail.
我国发展仍处于重要战略机遇期，拥有足够的韧性、巨大的潜力和不断迸发的创新活力，人民群众追求美好生活的愿望十分强烈。|||L'heure nous est favorable du point de vue stratégique, la résilience de notre économie, son potentiel de développement et sa dynamique d'innovation inépuisable demeurent grands, et l'aspiration de la population à une vie meilleure s'avère très forte.
我们有战胜各种困难挑战的坚定意志和能力，经济长期向好趋势没有也不会改变。|||Nous avons la volonté inébranlable et la capacité de surmonter toutes sortes de difficultés et de défis. Il n'y a aucune raison de douter que notre économie maintienne sa trajectoire ascendante durant de longues années.
今年经济社会发展的主要预期目标是：国内生产总值增长6%－6.5%；城镇新增就业1100万人以上，城镇调查失业率5.5%左右，城镇登记失业率4.5%以内；居民消费价格涨幅3%左右；国际收支基本平衡，进出口稳中提质；宏观杠杆率基本稳定，金融财政风险有效防控；农村贫困人口减少1000万以上，居民收入增长与经济增长基本同步；生态环境进一步改善，单位国内生产总值能耗下降3%左右，主要污染物排放量继续下降。|||Les objectifs essentiels prévus pour 2019 sont les suivants : une croissance de 6 à 6,5 % du PIB ; la création de plus de 11 millions d'emplois dans les agglomérations urbaines, un taux de chômage au sens du recensement de la population à environ 5,5 % et un taux de chômage enregistré inférieur à 4,5 % ; une hausse d'environ 3 % des prix à la consommation des ménages ; un équilibre global de la balance des paiements internationaux, l'import-export étant stabilisé et marqué par une meilleure qualité ; un ratio de la dette au PIB stabilisé dans son ensemble, accompagné d'une prévention et d'un contrôle efficaces des risques financiers et budgétaires ; une diminution de plus de 10 millions de la population rurale pauvre et une synchronisation de l'augmentation des revenus des habitants et de la croissance économique ; l'amélioration continue de l'environnement, une baisse d'environ 3 % de la consommation d'énergie par unité de PIB et une diminution continuelle des émissions des principaux polluants.
上述主要预期目标，体现了推动高质量发展要求，符合我国发展实际，与全面建成小康社会目标相衔接，是积极稳妥的。|||La définition de ces objectifs tient compte des exigences de la promotion d'un développement de qualité, épouse la réalité de notre développement, et répond à l'objectif de parachever l'édification intégrale de la société de moyenne aisance. Ils s'avèrent à la fois ambitieux et prudents.
实现这些目标，需要付出艰苦努力。|||Pour les réaliser, il nous faudra consentir beaucoup d'efforts laborieux.
要正确把握宏观政策取向，继续实施积极的财政政策和稳健的货币政策，实施就业优先政策，加强政策协调配合，确保经济运行在合理区间，促进经济社会持续健康发展。|||Cette année, nous devons bien maintenir l'orientation de nos politiques macroéconomiques, poursuivre notre politique monétaire prudente et notre politique budgétaire de relance, et insister sur la politique de priorité à l'emploi, tout en veillant à renforcer la coordination de toutes les politiques, afin que notre économie fonctionne dans des limites raisonnables et qu'un développement sain et durable soit maintenu tant pour notre économie que pour notre société.
积极的财政政策要加力提效。|||La politique budgétaire de relance doit être menée de manière plus énergique et efficace.
今年赤字率拟按2.8%安排，比去年预算高0.2个百分点；财政赤字2.76万亿元，其中中央财政赤字1.83万亿元，地方财政赤字9300亿元。|||Cette année, nous prévoyons un taux de déficit de 2,8 %, soit un accroissement de 0,2 point de pourcentage par rapport au budget de 2018. Sur le chiffre global de 2 760 milliards de yuans, le déficit des finances centrales devrait représenter 1 830 milliards de yuans et celui des instances locales, 930 milliards.
适度提高赤字率，综合考虑了财政收支、专项债券发行等因素，也考虑为应对今后可能出现的风险留出政策空间。|||L'augmentation appropriée du taux de déficit tient compte des facteurs réels comme les recettes et dépenses budgétaires et l'émission des obligations spéciales, et répond aussi au besoin de ménager une marge de manœuvre politique suffisante pour maîtriser les risques susceptibles de surgir dans les temps à venir.
今年财政支出超过23万亿元，增长6.5%。|||Cette année, les dépenses budgétaires devraient dépasser 23 000 milliards de yuans, soit une augmentation de 6,5 % par rapport à l'année précédente.
中央对地方均衡性转移支付增长10.9%。|||L'ampleur des transferts de paiements aux instances locales par les instances centrales au titre de l'homogénéisation des services publics fondamentaux entre les régions augmentera de 10,9 %.
改革完善县级基本财力保障机制，缓解困难地区财政运转压力，决不让基本民生保障出问题。|||En améliorant par la réforme le mécanisme de garantie des moyens financiers de base à l'échelon des districts, nous chercherons à atténuer la pression financière qui pèse sur les régions en difficulté. Nous ferons l'impossible pour que le bien-être social fondamental soit assuré comme il se doit.
稳健的货币政策要松紧适度。|||L'application de la politique monétaire prudente exigera de concilier adéquatement la rigueur et la souplesse.
广义货币M2和社会融资规模增速要与国内生产总值名义增速相匹配，以更好满足经济运行保持在合理区间的需要。|||La croissance de la masse monétaire M2 et de l'agrégat de financement de l'économie réelle hors autorités publiques devrait correspondre à la croissance nominale du PIB. Cela devrait contribuer à maintenir l'activité économique dans une fourchette raisonnable.
在实际执行中，既要把好货币供给总闸门，不搞“大水漫灌”，又要灵活运用多种货币政策工具，疏通货币政策传导渠道，保持流动性合理充裕，有效缓解实体经济特别是民营和小微企业融资难融资贵问题，防范化解金融风险。|||Dans la pratique, il faut, d'une part, bien contrôler l'offre de monnaie en évitant des mesures de surstimulation du type « irrigation par l'inondation », et de l'autre, recourir aux divers instruments de la politique monétaire, fluidifier les mécanismes de transmission de cette dernière, maintenir les liquidités à un niveau suffisamment élevé, atténuer les difficultés de financement de l'économie réelle et en particulier des entreprises privées et des PEMIC, et réduire, voire prévenir les risques du secteur financier.
深化利率市场化改革，降低实际利率水平。|||En même temps, il faut approfondir les réformes visant à soumettre les taux d'intérêt aux règles du marché, et abaisser le niveau réel de ces derniers.
完善汇率形成机制，保持人民币汇率在合理均衡水平上的基本稳定。|||Il faut aussi améliorer le mécanisme de formation du taux de change du renminbi, de sorte que, globalement, sa stabilité soit préservée à un niveau adéquat.
就业优先政策要全面发力。|||La politique de priorité à l'emploi doit être appliquée dans tous les domaines.
就业是民生之本、财富之源。|||L'emploi est la base du bien-être de la population et aussi la source de la richesse.
今年首次将就业优先政策置于宏观政策层面，旨在强化各方面重视就业、支持就业的导向。|||Cette année, pour la première fois, la politique de priorité à l'emploi a été érigée au niveau de la macropolitique, ce qui a pour objectif de persuader aux divers acteurs d'accorder une attention et un soutien plus grands à l'emploi.
当前和今后一个时期，我国就业总量压力不减、结构性矛盾凸显，新的影响因素还在增加，必须把就业摆在更加突出位置。|||À l'heure actuelle et dans les prochaines années, les tensions sur le marché du travail devraient rester fortes, les contradictions structurelles, s'accentuer, et de nouveaux facteurs d'influence, se multiplier, ce qui nous oblige à accorder une importance particulière à la question de l'emploi.
稳增长首要是为保就业。|||Maintenir une croissance régulière a pour objectif primordial d'assurer l'emploi.
今年城镇新增就业要在实现预期目标的基础上，力争达到近几年的实际规模，既保障城镇劳动力就业，也为农业富余劳动力转移就业留出空间。|||Cette année, nous devrons réaliser d'abord l'objectif des emplois nouvellement créés, et sur cette base, chercher à atteindre le même niveau que ces dernières années en matière d'ampleur réelle. Cela a pour objectif de garantir l'emploi de la main-d'œuvre urbaine et de ménager un certain espace pour la main-d'œuvre rurale excédentaire transférée vers d'autres secteurs d'activité.
只要就业稳、收入增，我们就更有底气。|||Pourvu que la situation de l'emploi demeure stable et que le revenu de la population augmente, nous aurons une plus grande confiance dans notre marche en avant.
要继续坚持以供给侧结构性改革为主线，在“巩固、增强、提升、畅通”八个字上下功夫。|||Cette année, nous devons continuer à prendre pour axe la réforme structurelle du côté de l'offre en nous concentrant sur le mot d'ordre « consolidation, renforcement, élévation, fluidité ».
更多采取改革的办法，更多运用市场化、法治化手段，巩固“三去一降一补”成果，增强微观主体活力，提升产业链水平，畅通国民经济循环，推动经济高质量发展。|||En multipliant les voies et moyens de nos réformes, et en respectant davantage les lois du marché et les exigences de l'État de droit, nous veillerons à consolider les fruits obtenus dans l'élimination des capacités obsolètes, la réduction des stocks immobiliers, la diminution du ratio de levier, l'abaissement des coûts de production et le traitement des faiblesses de l'économie, à renforcer le dynamisme des acteurs microéconomiques, à élever le niveau de la chaîne industrielle, et à fluidifier la circulation de l'économie nationale. Cela a pour objectif de promouvoir un développement économique de qualité.
要继续打好三大攻坚战，精准发力、务求实效。|||Cette année, il faut continuer à bien mener les trois grandes batailles en déployant des efforts ciblés et en cherchant une meilleure efficacité.
防范化解重大风险要强化底线思维，坚持结构性去杠杆，防范金融市场异常波动，稳妥处理地方政府债务风险，防控输入性风险。|||En ce qui concerne la prévention et la résorption des risques majeurs, nous devons, prêts à toute éventualité, poursuivre une réduction structurelle du ratio de levier, prévenir les fluctuations anormales du marché financier, maîtriser les risques liés aux dettes des gouvernements locaux, et nous prémunir contre les risques importés.
精准脱贫要坚持现行标准，聚焦深度贫困地区和特殊贫困群体，加大攻坚力度，提高脱贫质量。|||En ce qui concerne l'élimination ciblée de la pauvreté, nous devons respecter les critères actuellement en vigueur, cibler les régions de grande pauvreté ainsi que les personnes démunies éprouvant des difficultés particulières, et accroître nos efforts pour obtenir de meilleurs résultats.
污染防治要聚焦打赢蓝天保卫战等重点任务，统筹兼顾、标本兼治，使生态环境质量持续改善。|||En ce qui concerne la lutte contre la pollution environnementale, nous devons, en visant les tâches prioritaires telles que la campagne pour le ciel bleu, procéder à une planification d'ensemble et nous attaquer tant aux symptômes qu'à la racine de ces problèmes, afin que la qualité de l'environnement s'améliore continuellement.
做好今年政府工作，要注重把握好以下关系。一要统筹好国内与国际的关系，凝心聚力办好自己的事。|||Pour réussir dans nos entreprises, il nous faudra veiller à bien régler les rapports suivants : primo, nous devons concevoir une stratégie d'ensemble pour harmoniser nos affaires intérieures avec nos relations internationales, en nous concentrant sur le front intérieur.
我国仍处于并将长期处于社会主义初级阶段，仍是世界最大发展中国家。|||La Chine demeure et demeurera pour longtemps encore au stade primaire du socialisme, ce qui fait d'elle le plus grand pays en voie de développement du monde.
发展是解决我国一切问题的基础和关键，必须牢牢扭住经济建设这个中心，毫不动摇坚持发展是硬道理、发展应该是科学发展和高质量发展的战略思想，不断解放和发展社会生产力。|||Le développement étant la base, la clé pour régler tous les problèmes du pays, il faut concentrer nos efforts sur l'édification économique et maintenir fermement la stratégie fondée sur l'idée que le développement est le principe fondamental, et que ce développement doit suivre une voie scientifique et viser la qualité. En même temps, les forces productives sociales doivent être développées et libérées.
在国际形势复杂多变的背景下，我们要保持战略定力，按确定的目标和部署推进工作，更好利用国际国内两个市场两种资源，敢于应对挑战，善于化危为机，牢牢把握发展主动权。|||Les mutations d'aujourd'hui et la complexité croissante du monde nous trouveront inébranlables dans l'application de notre stratégie : nous ferons ce que nous avons prévu de faire pour atteindre les objectifs que nous nous sommes fixés. Tirant le meilleur parti possible des marchés et des ressources tant de la Chine que du reste du monde, nous aurons le courage de relever les défis, saurons saisir les crises qui se présentent pour atteindre à des opportunités supérieures, et ferons preuve d'un grand esprit d'initiative pour assurer notre développement.
二要平衡好稳增长与防风险的关系，确保经济持续健康发展。|||Secundo, il faut concilier une croissance régulière avec la prévention des risques, de manière à assurer à l'économie un développement sain et durable.
长期积累的诸多风险隐患必须加以化解，但要遵循规律，讲究方式方法，按照坚定、可控、有序、适度要求，在发展中逐步化解，坚决避免发生系统性、区域性风险。|||Il est impératif de résorber les nombreux risques accumulés depuis de longues années. Mais il convient, ce faisant, de respecter des règles objectives et de mettre au point des voies et des méthodes appropriées, pour éliminer graduellement les risques dans le mouvement même du développement et éviter résolument les risques systémiques ou régionaux, en faisant preuve de fermeté et de mesure, en maîtrisant la situation et en sachant agir en bon ordre.
在当前经济下行压力加大情况下，出台政策和工作举措要有利于稳预期、稳增长、调结构，防控风险要把握好节奏和力度，防止紧缩效应叠加放大，决不能让经济运行滑出合理区间。|||À l'heure actuelle, comme le fonctionnement de l'économie subit des pressions à la baisse, l'application de politiques et de mesures nouvelles dans ce domaine doit favoriser la restructuration ainsi que la stabilisation des anticipations et de la croissance. La prévention et le contrôle des risques doivent progresser à un rythme adéquat, combinés avec une force appropriée, de manière à éviter que les effets de contraction ne se superposent ou ne s'accentuent, et que l'économie ne dérape hors des marges raisonnables.
同时，也不能只顾眼前，采取损害长期发展的短期强刺激政策，产生新的风险隐患。|||En même temps, il faut éviter d'appliquer des politiques myopes comme les mesures de surstimulation à court terme qui nuisent au développement durable et risquent d'engendrer de nouveaux dangers.
三要处理好政府与市场的关系，依靠改革开放激发市场主体活力。|||Tertio, il faut régler judicieusement les rapports entre l'Administration et le marché, et s'appuyer sur la réforme et l'ouverture pour stimuler la vitalité des entités du marché.
只要市场主体有活力，就能增强内生发展动力、顶住经济下行压力。|||Que le dynamisme des agents économiques se réveille, il sera possible de revigorer les forces endogènes de développement et de contrecarrer la tendance à la baisse de l'économie.
要大力推进改革开放，加快建立统一开放、竞争有序的现代市场体系，放宽市场准入，加强公正监管，打造法治化、国际化、便利化的营商环境，让各类市场主体更加活跃。|||Nous allons promouvoir avec énergie la réforme et l'ouverture, accélérer la mise en place d'un système de marché moderne unifié, ouvert et où règne une concurrence ordonnée, assouplir les conditions d'accès au marché, renforcer la supervision équitable, et nous efforcer de créer pour le commerce un cadre légal et internationalisé qui facilite les affaires, de manière à stimuler le dynamisme de toutes les catégories d'acteurs du marché.
从根本上说，市场活力和社会创造力源于亿万人民积极性的发挥。|||En dernière analyse, la vitalité du marché et la créativité de la société proviennent de l'initiative du peuple.
要坚持以人民为中心的发展思想，尽力而为、量力而行，切实保障基本民生，推动解决重点民生问题，促进社会公平正义，让人民过上好日子。|||Nous devons, en maintenant l'idée du développement centré sur le peuple, faire tout ce qui est en notre pouvoir et dans la mesure de nos moyens, afin de garantir effectivement le bien-être élémentaire de la population, de résoudre les problèmes touchant à ses intérêts fondamentaux, de promouvoir la justice et l'équité sociales, et de donner les moyens d'une vie plus heureuse au peuple chinois.
中国人民勤劳智慧，具有无限的创新创造潜能，只要充分释放出来，中国的发展就一定会有更为广阔空间。|||Le peuple chinois est laborieux et intelligent, et il possède une force inépuisable d'innovation et de création : il nous suffira de libérer pleinement cette force créatrice pour laisser un plus vaste champ d'action au développement de la Chine.
三、2019年政府工作任务|||III. TÂCHES DU TRAVAIL GOUVERNEMENTAL POUR 2019
今年经济社会发展任务重、挑战多、要求高。|||Cette année, les tâches s'annoncent lourdes, les défis nombreux et les exigences élevées pour le développement social et économique.
我们要突出重点、把握关键，扎实做好各项工作。|||Nous devons mener à bien nos différentes tâches en ne perdant pas de vue nos priorités et nos maillons clés.
（一）继续创新和完善宏观调控，确保经济运行在合理区间。|||Continuer à renouveler et perfectionner le contrôle macroéconomique, garantir le fonctionnement de l'économie dans une fourchette raisonnable.
坚持以市场化改革的思路和办法破解发展难题，发挥好宏观政策逆周期调节作用，丰富和灵活运用财政、货币、就业政策工具，增强调控前瞻性、针对性和有效性，为经济平稳运行创造条件。|||Nous devons, tout en nous guidant sur les idées et les moyens de réforme dans le respect des règles du marché, résoudre les problèmes difficiles qui entravent le développement, mettre pleinement en valeur la régulation anticyclique des politiques macroéconomiques, multiplier et appliquer avec souplesse les instruments tels que les politiques budgétaire et monétaire, ainsi que celle de l'emploi, et rendre les contrôles plus anticipateurs, plus pertinents et plus efficaces, afin de créer des conditions favorables à une évolution stable de l'économie.
实施更大规模的减税。|||Appliquer des réductions d'impôts à une plus grande échelle.
普惠性减税与结构性减税并举，重点降低制造业和小微企业税收负担。|||Nous prévoyons d'appliquer une réduction fiscale générale, accompagnée d'une réduction structurelle, l'accent étant mis sur la diminution de charges fiscales pesant sur l'industrie manufacturière et les PEMIC.
深化增值税改革，将制造业等行业现行16%的税率降至13%，将交通运输业、建筑业等行业现行10%的税率降至9%，确保主要行业税负明显降低；|||En vue de faire progresser la réforme de la TVA, nous ferons baisser de 16 à 13 % le taux de la TVA de l'industrie manufacturière et d'autres secteurs, et le taux de la TVA des secteurs tels que le transport, les communications et le bâtiment passera de 10 à 9 %, de sorte que ces secteurs clés bénéficieront d'une baisse significative des charges fiscales.
保持6%一档的税率不变，但通过采取对生产、生活性服务业增加税收抵扣等配套措施，确保所有行业税负只减不增，继续向推进税率三档并两档、税制简化方向迈进。|||Quant à la tranche de 6 %, elle restera inchangée. Grâce aux déductions fiscales accrues en faveur des services aux entreprises et aux particuliers ainsi qu'à d'autres mesures d'accompagnement, nous veillerons à ce que les charges fiscales dans tous les secteurs baissent vraiment, ce qui nous permettra également d'avancer vers une réduction de trois à deux des tranches du barème du taux de la TVA et une simplification du système fiscal.
抓好年初出台的小微企业普惠性减税政策落实。|||Nous nous attacherons à l'application des politiques de réduction fiscale générale en faveur des PEMIC annoncées au début de l'année 2019.
这次减税，着眼“放水养鱼”、增强发展后劲并考虑财政可持续，是减轻企业负担、激发市场活力的重大举措，是完善税制、优化收入分配格局的重要改革，是宏观政策支持稳增长、保就业、调结构的重大抉择。|||La réduction des impôts que nous avons entamée en tenant compte du maintien de l'équilibre budgétaire pour « bien remplir les viviers » et stimuler le potentiel du développement, est une mesure capitale pour alléger les charges des entreprises et revitaliser le marché, une réforme importante pour améliorer la fiscalité et optimiser la répartition des revenus, et une décision cruciale pour soutenir, par les politiques macroéconomiques, le maintien d'une croissance régulière, la garantie de l'emploi et la restructuration économique.
明显降低企业社保缴费负担。|||Alléger sensiblement les prélèvements sociaux à la charge des entreprises.
下调城镇职工基本养老保险单位缴费比例，各地可降至16%。|||En ce qui concernant l'assurance vieillesse de base des employés dans les villes, le taux de cotisation patronale sera réduit, lequel pourra aller jusqu'à 16 % selon les régions.
稳定现行征缴方式，各地在征收体制改革过程中不得采取增加小微企业实际缴费负担的做法，不得自行对历史欠费进行集中清缴。|||Il est impératif de maintenir les méthodes de perception en vigueur : en 2019, il sera interdit aux autorités locales de prendre elles-mêmes, au cours de la réforme du système de perception, des mesures qui pourraient alourdir les charges réelles des PEMIC ou d'exiger des entreprises qu'elles règlent leurs arriérés en un seul versement.
继续执行阶段性降低失业和工伤保险费率政策。|||Nous continuerons à appliquer pour une durée limitée la politique de baisse du taux de cotisation à l'assurance chômage et à l'assurance contre les accidents du travail.
今年务必使企业特别是小微企业社保缴费负担有实质性下降。|||Il est indispensable d'assurer aux entreprises, notamment aux PEMIC, un allègement substantiel de leurs cotisations à la sécurité sociale.
加快推进养老保险省级统筹改革，继续提高企业职工基本养老保险基金中央调剂比例、划转部分国有资本充实社保基金。|||Nous ferons avancer rapidement la réforme de la gestion de l'assurance vieillesse au niveau provincial, continuerons à relever la contribution des caisses provinciales au fonds national de péréquation des pensions de base des employés des entreprises, et verserons une partie du capital public à la caisse de sécurité sociale.
我们既要减轻企业缴费负担，又要保障职工社保待遇不受影响、养老金合理增长并按时足额发放，使社保基金可持续、企业与职工同受益。|||Nous nous efforcerons non seulement de baisser les cotisations sociales des entreprises, mais aussi de maintenir le niveau des prestations sociales dont bénéficient les employés et d'assurer une hausse rationnelle et un versement ponctuel et intégral des pensions de retraite, afin que le fonds de la sécurité sociale s'inscrive dans la durée et que les entreprises et leurs employés puissent tous en bénéficier.
确保减税降费落实到位。|||Assurer l'application effective des réductions des impôts et des charges.
减税降费直击当前市场主体的痛点和难点，是既公平又有效率的政策。|||Il est évident que réduire les impôts et les charges, mesure qui touche un point sensible et une difficulté majeure chez les acteurs du marché, constitue une politique juste et efficace.
全年减轻企业税收和社保缴费负担近2万亿元。|||Cette année, nous comptons réduire d'environ 2 000 milliards de yuans les charges fiscales des entreprises et leurs cotisations sociales.
这会给各级财政带来很大压力。|||Cela représentera pour les finances publiques à tous les échelons un manque à gagner important.
为支持企业减负，各级政府要过紧日子，想方设法筹集资金。|||Aussi les administrations, pour aider à alléger les charges des entreprises, devront-elles faire des économies et trouver de nouvelles rentrées par tous les moyens.
中央财政要开源节流，增加特定国有金融机构和央企上缴利润，一般性支出压减5%以上、“三公”经费再压减3%左右，长期沉淀资金一律收回。|||Les finances centrales devront faire de même : il s'agira de ponctionner davantage les bénéfices des entreprises et établissements financiers publics sélectionnés ; de faire baisser de plus de 5 % les dépenses ordinaires et de 3 % environ les « trois frais publics courants »[ Il s'agit de frais pour les missions à l'étranger (ou à Hong Kong, Macao et Taiwan), pour l'acquisition et l'utilisation de voitures de fonction et pour les réceptions officielles. —N.D.T.] ; de mettre à contribution tous les fonds dormants.
地方政府也要主动挖潜，大力优化支出结构，多渠道盘活各类资金和资产。|||Les administrations locales devront exploiter à fond leur potentiel et optimiser la structure de leurs dépenses, afin de revaloriser par divers canaux tous les fonds et biens dont elles disposent.
我们要切实让市场主体特别是小微企业有明显减税降费感受，坚决兑现对企业和社会的承诺，困难再多也一定要把这件大事办成办好。|||Nous tiendrons nos promesses envers les entrepreneurs et la société, et ferons en sorte que les agents économiques, notamment les PEMIC, perçoivent un allégement réel de la pression fiscale. Enfin, si nombreuses que soient les difficultés, cette grande entreprise devra être menée à bien.
着力缓解企业融资难融资贵问题。|||Déployer un grand effort pour aider les entreprises à se financer plus facilement et à de meilleures conditions.
改革完善货币信贷投放机制，适时运用存款准备金率、利率等数量和价格手段，引导金融机构扩大信贷投放、降低贷款成本，精准有效支持实体经济，不能让资金空转或脱实向虚。|||Nous réformerons et améliorerons le mécanisme de l'offre monétaire et des crédits bancaires, utiliserons en temps voulu les moyens quantitatifs et de prix tels que le taux des réserves obligatoires et le taux d'intérêt, encouragerons les institutions financières à octroyer plus de crédits et à en réduire le coût, apporterons un soutien ciblé et efficace à l'économie réelle, et éviterons la circulation à vide et la ruée des capitaux vers l'économie virtuelle.
加大对中小银行定向降准力度，释放的资金全部用于民营和小微企业贷款。|||En ce qui concerne les banques petites et moyennes, il leur sera accordé une baisse plus importante du taux des réserves obligatoires, ce qui devrait leur permettre de consacrer les sommes ainsi libérées à faire crédit aux entreprises privées et aux PEMIC.
支持大型商业银行多渠道补充资本，增强信贷投放能力，鼓励增加制造业中长期贷款和信用贷款。|||Quant aux grandes banques commerciales, nous les aiderons à diversifier leurs canaux de capitalisation et à renforcer leurs capacités d'emprunt, et nous les encouragerons à augmenter, en soutien à l'industrie manufacturière, les prêts à moyen et long terme et les prêts gagés sur le crédit.
今年国有大型商业银行小微企业贷款要增长30%以上。|||Cette année, les crédits octroyés par les grandes banques commerciales publiques aux PEMIC devraient augmenter d'au moins 30 %.
清理规范银行及中介服务收费。完善金融机构内部考核机制，激励加强普惠金融服务，切实使中小微企业融资紧张状况有明显改善，综合融资成本必须有明显降低。|||En outre, nous assainirons et régulariserons les frais des services bancaires et intermédiaires, améliorerons le mécanisme interne d'évaluation des institutions financières, et inciterons ces dernières à multiplier les services financiers inclusifs, de sorte que les conditions difficiles de financement des entreprises connaissent une nette amélioration et que le coût général du financement soit sensiblement réduit.
有效发挥地方政府债券作用。|||Mieux utiliser les obligations des gouvernements locaux.
今年拟安排地方政府专项债券2.15万亿元，比去年增加8000亿元，为重点项目建设提供资金支持，也为更好防范化解地方政府债务风险创造条件。|||Cette année, les autorités locales seront autorisées à émettre 2 150 milliards de yuans d'obligations spéciales, soit une augmentation de 800 milliards de yuans par rapport à l'année précédente. Il s'agit à la fois de financer les projets clés et de mieux protéger les gouvernements locaux des risques de l'endettement.
合理扩大专项债券使用范围。|||Le champ d'application des obligations spéciales sera élargi de manière raisonnable.
继续发行一定数量的地方政府置换债券，减轻地方利息负担。|||Les autorités locales seront autorisées à poursuivre l'émission d'un certain nombre d'obligations en remplacement de leurs dettes existantes, afin de réduire la charge des intérêts.
鼓励采取市场化方式，妥善解决融资平台到期债务问题，不能搞“半拉子”工程。|||Nous encouragerons à recourir à des méthodes conformes aux lois du marché pour régler les dettes des plateformes de financement arrivées à échéance, en évitant de faire le travail à moitié.
多管齐下稳定和扩大就业。|||Chercher à stabiliser et à accroître l'emploi par diverses mesures de stimulation.
扎实做好高校毕业生、退役军人、农民工等重点群体就业工作，加强对城镇各类就业困难人员的就业帮扶。|||Nous mènerons à bien l'embauche de catégories particulières de demandeurs d'emploi tels que les nouveaux diplômés de l'enseignement supérieur, les travailleurs migrants et les militaires démobilisés, et renforcerons l'assistance à toutes les catégories de citadins éprouvant des difficultés à trouver un emploi.
对招用农村贫困人口、城镇登记失业半年以上人员的各类企业，三年内给予定额税费减免。|||Les entreprises qui embauchent des habitants ruraux vivant en dessous du seuil de pauvreté et des citadins enregistrés au chômage depuis plus de six mois bénéficieront d'une réduction fiscale fixe pendant trois ans.
加强对灵活就业、新就业形态的支持。|||Nous renforcerons le soutien à l'emploi flexible ainsi qu'aux nouvelles formes d'emploi.
坚决防止和纠正就业中的性别和身份歧视。|||Il faut prévenir et corriger avec la plus grande fermeté toute discrimination à l'embauche en raison du sexe ou du statut social.
实施职业技能提升行动，从失业保险基金结余中拿出1000亿元，用于1500万人次以上的职工技能提升和转岗转业培训。|||Nous appliquerons l'action destinée à augmenter les aptitudes professionnelles : on tirera 100 milliards de yuans des fonds reportés de l'exercice précédent de l'assurance chômage pour organiser au moins 1,5 million de stages de formation destinés à améliorer les aptitudes professionnelles ou à réaliser une reconversion.
健全技术工人职业发展机制和政策。|||Les mécanismes et politiques en faveur du développement professionnel des ouvriers qualifiés seront perfectionnés.
加快发展现代职业教育，既有利于缓解当前就业压力，也是解决高技能人才短缺的战略之举。|||Nous accélérerons le développement de l'enseignement professionnel moderne, ce qui non seulement permettra d'atténuer la pression sur l'emploi à l'heure actuelle, mais aussi constitue une mesure stratégique pour résoudre le problème de la pénurie de personnes hautement qualifiées.
改革完善高职院校考试招生办法，鼓励更多应届高中毕业生和退役军人、下岗职工、农民工等报考，今年大规模扩招100万人。|||Nous réformerons les modalités d'organisation des examens et de recrutement des étudiants de l'enseignement supérieur professionnel, et encouragerons davantage de diplômés des écoles secondaires du deuxième cycle, de militaires démobilisés, d'employés licenciés des entreprises publiques et de travailleurs migrants à s'y inscrire. Cette année, nous augmenterons d'un million le nombre d'élèves admis à l'enseignement supérieur professionnel.
扩大高职院校奖助学金覆盖面、提高补助标准，加快学历证书和职业技能等级证书互通衔接。|||La couverture de l'attribution de bourses et d'aides aux études de l'enseignement supérieur professionnel sera élargie, et leur montant sera élevé. Nous accélérerons l'établissement d'équivalences entre les certificats d'études et les certificats d'aptitude professionnelle.
改革高职院校办学体制，加强师资队伍建设，提高办学质量。|||Nous réformerons le système de création des écoles de l'enseignement supérieur professionnel et renforcerons la formation du corps enseignant, afin d'améliorer la qualité de ces établissements.
引导一批普通本科高校转为应用型大学。|||Un certain nombre d'écoles supérieures de cursus régulier seront encouragées à orienter leur formation vers la pratique.
中央财政大幅增加对高职院校的投入，地方财政也要加强支持。|||Les finances centrales augmenteront considérablement leur soutien financier à l'enseignement supérieur professionnel, et les finances locales, pour leur part, devront également renforcer leur soutien dans ce domaine.
设立中等职业教育国家奖学金。|||Une bourse d'État de l'enseignement professionnel secondaire sera instituée.
支持企业和社会力量兴办职业教育，加快产教融合实训基地建设。|||Les entreprises et les acteurs sociaux seront encouragés à créer des écoles d'enseignement professionnel, et la construction de centres de formation permettant d'associer les cours à la pratique d'activités productives sera accélérée.
我们要以现代职业教育的大改革大发展，加快培养国家发展急需的各类技术技能人才，让更多青年凭借一技之长实现人生价值，让三百六十行人才荟萃、繁星璀璨。|||En rénovant et développant vigoureusement l'enseignement professionnel moderne, nous accélérerons la formation de techniciens compétents et de talents variés dont l'État a un besoin urgent pour son développement, et davantage de jeunes, armés de solides compétences dans leur domaine, pourront s'épanouir dans leur vie professionnelle. Que tous les métiers fourmillent de talents, comme le ciel étincelle d'étoiles.
（二）激发市场主体活力，着力优化营商环境。|||Stimuler le dynamisme des acteurs du marché et améliorer l'environnement des affaires.
