政府工作报告|||RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
这是特殊时期的特殊举措。|||Il s’agit d’une mesure exceptionnelle limitée à cette période exceptionnelle.
上述2万亿元全部转给地方，建立特殊转移支付机制，资金直达市县基层、直接惠企利民，主要用于保就业、保基本民生、保市场主体，包括支持减税降费、减租降息、扩大消费和投资等，强化公共财政属性，决不允许截留挪用。|||Ces 2 000 milliards de yuans seront transférés dans leur intégralité aux instances locales, et un mécanisme de transferts de paiements spéciaux sera établi pour assurer le versement direct des fonds aux instances des municipalités et des districts, de sorte que les entreprises et le peuple puissent en profiter directement. Ces fonds seront principalement destinés à assurer l’emploi, le bien-être social et le dynamisme des acteurs du marché. Ils serviront aussi à soutenir la réduction des impôts et des frais divers, la diminution des loyers et des taux d’intérêt, l’accroissement de la consommation et des investissements. En insistant sur l’idée que les finances publiques servent l’intérêt public, nous ne permettrons aucune interception ou détournement de fonds.
要大力优化财政支出结构，基本民生支出只增不减，重点领域支出要切实保障，一般性支出要坚决压减，严禁新建楼堂馆所，严禁铺张浪费。|||Il faudra optimiser la structure des dépenses budgétaires : les dépenses en faveur du bien-être social ne pourront qu’augmenter ; les dépenses dans les domaines prioritaires doivent être effectivement garanties ; les dépenses ordinaires doivent être résolument réduites ; la mise en chantier de nouveaux bureaux ou d’autres immeubles sera strictement interdite ; et tout gaspillage, réprimé.
各级政府必须真正过紧日子，中央政府要带头，中央本级支出安排负增长，其中非急需非刚性支出压减50%以上。|||Les gouvernements à tous les niveaux devront « se serrer la ceinture » et le gouvernement central devra donner l’exemple dans ce domaine. Nous préviendrons une croissance négative des dépenses pour les instances centrales elles-mêmes, dont les dépenses non urgentes ou non nécessaires seront réduites de plus de 50 %.
各类结余、沉淀资金要应收尽收、重新安排。|||Les bonis et les fonds dormants de toutes sortes devront être récupérés et réutilisés.
要大力提质增效，各项支出务必精打细算，一定要把每一笔钱都用在刀刃上、紧要处，一定要让市场主体和人民群众有真真切切的感受。|||En cherchant à améliorer la qualité et l’efficacité, nous calculerons nos dépenses au plus près et n’utiliserons nos moyens financiers limités que là où ils sont indispensables, en veillant à ce que les acteurs du marché et la population en profitent réellement.
稳健的货币政策要更加灵活适度。|||Notre politique monétaire prudente sera appliquée de manière plus souple et mesurée.
综合运用降准降息、再贷款等手段，引导广义货币供应量和社会融资规模增速明显高于去年。|||En procédant à la baisse du ratio de réserve obligatoire et du taux d’intérêt ainsi qu’au recrédit et à d’autres moyens, nous viserons un taux de croissance nettement plus élevé, par rapport à l’année précédente, de la masse monétaire M2 et de l’agrégat de financement de l’économie réelle hors autorités publiques (AFER).
保持人民币汇率在合理均衡水平上基本稳定。|||Nous ferons en sorte que le taux de change du yuan demeure globalement stable à un niveau équilibré et rationnel.
创新直达实体经济的货币政策工具，务必推动企业便利获得贷款，推动利率持续下行。|||Nous créerons de nouveaux instruments de politique monétaire qui favorisent directement l’économie réelle, de manière à ce que les entreprises obtiennent facilement les prêts dont elles ont besoin, et que les taux d’intérêt baissent continuellement.
就业优先政策要全面强化。|||Notre politique de priorité à l’emploi sera renforcée dans tous les secteurs.
财政、货币和投资等政策要聚力支持稳就业。|||Les politiques financières, monétaires et d’investissement devront concentrer leur énergie pour stabiliser l’emploi.
努力稳定现有就业，积极增加新的就业，促进失业人员再就业。|||Nous redoublerons d’efforts pour stabiliser les postes de travail actuels, en créer de nouveaux et promouvoir la réinsertion sociale des chômeurs.
各地要清理取消对就业的不合理限制，促就业举措要应出尽出，拓岗位办法要能用尽用。|||On supprimera partout les restrictions injustifiées qui entravent encore l’emploi. Bref, il ne faut négliger aucun moyen ni épargner aucune peine pour arriver à favoriser l’emploi et créer de nouveaux postes de travail.
脱贫是全面建成小康社会必须完成的硬任务，要坚持现行脱贫标准，增加扶贫投入，强化扶贫举措落实，确保剩余贫困人口全部脱贫，健全和执行好返贫人口监测帮扶机制，巩固脱贫成果。|||Étant donné que l’éradication de la pauvreté constitue une tâche impérative dans l’édification intégrale de la société de moyenne aisance, il faut maintenir les normes en vigueur de lutte contre la pauvreté, accroître le soutien budgétaire dans ce domaine, renforcer l’application des mesures en faveur de l’assistance aux démunis, et sortir de la pauvreté tous ceux qui vivent encore dans des conditions précaires. De plus, nous suivrons attentivement la situation des personnes qui risquent de retomber dans l’indigence et nous les aiderons en cas de besoin, afin de consolider les résultats que nous avons déjà obtenus dans ce domaine.
要打好蓝天、碧水、净土保卫战，实现污染防治攻坚战阶段性目标。|||Nous assurerons le bon déroulement de la campagne « ciel bleu, eaux limpides, terre propre » et réaliserons les objectifs d’étape de la bataille décisive contre la pollution.
加强金融等领域重大风险防控，坚决守住不发生系统性风险底线。|||Nous renforcerons la prévention et le contrôle des risques majeurs dans la finance et d’autres secteurs, et veillerons à ne pas dépasser les seuils critiques des risques systémiques.
今年已过去近5个月，下一阶段要毫不放松常态化疫情防控，抓紧做好经济社会发展各项工作。|||Cinq mois de l’année se sont déjà écoulés. Pour la prochaine étape, nous devrons nous employer à mener à bien le travail économique et social tout en maintenant le dispositif permanent de lutte contre le COVID-19.
出台的政策既保持力度又考虑可持续性，根据形势变化还可完善，我们有决心有能力完成全年目标任务。|||Nos politiques se veulent énergiques et durables, et elles seront ajustées en fonction de l’évolution de la situation. Nous avons la détermination et la capacité de réaliser les objectifs prévus pour cette année.
三、加大宏观政策实施力度，着力稳企业保就业|||III．INTENSIFIER L’APPLICATION DE NOS POLITIQUES MACROÉCONOMIQUES EN VUE DE STABILISER LA SITUATION DES ENTREPRISES ET D’ASSURER L’EMPLOI
保障就业和民生，必须稳住上亿市场主体，尽力帮助企业特别是中小微企业、个体工商户渡过难关。|||Si l’on veut assurer l’emploi et le bien-être du peuple, on doit préserver le dynamisme de la centaine de millions d’acteurs du marché que compte notre pays. Nous nous efforcerons d’aider les entreprises, notamment les PME, les microentreprises ainsi que les autoentrepreneurs, pour qu’ils surmontent les difficultés temporaires qu’ils traversent.
加大减税降费力度。|||Réduire davantage les impôts, droits et frais divers.
强化阶段性政策，与制度性安排相结合，放水养鱼，助力市场主体纾困发展。|||Nous renforcerons les politiques à court terme tout en les mettant en accord avec les arrangements institutionnels, et grâce à la mise en œuvre de mesures visant à « bien remplir les viviers », nous aiderons les acteurs du marché à surmonter leurs difficultés et à poursuivre leur développement.
继续执行去年出台的下调增值税税率和企业养老保险费率政策，新增减税降费约5000亿元。|||Nous continuerons d’appliquer les politiques promulguées l’année dernière telles que l’ajustement à la baisse des taux de la TVA et du taux de la cotisation patronale à l’assurance vieillesse, ce qui donnera lieu à une réduction supplémentaire d’impôts et de frais divers d’environ 500 milliards de yuans.
前期出台6月前到期的减税降费政策，包括免征中小微企业养老、失业和工伤保险单位缴费，减免小规模纳税人增值税，免征公共交通运输、餐饮住宿、旅游娱乐、文化体育等服务增值税，减免民航发展基金、港口建设费，执行期限全部延长到今年年底。|||Les politiques de dégrèvement fiscal qui devaient expirer fin mai seront prolongées jusqu’à la fin de l’année (exemption de la cotisation patronale des PME et des microentreprises à l’assurance vieillesse, l’assurance chômage et l’assurance contre les accidents du travail ; exemption ou réduction de la TVA en faveur de petits contribuables ; exemption de la TVA sur la prestation de services en matière de transports en commun, de restauration, d’hôtellerie, de tourisme, de loisirs, de culture, de sports, etc. ; et exemption ou réduction de redevances au titre du fonds de développement de l’aviation civile et de la construction des ports).
小微企业、个体工商户所得税缴纳一律延缓到明年。|||Le délai de paiement de l’impôt sur le revenu des entreprises sera prolongé jusqu’à l’année prochaine pour les PEMIC ainsi que les autoentrepreneurs.
预计全年为企业新增减负超过2.5万亿元。|||En 2020, le montant total des nouveaux allègements fiscaux est estimé à plus de 2 500 milliards de yuans.
要坚决把减税降费政策落到企业，留得青山，赢得未来。|||Nous ferons en sorte que la réduction d’impôts et de frais divers bénéficie réellement aux entreprises. Pourvu que nos entreprises fonctionnent normalement, nous n’avons rien à craindre pour l’avenir.
推动降低企业生产经营成本。|||Réduire les coûts de production et d’exploitation des entreprises.
降低工商业电价5%政策延长到今年年底。|||La politique visant à diminuer de 5 % du tarif électrique à l’usage industriel et commercial sera prolongée jusqu’à la fin de l’année.
宽带和专线平均资费降低15%。|||Nous abaisserons de 15 % en moyenne les frais perçus pour l’utilisation des lignes spéciales et de l’Internet à haut débit.
减免国有房产租金，鼓励各类业主减免或缓收房租，并予政策支持。|||Nous allons réduire, voire supprimer, les loyers des immeubles dont l’État est propriétaire, et encourager tous les types de propriétaires à faire de même ou à différer la perception des loyers, tout en accordant notre soutien politique dans ce domaine.
坚决整治涉企违规收费。|||Nous mettrons fin avec fermeté à toute perception injustifiée de frais et de droits sur les entreprises.
强化对稳企业的金融支持。|||Intensifier nos soutiens financiers pour stabiliser la situation des entreprises.
中小微企业贷款延期还本付息政策再延长至明年3月底，对普惠型小微企业贷款应延尽延，对其他困难企业贷款协商延期。|||Nous continuerons à appliquer jusqu’à la fin de mars 2021 la politique visant à prolonger le délai de remboursement du capital et des intérêts des emprunts des PME et des microentreprises. Toutes les PEMIC réunissant les conditions requises pourront retarder le paiement de leurs crédits préférentiels, et le délai de remboursement d’autres entreprises en difficulté pourra être négocié.
完善考核激励机制，鼓励银行敢贷、愿贷、能贷，大幅增加小微企业信用贷、首贷、无还本续贷，利用金融科技和大数据降低服务成本，提高服务精准性。|||En perfectionnant le mécanisme d’évaluation et de stimulation, nous encouragerons les banques à avoir le courage, la volonté et les moyens nécessaires d’accorder des prêts ; à augmenter dans de fortes proportions les prêts à crédit, les crédits initiaux, ainsi que le renouvellement des crédits sans remboursement du capital des PEMIC ; et à recourir aux technologies financières et aux mégadonnées pour réduire les coûts de services et rendre leurs services plus ciblés.
大幅拓展政府性融资担保覆盖面并明显降低费率。|||Il faut accroître largement la couverture des garanties de financement dont le gouvernement est l’actionnaire principal et réduire considérablement les frais concernés.
大型商业银行普惠型小微企业贷款增速要高于40%。|||Les crédits préférentiels octroyés par les grandes banques commerciales publiques aux PEMIC devront augmenter d’au moins 40 %.
促进涉企信用信息共享。|||Nous stimulerons le partage des renseignements sur la crédibilité des entreprises.
支持企业扩大债券融资。|||Nous apporterons un soutien aux entreprises pour qu’ils accroissent l’ampleur de leurs émissions d’obligations.
加强监管，防止资金“空转”套利，打击恶意逃废债。|||Il est nécessaire de renforcer la supervision afin d’éviter des surcroîts des revenus par la circulation des crédits hors de l’économie réelle et de combattre la soustraction frauduleuse de la dette bancaire.
金融机构与贷款企业共生共荣，鼓励银行合理让利。|||Comme les établissements financiers et les entreprises partagent le même sort et les mêmes avantages, les banques seront encouragées à céder une partie de leurs bénéfices.
为保市场主体，一定要让中小微企业贷款可获得性明显提高，一定要让综合融资成本明显下降。|||Afin de préserver le dynamisme des acteurs du marché, il faut élargir considérablement l’accès au crédit des PME et des microentreprises, et réduire effectivement les coûts de financement généraux des entreprises.
千方百计稳定和扩大就业。|||Chercher par tous les moyens à stabiliser et accroître l’emploi.
加强对重点行业、重点群体就业支持。|||Il faut renforcer le soutien à l’embauche des groupes prioritaires et à l’emploi dans les industries clés.
今年高校毕业生达874万人，要促进市场化社会化就业，高校和属地政府都要提供不断线的就业服务，扩大基层服务项目招聘。|||Les établissements d’enseignement supérieur et les gouvernements compétents doivent fournir en permanence des services de l’emploi aux 8,74 millions de nouveaux diplômés universitaires et élargir l’offre d’emploi dans les projets de services à la base, en vue de mieux répondre aux besoins du marché et de la société.
做好退役军人安置和就业保障。实行农民工在就业地平等享受就业服务政策。帮扶残疾人、零就业家庭等困难群体就业。|||Nous mènerons à bien la réinsertion des militaires démobilisés, mettrons en œuvre la politique visant à assurer aux travailleurs migrants un accès égal aux services de l’emploi là où ils travaillent, et aiderons des groupes ayant un accès difficile à l’emploi tels que les handicapés et les familles sans emploi à trouver du travail.
我国包括零工在内的灵活就业人员数以亿计，今年对低收入人员实行社保费自愿缓缴政策，涉及就业的行政事业性收费全部取消，合理设定流动摊贩经营场所。|||Étant donné que l’on compte maintenant des centaines de millions de travailleurs flexibles (y compris les travailleurs payés à la journée), les personnes à faible revenu seront autorisées à reporter à plus tard le paiement de leur cotisation à l’assurance sociale, toutes les redevances administratives liées à l’emploi seront supprimées, et des emplacements réservés aux marchands ambulants seront désignés de manière rationnelle.
资助以训稳岗拓岗，加强面向市场的技能培训，鼓励以工代训，共建共享生产性实训基地，今明两年职业技能培训3500万人次以上，高职院校扩招200万人，要使更多劳动者长技能、好就业。|||Nous subventionnerons les formations destinées à stabiliser et multiplier l’emploi, renforcerons la formation professionnelle qui répond aux besoins du marché, encouragerons la formation sur le lieu de travail, et promouvrons la construction et l’utilisation en commun de centres de formation à vocation productive. Pour ce faire, plus de 35 millions de personnes pourront suivre des formations professionnelles cette année et l’année prochaine, et les établissements d’enseignement supérieur professionnel recruteront deux millions d’étudiants supplémentaires. Ainsi, davantage de travailleurs pourront améliorer leurs aptitudes professionnelles et trouver plus facilement un travail.
四、依靠改革激发市场主体活力，增强发展新动能|||IV. S’APPUYER SUR LA RÉFORME POUR STIMULER LA VITALITÉ DES ACTEURS DU MARCHÉ, RENFORCER LES NOUVEAUX MOTEURS DE DÉVELOPPEMENT
困难挑战越大，越要深化改革，破除体制机制障碍，激发内生发展动力。|||Plus nous rencontrons de difficultés et de défis, plus il nous faut approfondir la réforme, abattre les barrières institutionnelles et stimuler les forces endogènes de développement.
深化“放管服”改革。|||Approfondir la réforme visant à promouvoir la décentralisation et la simplification des procédures administratives, à concilier le contrôle et le laissez-faire et à améliorer les services publics.
在常态化疫情防控下，要调整措施、简化手续，促进全面复工复产、复市复业。|||Tout en menant en permanence la lutte contre le COVID-19, il nous faut réajuster les mesures et simplifier les formalités, de manière à faciliter la reprise des activités dans divers domaines.
推动更多服务事项一网通办，做到企业开办全程网上办理。|||Davantage de services publics seront accessibles sur un seul site Web, et les démarches pour créer une entreprise pourront se faire entièrement en ligne.
放宽小微企业、个体工商户登记经营场所限制，便利各类创业者注册经营、及时享受扶持政策。|||Nous assouplirons les limitations en matière d’enregistrement du siège social pour les PEMIC et les autoentrepreneurs, et ferons en sorte que les créateurs d’entreprises de toutes catégories puissent s’enregistrer plus facilement et bénéficier à temps des politiques de soutien.
支持大中小企业融通发展。|||Nous accompagnerons le développement intégré des entreprises de toute taille.
完善社会信用体系。|||Nous améliorerons le système de crédit social.
以公正监管维护公平竞争，持续打造市场化、法治化、国际化营商环境。|||En assurant la concurrence loyale par un contrôle équitable, nous créerons un environnement des affaires qui soit conforme à la législation, aux règles du marché et aux normes internationales.
推进要素市场化配置改革。|||Promouvoir une réforme en faveur de la répartition des facteurs de production selon les règles du marché.
推动中小银行补充资本和完善治理，更好服务中小微企业。|||Pour mieux servir les PME et les microentreprises, les banques petites et moyennes seront encouragées à augmenter leurs capitaux propres et à améliorer leur gestion.
改革创业板并试点注册制，发展多层次资本市场。|||Nous réformerons le second marché boursier ChiNext et lancerons à titre expérimental un nouveau système d’introduction en Bourse basé sur l’enregistrement des documents de base, afin de développer le marché des capitaux à multiples niveaux.
强化保险保障功能。|||Le rôle des assurances en matière de garantie sera renforcé.
赋予省级政府建设用地更大自主权。|||Concernant les terrains à bâtir, nous accorderons une plus grande autonomie aux administrations provinciales.
促进人才流动，培育技术和数据市场，激活各类要素潜能。|||Par ailleurs, nous favoriserons la mobilité des talents, développerons les marchés des techniques et des données, et exploiterons le potentiel de tous les facteurs de production.
提升国资国企改革成效。|||Renforcer l’efficacité de la réforme des biens publics et des entreprises publiques.
实施国企改革三年行动。|||Un plan d’action triennal de réforme des entreprises publiques sera mis en œuvre.
健全现代企业制度，完善国资监管体制，深化混合所有制改革。|||Nous perfectionnerons le système moderne d’entreprise, améliorons le système de supervision des biens publics et mènerons en profondeur la réforme visant à introduire la propriété mixte dans les entreprises publiques.
基本完成剥离办社会职能和解决历史遗留问题。|||Nous achèverons pour l’essentiel l’externalisation des services non productifs de ces entreprises et résoudrons les problèmes dont elles souffrent de longue date.
国企要聚焦主责主业，健全市场化经营机制，提高核心竞争力。|||Elles devront se concentrer sur leurs obligations et activités principales, parfaire leurs mécanismes d’exploitation selon les règles du marché et s’efforcer d’augmenter leur compétitivité de base.
优化民营经济发展环境。|||Créer un cadre favorable au développement de l’économie privée.
保障民营企业平等获取生产要素和政策支持，清理废除与企业性质挂钩的不合理规定。|||Il faut garantir aux entreprises privées un accès égal aux facteurs de production et aux politiques de soutien, en examinant et en annulant les réglementations discriminatoires.
限期完成清偿政府机构、国有企业拖欠民营和中小企业款项的任务。|||Les administrations publiques et les entreprises d’État sont tenues de régler leurs arriérés de paiement vis-à-vis des entreprises privées et des PME dans les délais fixés.
构建亲清政商关系，促进非公有制经济健康发展。|||Il importe d’établir des relations basées sur la sincérité et la transparence entre les pouvoirs publics et les acteurs économiques, afin de favoriser un développement sain de l’économie non publique.
推动制造业升级和新兴产业发展。|||Promouvoir la montée en gamme de l’industrie manufacturière et le développement des industries émergentes.
支持制造业高质量发展。|||Nous soutiendrons le développement de haute qualité de l’industrie manufacturière.
大幅增加制造业中长期贷款。|||Nous augmenterons fortement les prêts à moyen et long terme destinés à l’industrie manufacturière.
发展工业互联网，推进智能制造，培育新兴产业集群。|||Nous développerons l’Internet industriel, promouvrons la fabrication intelligente, et favoriserons les conglomérats des industries émergentes.
发展研发设计、现代物流、检验检测认证等生产性服务业。|||Nous ferons progresser les services aux entreprises tels que la R-D, le design, la logistique moderne ainsi que l’inspection, le contrôle et la certification des produits.
电商网购、在线服务等新业态在抗疫中发挥了重要作用，要继续出台支持政策，全面推进“互联网+”，打造数字经济新优势。|||Le cybercommerce, les services en ligne et d’autres activités nouvelles ont joué un rôle significatif dans la lutte contre le COVID-19. C’est pourquoi il faut continuer à promulguer des mesures de soutien afin de promouvoir l’essor général de l’« Internet + » et de créer de nouveaux atouts pour l’économie numérique.
提高科技创新支撑能力。|||Accroître la force d’appui de l’innovation scientifique et technologique.
稳定支持基础研究和应用基础研究，引导企业增加研发投入，促进产学研融通创新。|||Nous apporterons un soutien constant à la recherche fondamentale et à la recherche fondamentale appliquée, tout en incitant les entreprises à augmenter leurs investissements dans la R-D et en promouvant une innovation synergique mariant la production, l’enseignement et la recherche.
加快建设国家实验室，重组国家重点实验室体系，发展社会研发机构，加强关键核心技术攻关。|||Nous accélérerons la construction de laboratoires nationaux, réorganiserons le système des laboratoires nationaux prioritaires, développerons des centres privés de R-D, et renforcerons la réalisation de percées dans le domaine des technologies clés et technologies de base.
发展民生科技。|||Nous ferons avancer les sciences et technologies qui favorisent l’amélioration des conditions de vie de la population.
深化国际科技合作。加强知识产权保护。|||Il importe d’approfondir la coopération internationale dans le domaine scientifique et technologique, et de mieux protéger les droits de propriété intellectuelle.
改革科技成果转化机制，畅通创新链，营造鼓励创新、宽容失败的科研环境。|||Nous réformerons le mécanisme de conversion des acquis scientifiques et technologiques en forces productives réelles, optimiserons la chaîne d’innovation, et créerons un environnement de recherche scientifique favorable à l’innovation et à la tolérance de l’échec.
实行重点项目攻关“揭榜挂帅”，谁能干就让谁干。|||Pour mener à bien les projets prioritaires, on fera appel à tous les talents, la seule condition étant la compétence réelle.
深入推进大众创业万众创新。|||Encourager l’innovation et l’entrepreneuriat de masses.
发展创业投资和股权投资，增加创业担保贷款。|||Nous favoriserons le développement du capital-risque et du placement en actions, et accroîtrons les prêts sur garantie en faveur de l’entrepreneuriat.
深化新一轮全面创新改革试验，新建一批双创示范基地，坚持包容审慎监管，发展平台经济、共享经济，更大激发社会创造力。|||Nous poursuivrons l’application de la nouvelle série d’essais de réforme favorisant l’innovation générale, créerons des centres modèles pour l’innovation et l’entrepreneuriat, et grâce à un contrôle souple et prudent, développerons l’économie des plateformes et du partage, de manière à stimuler la créativité de la société.
五、实施扩大内需战略，推动经济发展方式加快转变|||V. METTRE EN ŒUVRE NOTRE STRATÉGIE D’ACCROISSEMENT DE LA DEMANDE INTÉRIEURE, ACCÉLÉRER LA TRANSFORMATION DU MODE DE DÉVELOPPEMENT ÉCONOMIQUE
我国内需潜力大，要深化供给侧结构性改革，突出民生导向，使提振消费与扩大投资有效结合、相互促进。|||La demande intérieure présente un immense potentiel en Chine. Il faut donc approfondir la réforme structurelle du côté de l’offre, et, tout en privilégiant le bien-être de la population, faire en sorte que la relance de la consommation et l’accroissement de l’investissement s’associent efficacement et se renforcent mutuellement.
推动消费回升。|||Relancer la consommation.
通过稳就业促增收保民生，提高居民消费意愿和能力。|||Il faut stabiliser l’emploi, augmenter les revenus de la population et assurer le bien-être social, de manière à stimuler le désir de consommation des ménages et à renforcer leur pouvoir d’achat.
支持餐饮、商场、文化、旅游、家政等生活服务业恢复发展，推动线上线下融合。|||Nous soutiendrons la reprise des services aux particuliers dans la restauration, la culture, le tourisme, les services domestiques et les centres commerciaux, ainsi que le développement intégré de ces services en ligne et hors ligne.
促进汽车消费，大力解决停车难问题。|||Nous encouragerons l’achat d’automobiles et redoublerons d’efforts pour résoudre les problèmes de stationnement.
发展养老、托幼服务。|||Nous développerons les services aux personnes âgées et les services de garde d’enfants en âge préscolaire.
发展大健康产业。|||L’industrie de la santé sera développée.
改造提升步行街。|||Nous procéderons à la rénovation des rues piétonnières.
支持电商、快递进农村，拓展农村消费。|||Pour accroître la consommation dans les régions rurales, nous y favoriserons l’essor du cybercommerce et de la livraison à domicile.
要多措并举扩消费，适应群众多元化需求。|||Pour conclure, il faut accroître la consommation par de multiples moyens et l’adapter aux besoins diversifiés de la population.
扩大有效投资。|||Accroître l’investissement effectif.
今年拟安排地方政府专项债券3.75万亿元，比去年增加1.6万亿元，提高专项债券可用作项目资本金的比例，中央预算内投资安排6000亿元。|||En 2020, des obligations spéciales à hauteur de 3 750 milliards de yuans seront émises pour le compte des autorités locales, soit une hausse de 1 600 milliards de yuans. Nous augmenterons la part des obligations spéciales pouvant être utilisée à titre de fonds propres de programme, et porterons à 600 milliards de yuans les dépenses d’investissement dans le budget central.
重点支持既促消费惠民生又调结构增后劲的“两新一重”建设，主要是：加强新型基础设施建设，发展新一代信息网络，拓展5G应用，建设数据中心，增加充电桩、换电站等设施，推广新能源汽车，激发新消费需求、助力产业升级。|||Notre soutien sera accordé en priorité aux projets susceptibles, non seulement de favoriser la consommation et d’améliorer le bien-être de la population, mais aussi de promouvoir la restructuration et d’accroître la dynamique du développement. Il s’agira notamment de construire des infrastructures de type nouveau, de développer des réseaux informatiques nouvelle génération, d’étendre l’utilisation de la 5G, de créer des centres de données, de mettre en place d’avantage d’installations telles que des bornes de recharge ainsi que des stations d’échange de batteries, et de généraliser les véhicules à énergies nouvelles, afin de stimuler de nouveaux besoins de consommation et de contribuer à la montée en gamme de nos industries.
加强新型城镇化建设，大力提升县城公共设施和服务能力，以适应农民日益增加的到县城就业安家需求。|||Il faudra renforcer la nouvelle urbanisation, en améliorant sensiblement les installations d’utilité publique et les services publics dans les chefs-lieux de district, de manière à répondre aux besoins accrus des paysans qui souhaitent y vivre et travailler.
新开工改造城镇老旧小区3.9万个，支持管网改造、加装电梯等，发展居家养老、用餐、保洁等多样社区服务。|||Nous ouvrirons 39 000 nouveaux chantiers de rénovation de quartiers urbains vétustes, soutiendrons le réaménagement des canalisations et l’installation d’ascenseurs, et développerons de multiples services de proximité tels que les services à domicile en faveur des personnes âgées ainsi que les services de repas et de nettoyage.
加强交通、水利等重大工程建设。增加国家铁路建设资本金1000亿元。|||Nous renforcerons l’exécution de grands projets dans les domaines du transport et de l’hydraulique, et augmenterons de 100 milliards de yuans les fonds destinés à la construction de voies ferrées.
健全市场化投融资机制，支持民营企业平等参与。|||Nous perfectionnerons les mécanismes d’investissement et de financement fonctionnant selon les règles du marché et favoriserons l’égalité d’accès pour les entreprises privées.
要优选项目，不留后遗症，让投资持续发挥效益。|||Il faut sélectionner les meilleurs projets, de manière à éviter toute conséquence regrettable, et faire fructifier constamment les investissements.
深入推进新型城镇化。|||Approfondir la nouvelle urbanisation.
发挥中心城市和城市群综合带动作用，培育产业、增加就业。|||Nous chercherons à développer de nouvelles activités économiques et à créer de nouveaux emplois, tout en faisant valoir le rôle d’entraînement général des conurbations et des grands centres urbains.
坚持房子是用来住的、不是用来炒的定位，因城施策，促进房地产市场平稳健康发展。|||Conformément au principe dit « le logement, c’est pour habiter, pas pour spéculer », nous appliquerons des politiques adaptées aux conditions de chaque ville, afin de favoriser un développement sain et régulier du marché immobilier.
完善便民、无障碍设施，让城市更宜业宜居。|||Nous améliorerons les installations de proximité et sans obstacles pour qu’il soit plus agréable de vivre et de travailler dans nos villes.
加快落实区域发展战略。|||Accélérer la mise en œuvre de nos stratégies de développement interrégional.
继续推动西部大开发、东北全面振兴、中部地区崛起、东部率先发展。|||Un nouvel élan sera donné à la mise en valeur de l’Ouest, au redressement du Nord-Est, au décollage du Centre et à la valorisation du rôle pionnier de l’Est dans le développement.
深入推进京津冀协同发展、粤港澳大湾区建设、长三角一体化发展。|||Nous poursuivrons le développement coordonné de la zone Beijing-Tianjin-Hebei, la construction de la région de la Grande Baie Guangdong-Hong Kong-Macao et le développement intégré du delta du Changjiang.
推进长江经济带共抓大保护。编制黄河流域生态保护和高质量发展规划纲要。推动成渝地区双城经济圈建设。|||Nous promouvrons la protection globale commune de l’environnement de la ceinture économique du Changjiang, élaborerons un programme-cadre en faveur de la protection écologique et du développement de qualité du bassin du fleuve Huanghe, et ferons avancer la construction de la zone économique Chengdu-Chongqing.
促进革命老区、民族地区、边疆地区、贫困地区加快发展。|||Un grand effort sera déployé pour stimuler l’essor rapide des anciennes bases révolutionnaires, des régions peuplées de minorités ethniques, des régions frontalières et des régions pauvres.
发展海洋经济。|||Une impulsion sera imprimée au développement de l’économie maritime.
实施好支持湖北发展一揽子政策，支持保就业、保民生、保运转，促进经济社会秩序全面恢复。|||Nous mettrons en œuvre un ensemble de politiques de soutien au développement du Hubei, afin que cette province puisse garantir l’emploi et le bien-être de sa population, assurer le bon fonctionnement de ses administrations, et rétablir son ordre économique et social.
提高生态环境治理成效。|||Améliorer les résultats de l’aménagement de l’environnement.
突出依法、科学、精准治污。|||Pour ce faire, nous lutterons contre la pollution en adoptant une approche légale, scientifique et ciblée.
深化重点地区大气污染治理攻坚。|||La lutte contre la pollution atmosphérique sera intensifiée dans les régions prioritaires.
加强污水、垃圾处置设施建设，推进生活垃圾分类。|||Nous construirons davantage de stations d’épuration des eaux usées et d’installations de traitement des ordures, et favoriserons le tri des ordures ménagères.
加快人口密集区危化品生产企业搬迁改造。|||Nous accélérerons la délocalisation et la transformation des entreprises spécialisées dans la fabrication de produits chimiques dangereux qui sont implantées dans des quartiers à forte densité démographique.
壮大节能环保产业。|||Les industries favorisant les économies d’énergie et la protection de l’environnement seront développées.
严惩非法捕杀、交易、食用野生动物行为。|||La chasse, la commercialisation et la consommation illégales d’animaux sauvages feront l’objet de sanctions sévères.
实施重要生态系统保护和修复重大工程，促进生态文明建设。|||Pour promouvoir la civilisation écologique, nous mettrons en œuvre des projets d’importance majeure pour la protection et la reconstitution des écosystèmes essentiels.
保障能源安全。|||Assurer la sécurité énergétique.
推动煤炭清洁高效利用，发展可再生能源，完善石油、天然气、电力产供销体系，提升能源储备能力。|||Nous favoriserons l’utilisation efficace et propre du charbon, développerons les énergies renouvelables, et perfectionnerons le système de production, d’approvisionnement et de vente du pétrole, du gaz naturel et de l’électricité, tout en augmentant nos réserves d’énergie.
六、确保实现脱贫攻坚目标，促进农业丰收农民增收|||VI. ASSURER L’ACCOMPLISSEMENT DES OBJECTIFS DE LA LUTTE CONTRE LA PAUVRETÉ, ASSURER DE BONNES RÉCOLTES ET ACCROÎTRE LES REVENUS DES PAYSANS
落实脱贫攻坚和乡村振兴举措，保障重要农产品供给，提高农民生活水平。|||En mettant en œuvre les mesures relatives à la lutte contre la pauvreté et au redressement des campagnes, nous veillerons à assurer l’approvisionnement en produits agricoles importants et à améliorer les conditions de vie des paysans.
