政府工作报告|||﻿RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
促进家政服务业提质扩容。|||Nous favoriserons l'extension des services à domicile et l'amélioration de leur qualité.
发展全域旅游，壮大旅游产业。|||Le tourisme global sera développé, et le secteur touristique connaîtra une pleine expansion.
稳定汽车消费，继续执行新能源汽车购置优惠政策，推动充电、加氢等设施建设。|||Pour assurer la progression continue des ventes d'automobiles, nous allons poursuivre les politiques préférentielles à l'achat de véhicules à énergies nouvelles et encourager la construction de bornes de recharge électrique et de stations de ravitaillement d'hydrogène.
发展消费新业态新模式，促进线上线下消费融合发展，培育消费新增长点。|||Nous lancerons de nouvelles formules et de nouveaux modèles de consommation, stimulerons le développement intégré de la consommation en ligne et hors ligne, et formerons de nouveaux pôles de croissance de la consommation.
健全农村流通网络，支持电商和快递发展。|||Dans les campagnes, le réseau de commercialisation sera perfectionné, et l'essor du cybercommerce et de la livraison à domicile sera soutenu.
加强消费者权益保护，让群众放心消费、便利消费。|||Enfin, nous renforcerons la défense des droits et intérêts des consommateurs, pour que ceux-ci puissent faire leurs achats en toute confiance et avec plus de commodité.
合理扩大有效投资。|||Augmenter de façon appropriée l'investissement effectif.
紧扣国家发展战略，加快实施一批重点项目。|||Il conviendra d'accélérer l'exécution de grands projets prévus dans la stratégie de développement au niveau national.
完成铁路投资8000亿元、公路水运投资1.8万亿元，再开工一批重大水利工程，加快川藏铁路规划建设，加大城际交通、物流、市政、灾害防治、民用和通用航空等基础设施投资力度，加强新一代信息基础设施建设。|||Nous comptons investir 800 milliards de yuans dans la construction de voies ferrées et 1 800 milliards de yuans dans la construction de routes et de voies navigables, et mettre en chantier de gros ouvrages hydrauliques. Nous accélérerons la planification et la construction de la ligne ferroviaire Sichuan-Tibet, augmenterons l'investissement dans les communications interurbaines, les réseaux logistiques, les travaux publics, les infrastructures destinées à la prévention et au traitement des sinistres et celles de l'aviation civile et générale, et construirons des infrastructures informatiques de nouvelle génération.
今年中央预算内投资安排5776亿元，比去年增加400亿元。|||En 2019, nous porterons à 577,6 milliards de yuans les dépenses d'investissement dans le budget central, soit 40 milliards de yuans supplémentaires par rapport à l'année dernière.
创新项目融资方式，适当降低基础设施等项目资本金比例，用好开发性金融工具，吸引更多民间资本参与重点领域项目建设。|||Nous veillerons à renouveler le mode de financement des projets, à abaisser de façon appropriée le ratio des capitaux propres consacrés aux projets d'infrastructures, à bien utiliser les instruments financiers de développement et à inciter plus d'investisseurs privés à prendre part aux chantiers des secteurs prioritaires.
落实民间投资支持政策，有序推进政府和社会资本合作。|||Les mesures de soutien aux investissements privés seront mises en application et nous promouvrons le partenariat public-privé (PPP) de façon ordonnée.
改革完善招投标制度。|||Nous réformerons le système des appels d'offres.
政府要带头讲诚信守契约，决不能“新官不理旧账”，对拖欠企业的款项年底前要清偿一半以上，决不允许增加新的拖欠。|||Les pouvoirs publics donneront l'exemple en honorant leurs engagements, en remplissant les contrats et en se gardant de « renier les comptes de leurs prédécesseurs ». Ils devront s'acquitter de plus de la moitié des dettes arriérées des entreprises avant la fin de l'année sans aucun arriéré supplémentaire.
（五）对标全面建成小康社会任务，扎实推进脱贫攻坚和乡村振兴。|||Pour mener à bon terme la tâche de l'édification intégrale de la société de moyenne aisance, poursuivre résolument la lutte contre la pauvreté et le redressement des régions rurales.
坚持农业农村优先发展，加强脱贫攻坚与乡村振兴统筹衔接，确保如期实现脱贫攻坚目标、农民生活达到全面小康水平。|||Il faudra toujours accorder la priorité à l'agriculture et aux régions rurales, et assurer une meilleure prise en compt globale du redressement du monde rural et de la lutte contre la pauvreté, de manière à garantir la réalisation des objectifs de lutte contre la pauvreté dans les délais prévus et à élever le niveau de vie des paysans jusqu'à l'aisance moyenne.
打好精准脱贫攻坚战。|||Mener à bien la lutte ciblée contre la pauvreté.
重点解决实现“两不愁三保障”面临的突出问题，加大“三区三州”等深度贫困地区脱贫攻坚力度，加强基础设施建设，落实对特殊贫困人口的保障措施。|||Il s'agit fondamentalement de venir à bout des graves problèmes qui se posent pour assurer aux populations pauvres vivant en milieu rural la satisfaction des « deux besoins élémentaires » et l'accès aux « trois garanties »[ Les « deux besoins élémentaires » sont la nourriture et de l'habillement ; et les « trois garanties » sont l'enseignement obligatoire, les soins médicaux et le logement. — N.D.T.]. Nous allons aider davantage les régions de grande pauvreté, dont les « trois régions et trois départements »[ Les « trois régions » sont le Tibet, la région peuplée de Tibétains dans les quatre provinces du Qinghai, du Gansu, du Sichuan et du Yunnan, la région du sud du Xinjiang comprenant les préfectures de Kachgar, de Hotan et d'Aksu ainsi que la préfecture autonome kirghiz de Kizilsu ; les « trois départements » sont le département autonome d'ethnie minoritaire de Liangshan au Sichuan, le département de Nujiang au Yunnan et le département de Linxia au Gansu. — N.D.T.], renforcer la construction d'infrastructures et appliquer les mesures de garantie destinées aux populations paupérisées spéciales.
脱贫致富离不开产业支撑，要大力扶持贫困地区发展特色优势产业。|||La lutte contre la pauvreté ne peut se passer des industries. C'est pourquoi l'on doit aider énergiquement les régions pauvres à développer des industries locales.
开展贫困地区控辍保学专项行动、明显降低辍学率，继续增加重点高校专项招收农村和贫困地区学生人数，用好教育这个阻断贫困代际传递的治本之策。|||Nous lancerons une action spéciale visant à abaisser nettement le taux de déscolarisation dans les régions rurales défavorisées, et continuerons à augmenter le nombre d'étudiants des régions rurales et des régions démunies admis par les écoles supérieures de premier rang. Nous nous efforcerons ainsi de tirer le meilleur parti de la mesure fondamentale qu'est l'éducation pour arrêter la transmission de génération en génération de la pauvreté.
基本完成“十三五”易地扶贫搬迁规划建设任务，加强后续扶持。|||La tâche consistant à reloger les populations déplacées comme prévu par le XIIIe Plan quinquennal sera quasiment réalisée, et nous intensifierons le soutien de suivi.
对摘帽县和脱贫人口的扶持政策要保持一段时间，巩固脱贫成果。|||Les mesures d'assistance resteront inchangées pendant un certain temps après que les districts ou personnes cibles seront sortis de la précarité, afin de consolider les résultats déjà obtenus.
完善考核监督，用好中央脱贫攻坚专项巡视成果。|||En outre, les modalités d'évaluation et de surveillance seront améliorées et nous tirerons parti des résultats de l'inspection spéciale de l'autorité centrale contre la paupérisation.
越是到脱贫攻坚的关键阶段，越要抓实抓细各项工作，确保脱贫有实效、可持续、经得起历史检验。|||Ce travail doit être pris au sérieux d'autant que l'on est entré dans la phase cruciale de la bataille contre la pauvreté. Cette lutte devra être vraiment efficace, durable et résister à l'épreuve du temps.
抓好农业特别是粮食生产。|||Développer la production agricole, notamment la production céréalière.
近14亿中国人的饭碗，必须牢牢端在自己手上。|||Nous devons compter absolument sur nos propres forces pour garantir la sécurité alimentaire de près de 1,4 milliard de Chinois.
要稳定粮食产量，优化品种结构。|||Il faut stabiliser la production céréalière et optimiser l'assortiment des variétés céréalières.
加强农田水利建设，新增高标准农田8000万亩以上。|||Nous allons intensifier la construction d'ouvrages hydrauliques agricoles et augmenter de plus de 80 millions de mu [quelque 5,33 millions d'hectares] les champs à haut rendement.
稳定生猪等畜禽生产，做好非洲猪瘟等疫病防控。|||Nous stabiliserons le secteur de l'élevage de la volaille et du bétail comme le porc, et mènerons à bien la prévention et le contrôle des épizooties comme la peste porcine africaine.
加快农业科技改革创新，大力发展现代种业，加强先进实用技术推广，实施地理标志农产品保护工程，推进农业全程机械化。|||Nous accélérerons la réforme et l'innovation scientifique et technique de l'agriculture, développerons énergiquement la culture moderne des semences, renforcerons la vulgarisation des techniques d'application avancées, mettrons à exécution des projets de protection des produits agricoles du terroir, et promouvrons la mécanisation intégrale de l'agriculture.
培育家庭农场、农民合作社等新型经营主体，加强面向小农户的社会化服务，发展多种形式规模经营。|||Nous formerons des exploitants agricoles de type nouveau comme les fermes familiales et coopératives paysannes, multiplierons les services socialisés à l'égard des petits foyers paysans et développerons diverses formes d'exploitation à grande échelle.
扶持主产区发展农产品精深加工。|||Nous soutiendrons la transformation à forte valeur ajoutée des produits agricoles récoltés dans les principales régions productrices.
支持返乡入乡创业创新，推动一二三产业融合发展，壮大县域经济。|||En outre, nous aiderons les travailleurs migrants à retourner dans leur région d'origine et encouragerons les citadins à se rendre dans les régions rurales pour y réaliser l'innovation ou monter une entreprise, impulserons l'intégration des secteurs primaire, secondaire et tertiaire, et développerons l'économie au niveau des districts.
务工收入是农民增收的大头。|||Le travail en ville est la principale source de revenus pour bien des ruraux.
要根治拖欠农民工工资问题，抓紧制定专门行政法规，确保付出辛劳和汗水的农民工按时拿到应有的报酬。|||Pour mettre fin aux arriérés de salaire, nous élaborerons au plus vite des règlements administratifs sur ce sujet, afin de garantir que les travailleurs migrants qui peinent sur les chantiers pour gagner leur vie soient payés sans retard.
扎实推进乡村建设。|||Faire solidement progresser le développement du milieu rural.
科学编制和实施建设规划，大力改善生产生活条件。|||Il conviendra d'élaborer des plans d'urbanisme des villages, de les appliquer, et d'améliorer les conditions de travail et de vie.
加快实施农村饮水安全巩固提升工程，今明两年要解决好饮水困难人口的饮水安全问题，提高6000万农村人口供水保障水平。|||Il faudra accélérer la mise à exécution des projets destinés à consolider et augmenter la sécurité en matière d'eau potable ; en 2019 et 2020, nous nous efforcerons de résoudre les difficultés des populations rurales qui ont difficilement accès à l'eau potable en assurant un meilleur approvisionnement pour 60 millions de ruraux.
完成新一轮农村电网升级改造。|||La nouvelle série de projets de transformation du réseau électrique rural s'achèvera.
新建改建农村公路20万公里。|||200 000 km de routes rurales seront construites ou refaites.
继续推进农村危房改造。|||La rénovation des maisons délabrées sera poursuivie dans les campagnes.
因地制宜开展农村人居环境整治，推进“厕所革命”、垃圾污水治理，建设美丽乡村。|||Nous engagerons, en partant des réalités locales, une campagne d'amélioration de l'habitat rural, et poursuivrons la « révolution sanitaire des toilettes », le traitement des ordures et des eaux usées, afin de rendre toute sa beauté champêtre au monde rural.
全面深化农村改革。|||Approfondir la réforme dans le milieu rural.
推广农村土地征收、集体经营性建设用地入市、宅基地制度改革试点成果。|||Nous allons universaliser les fruits des expériences de la réforme concernant la réquisition de terres dans les campagnes, la mise sur le marché de terrains collectifs à bâtir à but lucratif et la gestion de terrains réservés au logement individuel.
深化集体产权、集体林权、国有林区林场、农垦、供销社等改革。|||Nous mènerons en profondeur la réforme concernant, entre autres, la propriété collective, la propriété forestière collective, les zones et plantations forestières d'État, les zones de défrichement et les coopératives d'approvisionnement et de vente.
改革完善农业支持保护体系，健全粮食价格市场化形成机制，扩大政策性农业保险改革试点，创新和加强农村金融服务。|||Nous réformerons et parachèverons le système de soutien et de protection de l'agriculture. Les mécanismes de formation des prix des céréales selon les règles du marché seront perfectionnés. Nous allons étendre l'expérience pilote de réforme de l'assurance agricole à caractère politique, renouveler et renforcer les services financiers au bénéfice des régions rurales.
持续深化农村改革，广袤乡村必将焕发新的生机活力。|||En un mot, grâce à l'approfondissement constant des réformes, il ne fait aucun doute que l'on fera renaître les vastes régions rurales de la Chine.
（六）促进区域协调发展，提高新型城镇化质量。|||Encourager le développement interrégional coordonné et améliorer la qualité de la nouvelle urbanisation.
围绕解决发展不平衡不充分问题，改革完善相关机制和政策，促进基本公共服务均等化，推动区域优势互补、城乡融合发展。|||Il faut, en concentrant nos efforts sur la résolution du problème du développement déséquilibré et insuffisant, réformer et perfectionner les mécanismes et politiques concernés, et favoriser l'uniformisation des services publics de base, de manière à favoriser la complémentarité réciproque entre régions et le développement intégré des villes et des campagnes.
优化区域发展格局。|||Optimiser la configuration du développement interrégional.
制定西部开发开放新的政策措施，西部地区企业所得税优惠等政策到期后继续执行。|||Nous élaborerons de nouvelles politiques et mesures pour soutenir le développement et l'ouverture de l'Ouest, et la politique préférentielle de l'impôt sur le revenu des entreprises y sera renouvelée.
落实和完善促进东北全面振兴、中部地区崛起、东部率先发展的改革创新举措。|||Nous appliquerons et perfectionnerons les mesures de réforme et d'innovation favorisant le redressement intégral du Nord-Est, l'émergence du Centre et le développement pionnier de l'Est.
京津冀协同发展重在疏解北京非首都功能，高标准建设雄安新区。|||Nous ferons progresser le développement coordonné de la zone Beijing-Tianjin-Hebei en mettant l'accent sur le délestage de Beijing de ses fonctions sans rapport avec son statut de capitale et sur l'aménagement de la zone nouvelle de Xiongan selon des normes plus élevées.
落实粤港澳大湾区发展规划纲要，促进规则衔接，推动生产要素流动和人员往来便利化。|||Nous exécuterons le plan de développement de la région de la Grande Baie Guangdong-Hong Kong-Macao, promouvrons l'accord des normes, la libre circulation des facteurs de production et la mobilité humaine.
将长三角区域一体化发展上升为国家战略，编制实施发展规划纲要。|||Nous prendrons pour stratégie nationale le développement intégré du delta du Changjiang, établirons et appliquerons pour ce faire un programme de développement.
长江经济带发展要坚持上中下游协同，加强生态保护修复和综合交通运输体系建设，打造高质量发展经济带。|||Concernant la ceinture économique du Changjiang, nous poursuivrons le développement coordonné des régions situées en amont, sur le cours moyen et en aval du fleuve, renforcerons la protection et la régénération des écosystèmes, ainsi que la construction de systèmes de transport intermodal, pour assurer le développement de qualité de cette initiative.
支持资源型地区经济转型。|||Nous soutiendrons la reconversion économique des régions qui souffrent de l'épuisement de leurs ressources naturelles.
加快补齐革命老区、民族地区、边疆地区、贫困地区发展短板。|||Nous comblerons plus rapidement les faiblesses du développement des anciennes bases révolutionnaires, des régions peuplées d'ethnies minoritaires, des régions frontalières et des régions démunies.
大力发展蓝色经济，保护海洋环境，建设海洋强国。|||Nous stimulerons l'essor de l'« économie bleue » et protégerons le milieu marin, afin d'accélérer notre marche vers la puissance maritime.
深入推进新型城镇化。|||Approfondir la nouvelle urbanisation.
坚持以中心城市引领城市群发展。|||Il faut insister sur l'entraînement du développement des conurbations par la construction de grands centres urbains.
抓好农业转移人口落户，推动城镇基本公共服务覆盖常住人口。|||Nous mettrons l'accent sur la domiciliation en ville de migrants d'origine rurale, et ferons avancer la couverture des résidents permanents urbains par les services publics de base.
更好解决群众住房问题，落实城市主体责任，改革完善住房市场体系和保障体系，促进房地产市场平稳健康发展。|||Pour mieux résoudre le problème du logement des masses populaires, nous mettrons l'accent sur la responsabilité des autorités municipales, et perfectionnerons par la réforme le système de marché immobilier et le système de garantie d'accès au logement, de manière à favoriser un développement sain et régulier du marché immobilier.
继续推进保障性住房建设和城镇棚户区改造，保障困难群体基本居住需求。|||La construction de logements sociaux et la rénovation des quartiers vétustes urbains seront poursuivies, pour que les besoins fondamentaux en logement des groupes démunis soient satisfaits.
继续推进地下综合管廊建设。|||La construction de galeries techniques sera poursuivie.
城镇老旧小区量大面广，要大力进行改造提升，更新水电路气等配套设施，支持加装电梯和无障碍环境建设，健全便民市场、便利店、步行街、停车场等生活服务设施。|||Comme les quartiers anciens en ville sont nombreux et occupent une large surface, il faut intensifier nos efforts pour les rénover et les moderniser. Nous renouvellerons leurs installations connexes telles que les routes et les réseaux d'approvisionnement en eau, en électricité et en méthane, et les encouragerons à installer des ascenseurs et à aménager un environnement sans obstacle. Nous optimiserons la construction des marchés et commerces de proximité, des rues piétonnes, des stationnements et d'autres installations de services aux particuliers.
新型城镇化要处处体现以人为核心，提高柔性化治理、精细化服务水平，让城市更加宜居，更具包容和人文关怀。|||Comme la nouvelle urbanisation est centrée sur l'être humain, il faut améliorer la gestion des villes en offrant des services plus personnalisés et plus proches des besoins réels pour qu'elles soient plus agréables à vivre, plus accueillantes et plus humaines.
（七）加强污染防治和生态建设，大力推动绿色发展。|||Renforcer la lutte contre la pollution et l'aménagement écologique, et stimuler l'essor du développement vert.
绿色发展是构建现代化经济体系的必然要求，是解决污染问题的根本之策。|||Le développement vert constitue une exigence impérieuse pour établir un système économique moderne, et aussi la solution essentielle pour lutter contre la pollution.
要改革完善相关制度，协同推动高质量发展与生态环境保护。|||Il faut réformer et perfectionner les systèmes concernés, de manière à concilier le développement de qualité et la protection environnementale.
持续推进污染防治。|||Poursuivre la lutte contre la pollution.
巩固扩大蓝天保卫战成果，今年二氧化硫、氮氧化物排放量要下降3%，重点地区细颗粒物（PM2.5）浓度继续下降。|||Nous consoliderons les acquis et réaliserons de nouvelles avancées dans la campagne pour le ciel bleu. En 2019, les émissions de SO2 et d'oxydes d'azote devront diminuer de 3 %, et la densité des particules fines PM2,5, connaître une baisse constante dans les régions particulièrement touchées.
持续开展京津冀及周边、长三角、汾渭平原大气污染治理攻坚，加强工业、燃煤、机动车三大污染源治理。|||Nous poursuivrons la lutte contre la pollution de l'air dans la zone Beijing-Tianjin-Hebei et ses environs, le delta du Changjiang et la plaine Fenhe-Weihe, en veillant à renforcer le traitement des trois sources principales de pollution que sont l'industrie, le charbon et la circulation motorisée.
做好北方地区清洁取暖工作，确保群众温暖过冬。|||Nous développerons le chauffage propre dans le Nord pour que les habitants puissent passer l'hiver au chaud.
强化水、土壤污染防治，今年化学需氧量、氨氮排放量要下降2%。|||Nous renforcerons la prévention et le traitement des pollutions de l'eau et du sol, le degré de pollution exprimé en DCO (demande chimique en oxygène) et les émissions d'azote ammoniacal devront diminuer de 2 % en 2019.
加快治理黑臭水体，防治农业面源污染，推进重点流域和近岸海域综合整治。|||Le traitement des eaux très polluées sera accéléré ; des efforts seront consentis pour prévenir et traiter la pollution dite « diffuse » dans les régions rurales ; et l'aménagement global de la pollution des bassins prioritaires et des eaux littorales sera poussé de l'avant.
加强固体废弃物和城市垃圾分类处置，促进减量化、资源化、无害化。|||Nous renforcerons le traitement de la pollution par les déchets solides, ferons progresser le tri des déchets urbains, et favoriserons la diminution de consommation d'énergie ainsi que le recyclage et la dépollution des déchets.
加强污染防治重大科技攻关。|||Nous intensifierons la recherche sur les problèmes clés dans le domaine scientifique et technologique en vue de lutter contre la pollution.
企业作为污染防治主体，必须依法履行环保责任。|||Les entreprises, en tant qu'acteurs principaux dans la prévention et le traitement de la pollution, doivent assumer selon la loi leur responsabilité de protéger l'environnement.
改革创新环境治理方式，对企业既依法依规监管，又重视合理诉求、加强帮扶指导，对需要达标整改的给予合理过渡期，避免处置措施简单粗暴、一关了之。|||Il faut, en réformant le mode d'aménagement de l'environnement et en encourageant l'innovation en la matière, d'une part exercer sur les entreprises une surveillance respectueuse des lois et des règlements, et, d'autre part, prendre en considération leurs revendications légitimes et intensifier les aides et les orientations. Concernant les entreprises qui ont besoin de se transformer pour se conformer aux critères fixés, nous leur accorderons un délai de transition appropriée et éviterons les mesures brutales et simplistes telles que l'arrêt de leurs activités.
企业有内在动力和外部压力，污染防治一定能取得更大成效。|||En combinant les contraintes extérieures et l'initiative propre des entreprises, la lutte contre la pollution obtiendra certainement de meilleurs résultats.
壮大绿色环保产业。|||Fortifier les industries vertes et de l'environnement.
坚持源头治理，加快火电、钢铁行业超低排放改造，实施重污染行业达标排放改造。|||Nous poursuivrons la prévention et le traitement de la pollution à la source. La transformation technique selon les normes les plus strictes en matière d'émissions sera accélérée dans les centrales thermiques et les aciéries, et la rénovation sera effectuée dans les industries gravement polluantes pour que toute émission soit conforme aux normes environnementales.
调整优化能源结构。|||Le bouquet énergétique sera optimisé.
推进煤炭清洁化利用。|||Nous promouvrons l'utilisation propre du charbon.
健全天然气产供储销体系。|||Le système de production, d'approvisionnement, de stockage et de vente du gaz naturel sera mis au point.
大力发展可再生能源，加快解决风、光、水电消纳问题。|||Nous développerons vigoureusement les énergies renouvelables et résoudrons de manière accélérée les problèmes des débouchés de l'électricité éolienne, hydraulique et photovoltaïque.
加大城市污水管网和处理设施建设力度。|||Nous intensifierons la construction de canalisation et d'installations de traitement pour les eaux usées.
促进资源节约集约和循环利用，推广绿色建筑、绿色快递包装。|||Nous promouvrons l'utilisation à la fois économe et intensive des ressources ainsi que leur recyclage, et généraliserons les bâtiments verts et les emballages verts dans la livraison à domicile.
改革完善环境经济政策，健全排污权交易制度，加快发展绿色金融，培育一批专业化环保骨干企业，提升绿色发展能力。|||Nous réformerons et optimiserons les politiques économiques en faveur de la protection environnementale, perfectionnerons le système de transfert payant des droits d'émission de polluants, accélérerons le développement de la « finance verte », et favoriserons l'émergence d'une série d'entreprises têtes de peloton spécialisées dans la protection de l'environnement. Toutes ces mesures ont pour objectifs d'augmenter la capacité de développement vert.
加强生态系统保护修复。|||Renforcer la protection et la reconstitution des écosystèmes.
推进山水林田湖草生态保护修复工程试点，持续抓好国土绿化，加强荒漠化、石漠化、水土流失治理。|||Nous poursuivrons les projets pilotes de protection et de reconstitution des montagnes, des rivières, des forêts, des champs, des lacs et des steppes, mènerons à bien le reboisement, et intensifierons la lutte contre la désertification, l'extension des déserts rocheux et l'érosion des sols.
加大生物多样性保护力度。|||La protection de la biodiversité sera renforcée.
继续开展退耕还林还草还湿。|||Nous poursuivrons nos efforts pour reconvertir les terres abusivement défrichées en forêts, en steppes et en zones humides.
深化国家公园体制改革。|||La réforme du système des parcs nationaux sera approfondie.
健全生态补偿机制。|||Le mécanisme d'indemnisation des dommages à l'environnement sera amélioré.
绿色发展人人有责，贵在行动、成在坚持。|||Que chacun assume sa responsabilité, se lance dans l'action sans hésiter, et poursuive ses efforts inlassablement jusqu'à la réalisation du développement vert.
我们要共同努力，让人民群众享有美丽宜居环境。|||Agissons à l'unisson pour que notre peuple jouisse d'un beau milieu où il fait bon vivre.
（八）深化重点领域改革，加快完善市场机制。|||Approfondir la réforme dans les domaines clés et accélérer la mise au point des mécanismes de marché.
聚焦突出矛盾和关键环节，推动相关改革深化，健全与高质量发展相适应的体制机制，把市场活力和社会创造力充分释放出来。|||Nous devons, en nous attaquant aux incohérences graves et aux maillons clés, promouvoir l'approfondissement des réformes, et parfaire le système institutionnel et les mécanismes adaptés au développement de qualité, afin de libérer pleinement la vitalité du marché et la créativité de la société.
加快国资国企改革。|||Accélérer la réforme des actifs de l'État et des entreprises publiques.
加强和完善国有资产监管，推进国有资本投资、运营公司改革试点，促进国有资产保值增值。|||Pour favoriser la valorisation et la revalorisation optimales des biens publics, nous en intensifierons et en améliorerons le contrôle et la gestion, et poursuivrons la réforme expérimentale des sociétés d'investissement ou d'exploitation des capitaux publics.
积极稳妥推进混合所有制改革。|||L'introduction de la propriété mixte sera poursuivie activement et méthodiquement.
完善公司治理结构，健全市场化经营机制，建立职业经理人等制度。|||Il faut améliorer la structure de gouvernance des entreprises, parachever le mécanisme d'exploitation orienté vers le marché, et établir des systèmes concernant, entre autres, le gestionnaire professionnel.
依法处置“僵尸企业”。|||Nous traiterons, en vertu de la loi, le cas des « entreprises zombies ».
深化电力、油气、铁路等领域改革，自然垄断行业要根据不同行业特点实行网运分开，将竞争性业务全面推向市场。|||Les réformes en cours dans les secteurs de l'électricité, du pétrole, du gaz naturel et des chemins de fer seront poursuivies. Les opérateurs des secteurs en situation de monopole naturel seront tenus de pratiquer, en fonction de leurs conditions spécifiques, la séparation de leurs réseaux d'infrastructures d'avec leurs activités d'exploitation, et leurs activités concurrentielles seront complètement libéralisées.
国有企业要通过改革创新、强身健体，不断增强发展活力和核心竞争力。|||Les entreprises publiques seront encouragées à se fortifier par des réformes et des innovations, et à renforcer sans cesse leur vitalité et leur compétitivité de base.
下大气力优化民营经济发展环境。|||Redoubler d'efforts pour optimiser l'environnement de développement de l'économie privée.
坚持“两个毫不动摇”，鼓励、支持、引导非公有制经济发展。|||Fidèles au principe régissant le développement des divers régimes de propriété[ Il s'agit du principe selon lequel il faut consolider et développer sans relâche l'économie publique, et encourager, soutenir et orienter avec détermination le développement de l'économie non publique. — N.D.T.], nous nous efforcerons d'encourager, de soutenir et d'orienter le développement de l'économie non publique.
按照竞争中性原则，在要素获取、准入许可、经营运行、政府采购和招投标等方面，对各类所有制企业平等对待。|||Nous veillerons, selon le principe de la neutralité concurrentielle, à assurer un traitement équitable à toutes nos entreprises, quel que soit leur régime de propriété, en ce qui concerne l'acquisition de facteurs de production, l'accès au marché, l'exploitation, les achats publics et les appels d'offres.
构建亲清新型政商关系，健全政企沟通机制，激发企业家精神，促进民营经济发展升级。|||Soucieux d'établir entre les pouvoirs publics et les acteurs économiques de nouvelles relations caractérisées par la franchise et l'honnêteté, nous améliorerons les mécanismes de communication entre les administrations et les entreprises, de manière à galvaniser l'esprit entrepreneurial et à favoriser le développement et la mise à niveau de l'économie non publique.
保护产权必须坚定不移，对侵权行为要依法惩处，对错案冤案要有错必纠。|||Nous devons faire preuve d'une fermeté inébranlable dans la protection des droits de propriété, en veillant à ce que toute violation soit sanctionnée en vertu de la loi, et que tout jugement erroné soit corrigé.
要努力打造良好营商环境，让企业家安心搞经营、放心办企业。|||Nous chercherons ainsi à créer un environnement d'affaires favorable pour que tout entrepreneur puisse réaliser sa vocation et piloter son affaire, sans avoir à craindre pour son bien.
深化财税金融体制改革。|||Approfondir la réforme du système budgétaire, fiscal et financier.
加大预算公开改革力度，全面实施预算绩效管理。深化中央与地方财政事权和支出责任划分改革，推进中央与地方收入划分改革。|||Il faut renforcer la réforme des budgets pour en améliorer la transparence, appliquer sur toute la ligne la gestion des performances budgétaires, approfondir la réforme visant à définir les attributions en matière de budget et les responsabilités en matière de dépenses entre les instances financières centrales et locales, et faire progresser la réforme de répartition des recettes entre ces instances.
完善转移支付制度。|||Nous améliorerons le système des transferts de paiements.
健全地方税体系，稳步推进房地产税立法。|||Le système fiscal local sera perfectionné, et la législation sur la taxe foncière, avancée.
规范地方政府举债融资机制。|||Le financement par l'émission d'emprunts des instances locales sera réglementé.
以服务实体经济为导向，改革优化金融体系结构，发展民营银行和社区银行。|||Pour servir l'économie réelle, il convient d'optimiser par la réforme la structure financière et de développer les banques privées et les banques de proximité.
改革完善资本市场基础制度，促进多层次资本市场健康稳定发展，提高直接融资特别是股权融资比重。|||Nous travaillerons à réformer le système fondamental du marché des capitaux, afin de favoriser le développement sain et régulier du marché des capitaux à multiples niveaux, et d'accroître le poids du financement direct, en particulier celui du financement par actions.
增强保险业风险保障功能。|||Le dispositif de protection contre les risques du secteur des assurances sera renforcé.
加强金融风险监测预警和化解处置。|||Il faut renforcer le système de surveillance, d'alerte et de neutralisation des risques financiers.
我国财政金融体系总体稳健，可运用的政策工具多，我们有能力守住不发生系统性风险的底线。|||Comme le fonctionnement de notre système budgétaire et financier reste dans l'ensemble sain, et que les instruments politiques à notre disposition sont nombreux, nous sommes persuadés que nous serons en mesure d'éviter l'apparition de risques systémiques, un seuil critique à ne jamais dépasser.
（九）推动全方位对外开放，培育国际经济合作和竞争新优势。|||Promouvoir l'ouverture tous azimuts et créer de nouveaux atouts dans la coopération et la compétition économiques internationales.
进一步拓展开放领域、优化开放布局，继续推动商品和要素流动型开放，更加注重规则等制度型开放，以高水平开放带动改革全面深化。|||Nous devons élargir l'ouverture dans son champ d'application et optimiser ses structures, en poursuivant l'ouverture à forte mobilité des marchandises et des facteurs de production, et en accordant une importance accrue à l'ouverture sur les plans normatif et réglementaire, de manière à promouvoir l'approfondissement global des réformes par une ouverture de haut niveau.
促进外贸稳中提质。|||Favoriser la stabilisation de notre commerce extérieur en améliorant sa qualité.
推动出口市场多元化。|||Un nouvel élan sera donné à la diversification des marchés d'exportation.
扩大出口信用保险覆盖面。|||La couverture de l'assurance-crédit à l'exportation sera étendue.
改革完善跨境电商等新业态扶持政策。|||Les politiques de soutien aux nouvelles formes d'activités telles que le commerce électronique transfrontalier seront mises au point.
推动服务贸易创新发展，引导加工贸易转型升级、向中西部转移，发挥好综合保税区作用。|||Il convient d'impulser le développement innovant du commerce des services ; de favoriser la reconversion et la montée en gamme du commerce de sous-traitance ainsi que la délocalisation de celui-ci dans les régions du Centre et de l'Ouest ; et de tirer le meilleur parti des zones franches intégrées.
优化进口结构，积极扩大进口。|||En ce qui concerne les importations, il faut optimiser leur structure et augmenter leur volume.
办好第二届中国国际进口博览会。|||De grands efforts seront consentis pour bien organiser la deuxième édition de l'Exposition internationale d'importation de la Chine.
加快提升通关便利化水平。|||Il est nécessaire de rendre plus rapide et commode le dédouanement dans l'import-export.
加大吸引外资力度。|||Renforcer les mesures propres à attirer les capitaux étrangers.
